"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.6429795321182,0.856,0.112,0,"10","Flt1"
0,2.54412107363752,0.87,0.146,0,"10","Cldn5"
0,2.82843618424403,0.796,0.115,0,"10","Ly6c1"
0,2.75901479231927,0.697,0.094,0,"10","Slco1a4"
0,2.89864246734135,0.69,0.093,0,"10","Ly6a"
0,2.35587623450212,0.73,0.15,0,"10","Itm2a"
0,2.31405977210827,0.747,0.183,0,"10","Pltp"
0,2.60024233490792,0.614,0.081,0,"10","Ptprb"
0,2.24875278171677,0.658,0.144,0,"10","Hspb1"
0,2.68616329830477,0.589,0.077,0,"10","Adgrf5"
0,2.48451127118374,0.617,0.107,0,"10","Cxcl12"
0,2.32701755746828,0.742,0.245,0,"10","Slc2a1"
0,2.44326321332928,0.575,0.082,0,"10","Abcb1a"
0,2.01234559907698,0.808,0.329,0,"10","Spock2"
0,1.86234934477826,0.612,0.133,0,"10","Igfbp7"
0,2.62507691921662,0.54,0.07,0,"10","Adgrl4"
0,2.45590757103786,0.574,0.106,0,"10","Jcad"
0,2.49985310653768,0.598,0.133,0,"10","Slc9a3r2"
0,2.61879326824661,0.542,0.083,0,"10","Pglyrp1"
0,2.27654375336416,0.542,0.102,0,"10","Fn1"
0,2.16960178710365,0.634,0.196,0,"10","Klf2"
0,2.49576017481199,0.544,0.11,0,"10","Egfl7"
0,2.13719134150581,0.611,0.185,0,"10","Id1"
0,2.35019533443184,0.486,0.076,0,"10","Ctla2a"
0,2.25854262175061,0.613,0.209,0,"10","Ramp2"
0,2.53640986932678,0.474,0.073,0,"10","Sema3c"
0,2.36620339685493,0.476,0.084,0,"10","Esam"
0,2.25195053792786,0.557,0.167,0,"10","Abcg2"
0,1.84913544824947,0.597,0.209,0,"10","Vim"
0,2.03060372933998,0.538,0.153,0,"10","Ifitm3"
0,2.18948674027955,0.514,0.135,0,"10","Ahnak"
0,2.31306722141866,0.489,0.119,0,"10","Vwa1"
0,1.71675385725601,0.643,0.276,0,"10","Slco1c1"
0,2.18132575376761,0.618,0.252,0,"10","Slc6a6"
0,2.47636249483242,0.451,0.09,0,"10","Pecam1"
0,1.60781647055464,0.664,0.307,0,"10","Id3"
0,2.17950252981401,0.544,0.188,0,"10","Sgms1"
0,2.13622665319474,0.508,0.154,0,"10","Kitl"
0,2.2442785017116,0.481,0.129,0,"10","Pakap.1"
0,2.28587273098208,0.441,0.1,0,"10","Tm4sf1"
0,1.76626723021325,0.69,0.352,0,"10","Epas1"
0,1.98375584579588,0.584,0.247,0,"10","Abhd2"
0,0.547866562718957,0.565,0.229,0,"10","Mal"
0,2.51049959610702,0.397,0.062,0,"10","Sox18"
0,2.18061530612343,0.425,0.09,0,"10","Car4"
0,2.41811463723566,0.44,0.108,0,"10","Ltbp4"
0,2.55185313259783,0.397,0.067,0,"10","Cdh5"
0,1.74537047879701,0.45,0.122,0,"10","Pcp4l1"
0,1.56903615011151,0.473,0.146,0,"10","Ndrg1"
0,2.69751183781775,0.391,0.068,0,"10","Podxl"
0,2.3638794143137,0.427,0.107,0,"10","Cd34"
0,2.22126847151029,0.449,0.133,0,"10","Eng"
0,1.87784498890877,0.493,0.178,0,"10","Itih5"
0,2.63604778907589,0.379,0.064,0,"10","Nostrin"
0,2.47196482663528,0.384,0.069,0,"10","Tinagl1"
0,2.72880736317151,0.373,0.058,0,"10","Foxq1"
0,2.66767315550798,0.37,0.057,0,"10","Cyyr1"
0,2.43698385480944,0.398,0.086,0,"10","Cavin2"
0,1.98135873940479,0.539,0.229,0,"10","Utrn"
0,1.86143449837164,0.478,0.174,0,"10","Plat"
0,2.13851411560929,0.487,0.186,0,"10","Ccdc141"
0,2.61325749360809,0.378,0.078,0,"10","Acvrl1"
0,1.74446864729087,0.538,0.24,0,"10","Clic4"
0,2.39586825183752,0.393,0.095,0,"10","Slc7a1"
0,2.48745997946916,0.365,0.067,0,"10","Emcn"
0,2.64365091750255,0.355,0.057,0,"10","Srarp"
0,1.87224324658638,0.395,0.098,0,"10","Fxyd5"
0,2.68053897442868,0.356,0.065,0,"10","Rasip1"
0,2.7725304696845,0.343,0.055,0,"10","Tek"
0,1.89741650839994,0.585,0.297,0,"10","Igf1r"
0,2.09125319680476,0.383,0.097,0,"10","Cavin1"
0,2.43426001167118,0.357,0.071,0,"10","Kdr"
0,2.77937908969405,0.337,0.054,0,"10","Sox17"
0,2.14408577831021,0.384,0.102,0,"10","Apcdd1"
0,2.08357842994534,0.404,0.123,0,"10","Palmd"
0,2.63015752899408,0.344,0.063,0,"10","Lef1"
0,1.52590067212193,0.822,0.541,0,"10","Sptbn1"
0,2.5087550794684,0.334,0.055,0,"10","Clic5"
0,2.47954182034887,0.346,0.069,0,"10","Slfn5"
0,2.60348170574266,0.342,0.067,0,"10","Wfdc1"
0,2.29373473082658,0.351,0.08,0,"10","Nes"
0,2.44129283337482,0.353,0.082,0,"10","Kank3"
0,2.76664001136841,0.324,0.057,0,"10","Atp10a"
0,1.92989511401686,0.363,0.096,0,"10","Itga1"
0,2.01541446020025,0.924,0.666,0,"10","Bsg"
0,2.24000161478469,0.342,0.088,0,"10","Clec2d"
0,1.93072924265036,0.361,0.108,0,"10","Arhgap29"
0,2.36434601270735,0.328,0.077,0,"10","Sema7a"
0,2.45970863580476,0.314,0.063,0,"10","Paqr5"
0,2.47065398128962,0.311,0.063,0,"10","Lsr"
0,2.58545703655611,0.326,0.081,0,"10","Heg1"
0,2.92334253392407,0.297,0.053,0,"10","Hmcn1"
0,2.48668225504024,0.294,0.057,0,"10","Cd93"
0,2.82048002843394,0.286,0.049,0,"10","Gata2"
0,2.25598873417213,0.31,0.074,0,"10","Cgnl1"
0,2.40972603874998,0.302,0.071,0,"10","Prom1"
0,2.45082939812043,0.292,0.064,0,"10","Ocln"
0,2.81438865681555,0.28,0.054,0,"10","C130074G19Rik"
0,2.71725957601438,0.272,0.049,0,"10","Icam2"
0,2.86850303934853,0.252,0.043,0,"10","Edn1"
0,2.36500133052367,0.275,0.069,0,"10","Uaca"
0,2.82772427877509,0.252,0.047,0,"10","Fgd5"
0,2.5848700033066,0.26,0.06,0,"10","Nos3"
2.04273411853291e-306,2.20779424434808,0.277,0.071,4.99938748169744e-302,"10","Net1"
6.35944824010585e-304,1.79285317776508,0.358,0.11,1.55641136228351e-299,"10","Ebf1"
2.11364894272134e-294,1.79535675460156,0.5,0.22,5.17294442241621e-290,"10","Ablim1"
1.86900655083636e-292,0.847267203997842,0.303,0.084,4.5742066325169e-288,"10","Rgs5"
5.05101900020373e-288,2.55696249227576,0.267,0.071,1.23618639010986e-283,"10","Jag2"
5.34719454856309e-288,2.13080432082616,0.309,0.091,1.30867239381533e-283,"10","Slc7a5"
2.10532060384632e-285,2.12714740247258,0.259,0.066,5.15256164585349e-281,"10","Slc22a8"
7.77616372066592e-275,1.62029594804354,0.462,0.189,1.90313830899578e-270,"10","Srgn"
3.9195916458562e-269,1.79963937313793,0.376,0.132,9.59280859406847e-265,"10","Col4a1"
5.38697935335531e-267,1.27958852099915,0.643,0.342,1.31840932694018e-262,"10","Ly6e"
3.44955533898836e-256,1.82607292762672,0.327,0.106,8.44244173664012e-252,"10","Csrp2"
6.42376646026107e-249,2.0452913057324,0.268,0.077,1.57215260348429e-244,"10","Cd59a"
9.74778863667936e-249,1.3631857806875,0.455,0.188,2.38567379094091e-244,"10","Gng11"
8.56987926599788e-240,2.32391009403269,0.303,0.1,2.09739225156032e-235,"10","Eogt"
