"cluster","predicted_type","max_score","confident","second_best_score","score_difference","top_markers"
"0","EPIC",63.4231345827372,TRUE,5.48496784163613,57.9381667411011,""
"1","ASC",18.4430325842469,TRUE,3.67060919241622,14.7724233918306,""
"10","EPIC",24.5245412260302,TRUE,20.4564152586997,4.06812596733047,"Hmcn1, Ly6a, Edn1, Ly6c1, Fgd5"
"11","OLG",26.5589638145214,TRUE,5.04522486653751,21.5137389479839,""
"12","MAC",31.6025096464198,TRUE,12.7769202172311,18.8255894291887,""
"13","NEUR",13.9333461347119,TRUE,7.03849093977219,6.89485519493968,""
"14","EPIC",27.3818287388892,TRUE,8.12061572336741,19.2612130155218,""
"15","PC",109.440683725967,TRUE,7.1288849711611,102.311798754806,""
"16","ASC",16.7808897397917,TRUE,3.02745345250156,13.7534362872901,""
"17","EPIC",23.367228928978,TRUE,17.9627561851365,5.40447274384146,"Mbp, D7Ertd443e, Mobp, C030029H02Rik, Mag"
"18","EPIC",95.7702991876688,TRUE,6.5246663753203,89.2456328123485,""
"19","NEUR",18.1173100151746,TRUE,6.01180061743638,12.1055093977382,""
"2","MG",12.1770523065451,TRUE,4.3878233683858,7.78922893815931,""
"20","EC",42.0318635111906,TRUE,23.4709444939469,18.5609190172437,""
"21","EPIC",10.0315640789858,TRUE,8.62896120382888,1.4026028751569,""
"22","VSMC",91.5026351200884,TRUE,10.6102627702548,80.8923723498336,""
"23","DC",59.614370104909,TRUE,34.8546522419988,24.7597178629102,""
"24","EPIC",45.5641001219997,TRUE,11.5548749582617,34.009225163738,""
"25","PC",32.6088437314089,TRUE,26.6083899647954,6.00045376661355,"Lum, Aox3, Lama1, Slc22a6, Slc6a13"
"26","PC",36.3110977933541,TRUE,27.6480262769671,8.663071516387,"Rgs5, Abcc9, Higd1b, Vtn, Ndufa4l2"
"27","ASC",10.4636750054448,TRUE,5.37930790596611,5.08436709947864,""
"28","NEUT",14.363708865977,TRUE,8.05830272029546,6.30540614568151,""
"29","OPC",10.7823325116912,TRUE,5.95410048173279,4.82823202995838,""
"3","EPIC",16.9493359713404,TRUE,8.37013139717962,8.57920457416076,""
"30","EPIC",12.7879608943036,TRUE,4.2033223365301,8.58463855777346,""
"31","NEUR",6.95460586078254,TRUE,5.37156381396791,1.58304204681463,""
"32","MG",7.09474031445134,TRUE,3.05372314096946,4.04101717348188,"Hbb-bt, Alas2, Rsad2, Hbb-bs, Isg20"
"33","OPC",9.73676404864321,TRUE,7.28374802034792,2.45301602829529,""
"4","OPC",18.6254117786832,TRUE,3.38829879541539,15.2371129832678,""
"5","EPIC",14.4527896447929,TRUE,1.33595963928989,13.116830005503,"Alas2, Hba-a1, Hba-a2, Hbb-bs, Hbb-bt"
"6","EC",58.5864520702008,TRUE,4.49654631411677,54.089905756084,""
"7","EPIC",19.7956080381503,TRUE,7.9777708784209,11.8178371597294,""
"8","EPIC",19.6154348404454,TRUE,15.5447080857762,4.07072675466916,""
"9","EPIC",1075.00942052276,TRUE,1.5399950679001,1073.46942545486,""
