Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
gabaergic,4,24,884,0.01988814135481224,4.339381670439247,3.770739064856712,GABRG1;GABRB1;GABRA2;GABRA4
glutamatergic,3,31,884,0.1557342311243113,2.3213835774095206,2.1894613924974453,SLC1A2;GRIK3;GRIA1
cholinergic,1,23,884,1.0000000000000004,0.9829103177133617,0.9836710603974032,CHRM2
