Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
gabaergic,1,24,38,0.04464250236692316,23.409540976416167,21.929824561403507,GABRB1
cholinergic,1,23,38,0.04282176988735768,24.472429570563524,22.88329519450801,CHRM5
