"ensembl_id","symbol","mean_fpkm","median_fpkm","max_fpkm","min_fpkm","sd_fpkm","cv","detected_samples","ctrl_mean","mor_mean","log2fc_mor_vs_ctrl"
"ENSMUSG00000002985","Apoe",3663.62625,3468.55,4810.47,2827.62,738.435704328269,0.201558689107075,8,4196.0725,3131.18,-0.422333042091591
"ENSMUSG00000022037","Clu",868.81625,839.085,1253.59,641.35,213.577810507251,0.245826215275384,8,1037.155,700.4775,-0.566220232763625
"ENSMUSG00000036905","C1qb",116.7825,113.105,140.95,101.34,15.7799382128068,0.135122455957072,8,124.2225,109.3425,-0.184070660505956
"ENSMUSG00000036896","C1qc",82.42375,78.105,104.74,57.38,15.5946748580588,0.18920122971909,8,89.65,75.1975,-0.253615791076664
"ENSMUSG00000036887","C1qa",81.6775,79.175,103.82,69.08,12.6767027596746,0.155204343419848,8,86.2,77.155,-0.159926254159885
"ENSMUSG00000018446","C1qbp",52.43,53.56,56.8,42.13,4.65658673279045,0.0888153105624727,8,49.29,55.57,0.173007951575134
"ENSMUSG00000038576","Susd4",49.54375,48.95,53.4,45.93,3.20397938953599,0.0646696987921987,8,49.755,49.3325,-0.0123028645549021
"ENSMUSG00000017344","Vtn",49.44125,43.58,77.65,28.71,20.3583422265735,0.41176835590875,8,66.4175,32.465,-1.03265549412974
"ENSMUSG00000028128","F3",41.02875,41.775,63.3,21,14.2003243800978,0.346106678368164,8,51.915,30.1425,-0.784332291705747
"ENSMUSG00000003549","Ercc1",20.1625,19.93,25.81,13.7,4.03281096577986,0.200015422977302,8,18.27,22.055,0.271615575410517
"ENSMUSG00000031538","Plat",19.34,19.34,24.24,13.25,4.20923474551576,0.217643988909812,8,15.605,23.075,0.564292363396906
"ENSMUSG00000016481","Cr1l",16.57875,17.61,19.06,11.96,2.73614659956036,0.165039378696244,8,18.81,14.3475,-0.39067662046439
"ENSMUSG00000051768","Xrcc1",16.13875,16.12,18.11,14.02,1.39549722321472,0.0864687304292292,8,15.8675,16.41,0.0484973906371992
"ENSMUSG00000007570","FANCE",12.4025,12.225,15.62,8.74,2.53407492278459,0.204319687384365,8,13.015,11.79,-0.142600077002913
"ENSMUSG00000021615","Xrcc4",10.56625,10.52,12.47,8.79,1.38340095933381,0.130926389147882,8,10.3975,10.735,0.0460811443071649
"ENSMUSG00000028329","Xpa",10.2175,10.4,11.42,8.7,0.879590001892116,0.0860866162850125,8,10.5825,9.8525,-0.103108639209717
"ENSMUSG00000022471","Xrcc6",9.89625,9.885,12.05,7.51,1.44623587781721,0.146139788083083,8,10.5125,9.28,-0.179890865187343
"ENSMUSG00000026365","Cfh",8.52625,7.955,14.57,5.58,3.0842268653818,0.361733102522422,8,10.845,6.2075,-0.804846421063762
"ENSMUSG00000030400","Ercc2",8.13,8,9.66,6.35,1.2727473096753,0.156549484584908,8,8.2375,8.0225,-0.0381499825718251
"ENSMUSG00000026187","Xrcc5",8.12125,7.995,9.71,6.78,0.989291774091807,0.121815209985139,8,7.8875,8.355,0.0830614948652579
"ENSMUSG00000024382","Ercc3",6.795,6.895,8.12,5.37,0.913142141962888,0.134384421186591,8,6.5525,7.0375,0.103002397197582
"ENSMUSG00000023224","Serping1",6.67625,3.31,19.69,1.42,7.15706830942072,1.0720192187861,8,11.045,2.3075,-2.2584963950217
"ENSMUSG00000022545","Ercc4",6.61,6.38,9.69,4.33,1.56498288443402,0.236759891744935,8,6.665,6.555,-0.0240054630107892
"ENSMUSG00000030786","Itgam",6.5025,6.635,7.27,5.27,0.776268547052408,0.119380014925399,8,6.3325,6.6725,0.075440621352995
"ENSMUSG00000030094","Xpc",6.34375,6.15,9.32,4.75,1.37066133672764,0.216064841257559,8,6.6025,6.085,-0.117736553383968
"ENSMUSG00000026048","Ercc5",5.5175,5.47,7.26,3.93,1.05060186831848,0.190412663039145,8,5.445,5.59,0.0379093625854662
"ENSMUSG00000073418","C4b",5.305,5.46,7.34,2.72,1.72341852971686,0.324866829352849,8,6.6025,4.0075,-0.720168413002269
"ENSMUSG00000021461","Fancc",5.1325,4.825,7.05,4.05,1.02213711688515,0.199149949709722,8,5.6775,4.5875,-0.307487278387913
"ENSMUSG00000028453","Fancg",5.12375,5.005,6.55,4.23,0.779192576600016,0.152074667304224,8,5.1525,5.095,-0.0161872940401834
"ENSMUSG00000022912","Pros1",5.09625,5.065,7.06,3.58,1.17394253327349,0.23035418852558,8,6.065,4.1275,-0.555127792744107
"ENSMUSG00000021694","Ercc8",4.99875,4.85,7.17,3.38,1.13407529984313,0.226871777913104,8,5.205,4.7925,-0.119095879421701
"ENSMUSG00000022887","Masp1",4.44,4.145,5.67,3.34,0.808437646681195,0.182080551054323,8,4.265,4.615,0.113759258304911
