"ensembl_id","symbol","mean_fpkm","median_fpkm","max_fpkm","min_fpkm","sd_fpkm","cv","detected_samples","ctrl_mean","mor_mean","log2fc_mor_vs_ctrl"
"ENSMUSG00000000282","Mnt",5.25875,5.24,6.66,4.05,0.788605233488667,0.149960586353918,8,4.7975,5.72,0.253683851197082
"ENSMUSG00000000290","Itgb2",3.0725,3.25,3.82,2.06,0.666413642460254,0.216896222118878,8,2.92,3.225,0.143284080326464
"ENSMUSG00000000295","Hddc2",20.5375,19.67,25.18,17.09,3.09498096001529,0.15069901205187,8,21.395,19.68,-0.120537582307136
"ENSMUSG00000000296","Tpd52l1",36.495,35.88,52.81,16.06,12.1834735839755,0.333839528263474,8,26.835,46.155,0.782348552862478
"ENSMUSG00000000301","Pemt",2.8625,2.885,4.07,1.99,0.661097572223647,0.230951116934025,8,3.245,2.48,-0.387741264655541
"ENSMUSG00000000305","Cdh4",6.205,6.5,8.59,3.29,1.67600715988924,0.270105908120748,8,4.935,7.475,0.59892417459574
"ENSMUSG00000000308","Ckmt1",168.7125,170.395,192.22,144,15.8926305922858,0.0941994848768512,8,169.0275,168.3975,-0.005387232983058
"ENSMUSG00000000326","Comt",115.625,114.54,136.67,92.04,13.2140498820655,0.114283674655701,8,124.44,106.81,-0.220401661877921
"ENSMUSG00000000339","RtcA",39.8725,38.53,45.72,35.85,3.830743120746,0.0960748164962319,8,39.3175,40.4275,0.0401643930125385
"ENSMUSG00000000340","Dbt",6.63375,6.375,8.68,5.05,1.30894655025657,0.197316231431177,8,7.6125,5.655,-0.428777707014961
"ENSMUSG00000000346","Dazap2",101.62875,101.065,119.67,82,13.0972488250668,0.128873461742537,8,109.39,93.8675,-0.220781036568138
"ENSMUSG00000000355","Mcts1",55.81375,53.72,80.44,43.8,11.6974624079633,0.209580298904182,8,56.535,55.0925,-0.0372876962431293
"ENSMUSG00000000374","Trappc10",4.10375,4.035,4.73,3.3,0.50810396855087,0.123814552190282,8,4.26,3.9475,-0.109887361152859
"ENSMUSG00000000378","Ccm2",48.51125,39.575,103.15,33.62,23.0432912068319,0.475009223774525,8,59.9975,37.025,-0.696387732476488
"ENSMUSG00000000384","Tbrg4",9.60375,9.515,10.81,8.76,0.847550040663424,0.0882519891358505,8,9.4825,9.725,0.036426990179715
"ENSMUSG00000000399","Ndufa9",129.72375,122.215,156.33,115.07,15.9114280022702,0.122656244537105,8,124.2775,135.17,0.121208930778917
"ENSMUSG00000000409","Lck",1.27875,1.28,1.76,0.82,0.309904939342004,0.242349903688762,8,1.0825,1.475,0.445993567966722
"ENSMUSG00000000416","Cttnbp2",54.2975,55.135,64.22,43,9.56540007377781,0.176166491528667,8,49.405,59.19,0.260691573254743
"ENSMUSG00000000420","Galnt1",5.545,5.43,7.98,4.16,1.22805304678352,0.221470342070968,8,6.3975,4.6925,-0.447069574531443
