Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
microglia_activation,1,21,509,0.4182083623034762,1.9163698404629792,1.8710824211806532,P2RY12
astrocyte_reactivity,1,20,509,0.40299949046394423,2.0173058866385882,1.9646365422396856,OSMR
cytokine_signaling,1,27,509,0.5016755722553959,1.4736632621675592,1.4552863275849524,CXCL12
