"SYMBOL","ENSEMBL","ENTREZID"
"Cebpb","ENSMUSG00000056501","12608"
"Cebpd","ENSMUSG00000071637","12609"
"Cebpg","ENSMUSG00000056216","12611"
"Celsr2","ENSMUSG00000068740","53883"
"Cep131","ENSMUSG00000039781","12009"
"Chd8","ENSMUSG00000053754","67772"
"Chd9","ENSMUSG00000056608","109151"
"Chst11","ENSMUSG00000034612","58250"
"Clcn4","ENSMUSG00000000605","12727"
"Clgn","ENSMUSG00000002190","12745"
"Clip1","ENSMUSG00000049550","56430"
"Clk1","ENSMUSG00000026034","12747"
"Clmp","ENSMUSG00000032024","71566"
"Cln6","ENSMUSG00000032245","76524"
"Cltc","ENSMUSG00000047126","67300"
"Clvs1","ENSMUSG00000041216","74438"
"Cmtm6","ENSMUSG00000032434","67213"
"Cnksr2","ENSMUSG00000025658","245684"
"Cnnm1","ENSMUSG00000025189","83674"
"Cnot9","ENSMUSG00000026174","58184"
"Cnpy4","ENSMUSG00000036968","66455"
"Cnrip1","ENSMUSG00000044629","380686"
"Cntnap2","ENSMUSG00000039419","66797"
"Cntnap5a","ENSMUSG00000070695","636808"
"Coa5","ENSMUSG00000026112","76178"
"Cobl","ENSMUSG00000020173","12808"
"Cog4","ENSMUSG00000031753","102339"
"Coq6","ENSMUSG00000021235","217707"
"Cort","ENSMUSG00000028971","12854"
"Cpeb1","ENSMUSG00000025586","12877"
"Cplane2","ENSMUSG00000073733","76166"
"Cpsf4","ENSMUSG00000029625","54188"
"Csnk1a1","ENSMUSG00000024576","93687"
"Ctr9","ENSMUSG00000005609","22083"
"Cuedc1","ENSMUSG00000018378","103841"
"Cul3","ENSMUSG00000004364","26554"
"Cyb5b","ENSMUSG00000031924","66427"
"Cyb5d1","ENSMUSG00000044795","327951"
"Cyp4f13","ENSMUSG00000024055","170716"
"D430036J16Rik","ENSMUSG00000097466","319405"
"D5Ertd579e","ENSMUSG00000029190","320661"
"D630045J12Rik","ENSMUSG00000063455","330286"
"Dact1","ENSMUSG00000044548","59036"
"Dagla","ENSMUSG00000035735","269060"
"Dapk1","ENSMUSG00000021559","69635"
"Dcaf8","ENSMUSG00000026554","98193"
"Dclk1","ENSMUSG00000027797","13175"
"Dele1","ENSMUSG00000024442","66839"
"Depdc5","ENSMUSG00000037426","277854"
"Depp1","ENSMUSG00000048489","213393"
"Det1","ENSMUSG00000030610","76375"
"Dgkd","ENSMUSG00000070738","227333"
"Dgke","ENSMUSG00000000276","56077"
"Dgkh","ENSMUSG00000034731","380921"
"Dgki","ENSMUSG00000038665","320127"
"Dglucy","ENSMUSG00000021185","217830"
"Dhdh","ENSMUSG00000011382","71755"
"Dhx36","ENSMUSG00000027770","72162"
"Dip2c","ENSMUSG00000048264","208440"
"Dipk1c","ENSMUSG00000047992","240479"
"Dmxl1","ENSMUSG00000037416","240283"
"Dmxl2","ENSMUSG00000041268","235380"
"Dnajb1","ENSMUSG00000005483","81489"
"Dnajb14","ENSMUSG00000074212","70604"
"Dnajc18","ENSMUSG00000024350","76594"
"Dnase1l2","ENSMUSG00000024136","66705"
"Dolpp1","ENSMUSG00000026856","57170"
"Dop1a","ENSMUSG00000034973","320615"
"Dram1","ENSMUSG00000020057","71712"
"Drp2","ENSMUSG00000000223","13497"
"Dscaml1","ENSMUSG00000032087","114873"
"Dsel","ENSMUSG00000038702","319901"
"Dstyk","ENSMUSG00000042046","213452"
"Dusp5","ENSMUSG00000034765","240672"
"Dusp6","ENSMUSG00000019960","67603"
"E130102H24Rik","ENSMUSG00000086782","77866"
"E2f3","ENSMUSG00000016477","13557"
"E430016F16Rik","ENSMUSG00000059146","414121"
"Ecpas","ENSMUSG00000050812","230249"
"Edem3","ENSMUSG00000043019","66967"
"Eef1a1","ENSMUSG00000037742","13627"
"Efcab12","ENSMUSG00000030321","212516"
"Egr1","ENSMUSG00000038418","13653"
"Egr2","ENSMUSG00000037868","13654"
"Egr4","ENSMUSG00000071341","13656"
"Eif5","ENSMUSG00000021282","217869"
"Elac2","ENSMUSG00000020549","68626"
"Elapor2","ENSMUSG00000056004","231014"
"Elf2","ENSMUSG00000037174","69257"
"Elmo1","ENSMUSG00000041112","140580"
"Emsy","ENSMUSG00000035401","233545"
"Enoph1","ENSMUSG00000029326","67870"
"Entpd2","ENSMUSG00000015085","12496"
"Eola1","ENSMUSG00000045237","68618"
"Ep400","ENSMUSG00000029505","75560"
"Epb41l1","ENSMUSG00000027624","13821"
"Epha6","ENSMUSG00000055540","13840"
"Eps8l1","ENSMUSG00000006154","67425"
"Erc1","ENSMUSG00000030172","111173"
"Errfi1","ENSMUSG00000028967","74155"
"Etnk1","ENSMUSG00000030275","75320"
"Etv4","ENSMUSG00000017724","18612"
"Etv6","ENSMUSG00000030199","14011"
"Eva1c","ENSMUSG00000039903","70967"
"Exoc3","ENSMUSG00000034152","211446"
"Faf2","ENSMUSG00000025873","76577"
"Fahd1","ENSMUSG00000045316","68636"
"Fam107a","ENSMUSG00000021750","268709"
