"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","entrez"
"Cdkn1a",1.7302696959794,7.1404523946001,6.86119896351897,1.89317282066596e-05,0.239864996378377,-3.34968403200575,"12575"
"Tma16",1.46136912524991,6.21581412065764,4.72460570705142,0.000514799970432577,0.99996385589442,-3.61007331558459,"66282"
"Itgad",1.41872484664639,4.26317376702027,4.60007104021451,0.000636369237433887,0.99996385589442,-3.83378225218222,"381924"
"Synm",0.774075781236983,6.04584421636376,4.19521011830612,0.0012852969350367,0.99996385589442,-3.70589626187214,"233335"
"mt-Rnr2",0.961455347450507,15.3526993655274,4.18520770111078,0.00130814564351346,0.99996385589442,-4.02036269033701,"17725"
"Fkbp5",0.821109770127327,6.52339065549952,4.16578565674317,0.00135372324315602,0.99996385589442,-3.71382404729746,"14229"
"Pla2g3",1.3548302009398,1.61274880426698,4.11686980274235,0.00147595797369552,0.99996385589442,-4.32116341373531,"237625"
"P2ry1",-0.752229856976165,4.76910575822963,-3.95256411123507,0.0019770851924298,0.99996385589442,-3.84501826513315,"18441"
"Tiparp",0.716171497144923,6.07490784766142,3.91526247349906,0.00211358519384739,0.99996385589442,-3.76777827059349,"99929"
"Slc25a13",0.810900629706971,3.8411361858292,3.76419232707026,0.00277366686350401,0.99996385589442,-4.01821954069597,"50799"
"Phactr3",0.763132055365794,8.30019068634443,3.74939678733193,0.002848815311515,0.99996385589442,-3.858599596226,"74189"
"Sgk3",0.773462591332406,5.91148729026725,3.65891568870872,0.00335617432885563,0.99996385589442,-3.83268809429178,"170755"
"Lair1",-0.872757531275453,3.43379103140381,-3.6223654355764,0.00358659133910209,0.99996385589442,-4.10745130381362,"52855"
"Tmf1",0.582210036180713,6.92816876344865,3.61949177761211,0.00360538049016383,0.99996385589442,-3.84884676394108,"232286"
"Gpr84",-1.93589695917215,0.164429468065802,-3.51023438296407,0.00439973208308883,0.99996385589442,-4.45420116662129,"80910"
"P2ry12",-0.98128811891852,5.52938302505455,-3.46489590469221,0.0047798796492992,0.99996385589442,-3.9043204839883,"70839"
"Uba52",0.610090784008429,6.12368590176794,3.45457278081681,0.00487101775705867,0.99996385589442,-3.88119846195166,"22186"
"Kctd17",0.644074721441694,3.7108659513863,3.44936752979019,0.00491764182765063,0.99996385589442,-4.08932703943125,"72844"
"Cd109",1.55246160404011,0.47302174244785,3.441711958421,0.00498704082231814,0.99996385589442,-4.44794394690972,"235505"
"Pdk4",1.05742237227524,2.31185276361382,3.42598604153229,0.00513274315234799,0.99996385589442,-4.29548348374506,"27273"
"Fhad1",1.28498277031575,3.8207122406156,3.34091884468262,0.00599939070880999,0.99996385589442,-4.11268604637211,"329977"
