"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","significant"
9.33620617413133e-181,1.81247761828244,0.462,0.29,2.2849430990569e-176,"8","Man2b1",TRUE
7.4879878835985e-178,0.657442106587591,0.583,0.345,1.8326101546319e-173,"8","Trf",TRUE
2.90730804138738e-174,0.835525482379781,0.94,0.941,7.11534570049148e-170,"8","Rps29",TRUE
6.43695556019318e-168,0.708738232619273,0.81,0.627,1.57538050380168e-163,"8","Sparc",TRUE
1.78583371063903e-165,1.70524613366247,0.361,0.183,4.37064942341796e-161,"8","Pld4",TRUE
3.29238847689684e-161,2.4803548036456,0.382,0.224,8.05779155835733e-157,"8","Nabp1",TRUE
6.1135234413366e-161,1.80618051456679,0.494,0.347,1.49622372703272e-156,"8","Srgap2",TRUE
2.18740524164167e-157,1.92672251898026,0.351,0.182,5.35345558839382e-153,"8","Icam1",TRUE
1.30238615976141e-151,1.63869526574582,0.362,0.191,3.18745988740007e-147,"8","Cyth4",TRUE
2.57670468027441e-147,1.52242696311335,0.415,0.242,6.30622703450359e-143,"8","Mylip",TRUE
2.88255887287109e-147,1.39730388646699,0.432,0.256,7.0547745854647e-143,"8","Lpcat2",TRUE
1.2915524220108e-145,0.867880232475316,0.681,0.528,3.16094539762923e-141,"8","Serinc3",TRUE
2.19189981831674e-136,0.866882027450144,0.778,0.78,5.36445561534838e-132,"8","Rpl18a",TRUE
1.50953162181142e-134,1.63267147525111,0.432,0.283,3.69442769122126e-130,"8","Plxdc2",TRUE
6.5117479322733e-134,0.638915246881387,0.908,0.887,1.59368518894457e-129,"8","Eef1a1",TRUE
2.49171834687961e-131,1.86302743895936,0.343,0.192,6.09823148215316e-127,"8","Lair1",TRUE
7.05999782473486e-131,1.37136499634278,0.489,0.343,1.72786386762561e-126,"8","Grn",TRUE
3.55168844791857e-129,1.53516855388732,0.54,0.437,8.69240230743592e-125,"8","Mef2a",TRUE
1.52403171320834e-128,0.919664351154975,0.657,0.526,3.72991521490609e-124,"8","B2m",TRUE
1.08697423972875e-127,0.843854530810598,0.794,0.79,2.66026075431214e-123,"8","Rps9",TRUE
1.52194964738854e-127,1.3670079959579,0.372,0.208,3.7248195670187e-123,"8","Ltc4s",TRUE
2.62657940316461e-124,0.548863493729843,0.843,0.803,6.42829043130507e-120,"8","Ftl1",TRUE
1.57927384422936e-120,0.736158338053729,0.84,0.85,3.86511480636694e-116,"8","Rpl35a",TRUE
3.1783019374496e-119,0.913781388099681,0.76,0.778,7.77857616171415e-115,"8","Rps4x",TRUE
3.2201703286706e-119,1.19149103854178,0.395,0.23,7.88104486238843e-115,"8","Rnase4",TRUE
6.77014055673927e-119,1.82154589160341,0.319,0.177,1.65692419985637e-114,"8","Plek",TRUE
4.13406006450765e-116,1.57719630586812,0.324,0.178,1.0117698601876e-111,"8","Irf8",TRUE
6.07548771259572e-114,1.19344114614801,0.627,0.53,1.48691486278068e-109,"8","Junb",TRUE
1.67638829241691e-113,1.80945325069409,0.312,0.176,4.10279270686115e-109,"8","Inpp5d",TRUE
2.89852543420744e-113,1.39696427033088,0.333,0.185,7.09385114767929e-109,"8","Cd300c2",TRUE
5.66398988003654e-113,0.331942543828531,0.984,0.972,1.38620488324014e-108,"8","mt-Nd1",TRUE
3.43833135396896e-111,0.720698859718406,0.829,0.841,8.41497215570364e-107,"8","Rpl30",TRUE
1.70418783818747e-110,0.842549771664393,0.759,0.784,4.17082931518e-106,"8","Rps11",TRUE
6.3368105018182e-108,0.686360979512582,0.87,0.887,1.55087100221499e-103,"8","Rps24",TRUE
1.96290668949516e-107,1.71678979088688,0.295,0.161,4.80401783187044e-103,"8","P2ry13",TRUE
3.73652029780865e-107,0.814956025703115,0.792,0.814,9.14475977685689e-103,"8","Rpl39",TRUE
1.32303833816814e-106,1.1294370001304,0.534,0.424,3.2380040288327e-102,"8","Epb41l2",TRUE
3.77183217647844e-106,1.84664844669729,0.317,0.187,9.23118206871334e-102,"8","Pde3b",TRUE
1.47727185062432e-102,1.66321652955502,0.307,0.175,3.61547512721796e-98,"8","Fyb",TRUE
3.008395688269e-101,0.6803586790482,0.839,0.858,7.36274760746956e-97,"8","Rps23",TRUE
6.77348496251053e-100,0.689986577515416,0.833,0.84,1.65774270972483e-95,"8","Rpl27a",TRUE
2.80926155904491e-99,1.26833432737319,0.511,0.416,6.87538673960652e-95,"8","Sirpa",TRUE
7.13339263066786e-99,0.810873193959812,0.808,0.836,1.74582651242965e-94,"8","Rps12",TRUE
5.44140432354885e-98,1.40157786215097,0.474,0.374,1.33172929414534e-93,"8","Ivns1abp",TRUE
9.83005362935315e-97,1.61584669389156,0.369,0.245,2.40580732524789e-92,"8","Entpd1",TRUE
8.67043427051973e-96,0.518641261795866,0.862,0.83,2.122002083367e-91,"8","Itm2b",TRUE
3.1914906034312e-95,0.638958373036428,0.898,0.918,7.81085410283751e-91,"8","Tpt1",TRUE
1.71927371617258e-93,0.871949996083249,0.693,0.708,4.20775049296077e-89,"8","Rplp0",TRUE
4.49554162342821e-93,1.30776904911677,0.325,0.19,1.10023885691782e-88,"8","Cd53",TRUE
1.09759940384373e-92,1.39927440085866,0.387,0.261,2.68626478096715e-88,"8","Lyn",TRUE
1.63348670256651e-92,0.630560874252666,0.829,0.85,3.99779535586128e-88,"8","Rpl23",TRUE
1.70364734946059e-92,0.815993398308104,0.713,0.721,4.16950652306986e-88,"8","Rpl10",TRUE
1.06860048662012e-89,1.2089572546392,0.458,0.346,2.61529283095408e-85,"8","Pmepa1",TRUE
4.38997703075117e-89,0.604017863685536,0.846,0.869,1.07440297850604e-84,"8","Rpl37",TRUE
5.62977708963928e-89,0.659730126258994,0.82,0.839,1.37783164491832e-84,"8","Rpl21",TRUE
1.76273743878587e-88,1.17533300520257,0.422,0.297,4.31412360768453e-84,"8","Cyba",TRUE
2.55736270697164e-88,1.48047644864047,0.324,0.2,6.2588894890424e-84,"8","Ptgs1",TRUE
1.21990713170558e-87,0.681900271801408,0.784,0.806,2.98560071413625e-83,"8","Rpl13a",TRUE
6.2160189272445e-84,1.31289611947527,0.505,0.42,1.52130847225382e-79,"8","Btg2",TRUE
1.37856894837838e-83,0.704043961137022,0.784,0.818,3.37390964426124e-79,"8","Rps3a1",TRUE
2.93392000379543e-83,0.250148373139324,0.994,0.987,7.18047581728893e-79,"8","mt-Nd4",TRUE
6.38381956472359e-83,0.679168152549809,0.789,0.824,1.56237600027045e-78,"8","Rps10",TRUE
2.34989233757696e-82,1.47391591452777,0.316,0.197,5.75112650698585e-78,"8","Apbb1ip",TRUE
2.84502568553712e-82,1.78797469329091,0.372,0.275,6.96291586278354e-78,"8","Elmo1",TRUE
3.76505716559594e-82,1.47551487550857,0.289,0.172,9.2146009070795e-78,"8","Spi1",TRUE
7.57261919393786e-82,0.618769990819767,0.805,0.843,1.85332282152435e-77,"8","Rpl26",TRUE
1.83307859579043e-81,1.03086024459822,0.337,0.202,4.4862765553375e-77,"8","Hpgd",TRUE
1.93986393900259e-81,0.626955336053195,0.784,0.809,4.74762300431493e-77,"8","Rpl11",TRUE
1.7206240856254e-78,1.49721153415692,0.33,0.217,4.2110553871596e-74,"8","Golm1",TRUE
9.98636123324147e-77,1.34352327945161,0.316,0.201,2.44406204822352e-72,"8","Ptpn18",TRUE
2.00730772647478e-74,0.677741343384384,0.737,0.769,4.91268492977437e-70,"8","Rps3",TRUE
3.3623864433219e-74,1.72669878881721,0.379,0.289,8.22910458138601e-70,"8","Skil",TRUE
6.47601717591531e-73,0.624909557072835,0.773,0.796,1.58494044363351e-68,"8","Rps20",TRUE
1.69652174475953e-72,1.54103252744088,0.259,0.153,4.15206731812448e-68,"8","Bin2",TRUE
6.18763783462681e-72,1.29106443328252,0.293,0.18,1.51436248364657e-67,"8","Alox5ap",TRUE
1.10131708177501e-71,0.611507953451788,0.82,0.852,2.69536342593615e-67,"8","Rpl37a",TRUE
1.56500872595568e-71,0.60835432166062,0.773,0.796,3.83020235590394e-67,"8","Rps16",TRUE
