"Metric","Value"
"total_genes","22337"
"significant_p05","3153"
"significant_fdr05","10"
"upregulated_p05","1470"
"downregulated_p05","1683"
"upregulated_fdr05","6"
"downregulated_fdr05","4"
"max_upregulation","2.61731979549091"
"max_downregulation","-3.59920697252891"
"top_upregulated","Snurf"
"top_downregulated","Scn4b"
