Contrast,Method,TF,Activity_Score,P_value
Control_DLPFC_vs_NAC_full,DoRothEA,ARNT,1.690851903425874,0.09086509122481701
Control_DLPFC_vs_NAC_full,DoRothEA,TCF12,1.6857873946281516,0.09183675655877785
Control_DLPFC_vs_NAC_full,DoRothEA,SP3,-1.6843431354790461,0.09211537356549344
Control_DLPFC_vs_NAC_full,DoRothEA,FOXL2,-1.6678857459504495,0.09533840979789318
Control_DLPFC_vs_NAC_full,DoRothEA,SREBF2,1.6491618391487297,0.09911448355445092
Control_DLPFC_vs_NAC_full,DoRothEA,HBP1,-1.6339319744459146,0.10227313501957593
Control_DLPFC_vs_NAC_full,DoRothEA,RARA,-1.6115375086394523,0.10706261873005278
Control_DLPFC_vs_NAC_full,DoRothEA,TEAD1,1.5826927982226793,0.11349150057739694
Control_DLPFC_vs_NAC_full,DoRothEA,TEAD2,-1.5753311828744743,0.11518001984426511
Control_DLPFC_vs_NAC_full,DoRothEA,MYOD1,1.5437115707162405,0.12265822196911103
Control_DLPFC_vs_NAC_full,DoRothEA,ZNF639,-1.520101520610066,0.12848546250526768
Control_DLPFC_vs_NAC_full,DoRothEA,KLF4,-1.5052515069739965,0.13225942741662827
Control_DLPFC_vs_NAC_full,DoRothEA,KLF3,1.4897448507457194,0.1362913368305556
Control_DLPFC_vs_NAC_full,DoRothEA,MITF,1.4863111997389862,0.13719682566768143
Control_DLPFC_vs_NAC_full,DoRothEA,POU5F1,1.4769210753843514,0.1396967948013286
Control_DLPFC_vs_NAC_full,DoRothEA,STAT5A,-1.4669158100500694,0.14239895911587358
Control_DLPFC_vs_NAC_full,DoRothEA,SPIB,-1.4535139419290304,0.14608111157208578
Control_DLPFC_vs_NAC_full,DoRothEA,MYC,1.4510368018427133,0.14676961275464473
Control_DLPFC_vs_NAC_full,DoRothEA,TP63,-1.4448635074404943,0.14849622836453755
Control_DLPFC_vs_NAC_full,DoRothEA,ASCL1,1.4442693871767456,0.1486632134193193
Control_DLPFC_vs_NAC_full,DoRothEA,ESR1,-1.4141437330072795,0.15731970474975268
Control_DLPFC_vs_NAC_full,DoRothEA,LYL1,-1.3932116691080452,0.16355579209671273
Control_DLPFC_vs_NAC_full,DoRothEA,ZBTB33,1.3826823403367823,0.1667622890918604
Control_DLPFC_vs_NAC_full,DoRothEA,AHR,1.3803928056540207,0.16746573409231547
Control_DLPFC_vs_NAC_full,DoRothEA,FOXJ2,-1.375492448214538,0.1689788253584817
Control_DLPFC_vs_NAC_full,DoRothEA,E2F4,1.3710748406519682,0.1703516270168834
Control_DLPFC_vs_NAC_full,DoRothEA,MAFG,1.3609926023918009,0.17351602725337184
Control_DLPFC_vs_NAC_full,DoRothEA,PPARG,-1.3375368336498275,0.18104746743440397
Control_DLPFC_vs_NAC_full,DoRothEA,NFIC,-1.3153507606166148,0.188392045774092
Control_DLPFC_vs_NAC_full,DoRothEA,ZNF24,-1.3151805123881435,0.18844924293944978
Control_DLPFC_vs_NAC_full,DoRothEA,NR2F1,1.2956901775144924,0.19508224676797095
Control_DLPFC_vs_NAC_full,DoRothEA,NR2C2,1.2857384952170778,0.1985343416477363
Control_DLPFC_vs_NAC_full,DoRothEA,PBX2,1.278995706397236,0.2008985678670924
Control_DLPFC_vs_NAC_full,DoRothEA,RBPJ,-1.2721387008570015,0.20332384273761286
Control_DLPFC_vs_NAC_full,DoRothEA,SP1,-1.2682834096313975,0.20469675951863023
Control_DLPFC_vs_NAC_full,DoRothEA,SOX13,-1.2669032458288423,0.20518988799530877
Control_DLPFC_vs_NAC_full,DoRothEA,GLI2,-1.2637194602803814,0.20633073777323627
Control_DLPFC_vs_NAC_full,DoRothEA,HHEX,1.257461248462465,0.20858666275455964
Control_DLPFC_vs_NAC_full,DoRothEA,FOXP2,-1.240404150254925,0.21482594670539548
Control_DLPFC_vs_NAC_full,DoRothEA,VDR,-1.2375793977264844,0.21587205749502306
Control_DLPFC_vs_NAC_full,DoRothEA,EGR1,-1.2324788585627078,0.21777025925446103
Control_DLPFC_vs_NAC_full,DoRothEA,IRF9,-1.2121135567850985,0.22546891498951552
Control_DLPFC_vs_NAC_full,DoRothEA,MAFB,1.2108625096476813,0.2259481031022866
Control_DLPFC_vs_NAC_full,DoRothEA,JUNB,1.1990344276829579,0.23051455908168234
Control_DLPFC_vs_NAC_full,DoRothEA,BCL6,-1.1781117813834867,0.2387520458176455
