gene,lfc,pval,adj_pval,stat,mean_oud,mean_ctrl,effect_size,significant,significant_strict
AL627309.5,0.004144575618676206,0.0,0.0,24.619934667803197,0.0258505,0.021705862,0.22138749,False,False
LINC02593,-2.9232662655996126e-05,0.00011158117084519859,0.00014286961695928117,-3.8646072072944184,0.00010495718,0.00013418969,-0.03479416,False,False
SAMD11,0.0005552053815934884,0.0,0.0,11.685969791689867,0.0016931535,0.0011379521,0.10509601,False,False
MXRA8,-0.0001909045816894943,2.6277763696125334e-05,3.437997866915656e-05,-4.204410258501645,0.0012575963,0.0014485068,-0.037813548,False,False
CFAP74,-0.0016857939847596992,0.0,0.0,-12.633813844032144,0.009872924,0.011558723,-0.11360619,False,False
SKI,0.018071614831463044,0.0,0.0,17.098429867975486,0.27423623,0.25616717,0.15372087,False,False
HES5,-0.0002979462840793433,0.012354179590680081,0.01442683486650068,-2.5020651472733806,0.0035421378,0.0038400914,-0.022499839,False,False
PRDM16-DT,0.003029533243292787,0.0,0.0,9.1226404731756,0.010611968,0.007582454,0.08202849,False,False
PRDM16,0.0009306998952250626,0.21267672084450862,0.22934225827948448,1.246274298330357,0.02740681,0.026476085,0.011206369,False,False
AL354743.2,0.0005568311815495509,0.0,0.0,18.538013696414147,0.0007783623,0.00022154543,0.16673596,False,False
AL136528.1,-4.33746378772778e-05,0.0,0.0,-9.297922946001158,7.3349154e-05,0.000116724084,-0.08378117,False,False
CHD5,0.0012027652062938546,0.0,0.0,14.40612708003462,0.005565142,0.004362364,0.12954998,False,False
SLC2A5,0.004857713933264249,2.561229006659005e-10,3.9383326601624886e-10,6.326135653855022,0.03133548,0.02647777,0.05688237,False,False
MIR34AHG,0.005332214503206281,0.0,0.0,22.987284406802107,0.019414349,0.014082133,0.20669991,False,False
PIK3CD,-0.004895936627705247,0.0,0.0,-11.723077982707219,0.023379901,0.028275926,-0.10541288,False,False
DISP3,-0.007636544362155428,0.0,0.0,-45.017012239556706,0.007480932,0.01511743,-0.40479338,False,False
TNFRSF1B,0.0014240123895311093,0.001885535558361795,0.00230130458709739,3.108062473476375,0.015973613,0.014549513,0.02794857,False,False
DHRS3,-0.002890639120521046,0.0,0.0,-9.915716540375712,0.015103039,0.01799374,-0.089162484,False,False
C1orf158,-4.294775598561044e-05,0.07670738193366122,0.08529360481874858,-1.7702001411605326,0.00059855636,0.000641504,-0.015923286,False,False
PDPN,0.0033794395952506883,0.0,0.0,16.04332602999128,0.013337718,0.009958239,0.14426264,False,False
TMEM51,-0.0004323911934833325,0.07216956800782981,0.08042671026132595,-1.7981317510742725,0.01281502,0.013247407,-0.016168479,False,False
EFHD2,0.000580825593545187,1.5808050165322385e-05,2.0864122523522726e-05,4.318061537699284,0.0078070587,0.007226247,0.038827956,False,False
SRARP,-9.060261208722545e-05,0.3652751349705239,0.38598992776032814,-0.9053775328690626,0.0011821026,0.0012727029,-0.008141339,False,False
EPHA2,0.0003411019169576249,0.0,0.0,9.809623936470205,0.0016931632,0.0013520549,0.0882304,False,False
PADI1,1.9793344501284858e-05,0.1995732908914034,0.21575490907178746,1.282806030700309,0.0005929907,0.00057319895,0.0115408925,False,False
IGSF21,-0.015081945528700595,0.0,0.0,-15.980462921433755,0.0368486,0.05193029,-0.14368801,False,False
MICOS10,-0.004422707848884751,4.0452530214452054e-11,6.367134871109977e-11,-6.605692247032331,0.060595643,0.06501812,-0.059393078,False,False
LINC01141,-0.021692941063694442,0.0,0.0,-27.32814263467722,0.014290284,0.035983212,-0.24572495,False,False
ALPL,-0.0004473434531429412,3.384470481648805e-11,5.349531846652483e-11,-6.632111954021476,0.0042025195,0.00464986,-0.059641227,False,False
WNT4,0.003491054503552986,0.0,0.0,52.989092506405726,0.0060749603,0.002583918,0.47652346,False,False
EPHA8,0.0005929762623319378,0.0,0.0,45.6603969613886,0.001025045,0.00043207165,0.41086873,False,False
C1QA,-0.0006320028631714425,6.911482834270899e-06,9.223509120468282e-06,-4.4974595405434625,0.0055721104,0.0062041674,-0.04044539,False,False
C1QC,-3.379996742521438e-05,0.8706873648678473,0.8777090371651686,-0.16278731146759093,0.0095489025,0.009582661,-0.0014619859,False,False
C1QB,-0.0035695093571572285,0.0,0.0,-10.89989769388284,0.013178745,0.016748212,-0.09800864,False,False
ID3,-0.0002063320745587098,0.5119212774113482,0.5328812741964069,-0.6558594624219825,0.027773164,0.027979607,-0.0059005283,False,False
GRHL3,0.0015783840181186148,0.0,0.0,18.869524386158332,0.002791119,0.0012127461,0.16968495,False,False
RUNX3,-0.0003505985157319913,0.14055627063910126,0.15350156968230935,-1.473774772885571,0.0018447854,0.002195389,-0.013252246,False,False
MAN1C1,0.01889306851974816,0.0,0.0,18.62608660086675,0.21810909,0.19921638,0.16747558,False,False
FAM110D,0.00014506932216330534,3.355490134637762e-07,4.666884749148487e-07,5.103837868761275,0.0006798573,0.00053479185,0.045906123,False,False
CD52,-2.325927898022109e-05,0.21146839509972404,0.22812124606226972,-1.2495735732275908,0.00059994037,0.00062320195,-0.011242688,False,False
SYTL1,0.00034363417393190533,0.0,0.0,9.789480430826128,0.0017263602,0.0013827165,0.088049784,False,False
GPR3,0.0002547531202061508,0.0,0.0,17.36205599757576,0.00040513673,0.00015038358,0.15621711,False,False
FGR,0.0002264038364092522,0.0007381757759243879,0.0009158508386158658,3.3754589329467186,0.0025460056,0.0023195962,0.030355798,False,False
PTAFR,-0.01023949840593258,0.0,0.0,-22.380803076768988,0.059192948,0.06943266,-0.2012464,False,False
RAB42,0.00023739769859154367,0.0,0.0,15.671812674712582,0.00089006865,0.0006526688,0.1410072,False,False
EPB41,0.0024910526065117,0.00018627968708950782,0.00023679621240191672,3.7375545792643368,0.08356049,0.08106935,0.033608027,False,False
LAPTM5,-0.005553713207307099,0.0,0.0,-13.416807565545515,0.015179631,0.020733388,-0.12064157,False,False
SDC3,0.013150926418627645,0.0,0.0,37.05562953210738,0.055288725,0.042137727,0.33319816,False,False
TINAGL1,-4.0009359391441516e-05,0.26839461388972485,0.28695076324632024,-1.1067945871842237,0.00025161597,0.00029162513,-0.009954463,False,False
LCK,-0.00033080006353982847,0.007216470758699467,0.008533469560937486,-2.686932249223493,0.0029711896,0.0033019974,-0.024162168,False,False
AC099565.1,0.000279642680955464,0.0,0.0,9.27685402418853,0.0017108171,0.0014311764,0.08344001,False,False
GJA4,0.0002600025362670687,0.0,0.0,11.6075337771941,0.00035068684,9.0687136e-05,0.10441464,False,False
DLGAP3,0.001074601120185776,0.0,0.0,14.432008972061235,0.002769715,0.0016951241,0.12978198,False,False
EVA1B,-0.00021371830307424891,2.724487302430134e-13,4.5357724235795797e-13,-7.31185151216418,0.00055550213,0.0007692205,-0.06576711,False,False
CSF3R,-0.004926409614120515,2.220446049250313e-15,3.861645303044023e-15,-7.932712951808387,0.018250477,0.023176884,-0.071328394,False,False
GRIK3,0.012192983949973502,0.0,0.0,25.106781014188705,0.03351747,0.021324473,0.2257534,False,False
HEYL,0.0021080447196423877,0.0,0.0,35.30718440888588,0.0055775126,0.0034694679,0.3175186,False,False
MFSD2A,0.005189172530861925,0.0,0.0,33.76580463315307,0.013242093,0.008052922,0.303626,False,False
SMAP2,-0.00019997701667014882,0.8913513191626634,0.8970325251553137,-0.13659605651303708,0.33153558,0.3317355,-0.0012278297,False,False
SLC2A1,0.02155929271605536,0.0,0.0,31.37394695543318,0.1072464,0.085687,0.28210554,False,False
TIE1,-0.003959529266641632,0.0,0.0,-18.839010573766124,0.023498703,0.02745802,-0.16939057,False,False
ARMH1,0.006960739226892965,0.0,0.0,22.923410326384293,0.052053355,0.045092665,0.20612197,False,False
PIK3R3,-0.00464807487039792,0.0,0.0,-12.053960292419749,0.01997981,0.0246279,-0.10838676,False,False
