"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significant","direction"
384.706972352215,-0.772782298048028,0.0871365781145138,-8.86863260836853,7.40495470089586e-19,6.43928340704004e-18,"TSPAN6",TRUE,"Down"
675.155085068575,0.249291257271001,0.088790645443587,2.80762974551624,0.00499075710343577,0.00975469367976459,"DPM1",FALSE,"Up"
601.149498307534,0.350542990173948,0.0693892260750864,5.05183599820848,4.3758335143238e-07,1.5127506459757e-06,"SCYL3",FALSE,"Up"
258.138906678782,-0.339853203371812,0.0680811157987235,-4.99188650750909,5.9792387545441e-07,2.03475128328093e-06,"FIRRM",FALSE,"Down"
86.8286377190369,-0.234239965391139,0.158215790110214,-1.48050940571713,0.138737352492278,0.194470969056549,"FGR",FALSE,"Down"
701.925914096559,-0.256630949566559,0.175985937329664,-1.45824691143263,0.144772497533288,0.201987581951968,"CFH",FALSE,"Down"
365.93663206812,-0.29866136033573,0.0965052497106273,-3.09476801760807,0.00196966886962364,0.0041495698043351,"FUCA2",FALSE,"Down"
2117.68156721783,-0.555755101081043,0.0657682694705552,-8.45020107043955,2.90801561971894e-17,2.29168868430003e-16,"GCLC",TRUE,"Down"
1174.64232112173,-0.248565559843288,0.0504612694640731,-4.92586814567278,8.39866203690044e-07,2.80560765047606e-06,"NFYA",FALSE,"Down"
425.713203454012,0.806709564147273,0.0787858336544745,10.2392717919976,1.32227834775285e-24,1.52417520426884e-23,"STPG1",TRUE,"Up"
4821.58453604177,-0.00922437078667529,0.0774362710972878,-0.119122094284294,0.905178626666362,0.928446014955672,"NIPAL3",FALSE,"Down"
914.524554427319,-0.180534479752618,0.0909652594904148,-1.98465305066976,0.047183085665736,0.0748181586051148,"LAS1L",FALSE,"Down"
3172.31103053784,0.176684331724182,0.0849955571525105,2.07874785039823,0.0376405323880818,0.0611020629367552,"ENPP4",FALSE,"Up"
124.904604685769,-0.770517795790446,0.16855379602758,-4.57134644220275,4.84600338950814e-06,1.48863065685479e-05,"SEMA3F",TRUE,"Down"
141.025249570021,-2.84888395461028,0.125210520410933,-22.7527522867921,1.34774441737266e-114,1.49076705494424e-112,"CFTR",TRUE,"Down"
5380.90656511357,-0.247488807698556,0.0512274293991287,-4.83117756642237,1.35727885983261e-06,4.43912859975769e-06,"ANKIB1",FALSE,"Down"
125.755522876672,0.709556949173928,0.111390628783598,6.36998782502975,1.89043206200371e-10,9.01467801527652e-10,"CYP51A1",TRUE,"Up"
449.395919071693,0.105859278780867,0.05247645949663,2.01727174043945,0.0436671630186661,0.0698437190673361,"KRIT1",FALSE,"Up"
499.66551483037,-0.140198114335044,0.0978817543470735,-1.43232122544436,0.152051911317254,0.210571489566106,"RAD52",FALSE,"Down"
494.021505485891,0.815768560094498,0.0853143890544958,9.56191058900292,1.1560254041993e-21,1.16627400592205e-20,"BAD",TRUE,"Up"
1307.83356962334,-0.314358009143625,0.120796354606839,-2.60237993246386,0.00925792262838186,0.0171302899946097,"LAP3",FALSE,"Down"
526.3117676279,-1.19209179184234,0.140004193765716,-8.5146863088772,1.67041861292577e-17,1.33735048938148e-16,"CD99",TRUE,"Down"
138.651105899766,1.96989122339545,0.147911168283212,13.318069529568,1.81746392936079e-40,3.81322686180683e-39,"HS3ST1",TRUE,"Up"
36.0030296921427,3.04966416603487,0.202547809333142,15.0565151806649,3.12848660244025e-51,8.76515096426344e-50,"WNT16",TRUE,"Up"
3666.69260321812,2.00499070918928,0.0628831581304648,31.8843831766447,4.39576476000075e-223,2.38345260604511e-220,"HECW1",TRUE,"Up"
36.2862678774386,-0.175357464443314,0.122455516929636,-1.43200950712638,0.15214110050213,0.210663354473257,"MAD1L1",FALSE,"Down"
2071.46960217903,0.231820726539492,0.0679432595851322,3.41197534464803,0.000644939463063537,0.00147125152384887,"LASP1",FALSE,"Up"
553.047504425851,-0.0986714483248908,0.0564831215374361,-1.74691917937809,0.0806513584186298,0.120900526608683,"SNX11",FALSE,"Down"
126.739804613955,-1.09247779726016,0.120609216401108,-9.05799597956863,1.32869151572675e-19,1.20112149344204e-18,"TMEM176A",TRUE,"Down"
1506.12844164233,0.103537372855733,0.0694343044175399,1.49115590232051,0.135920568252423,0.191156228855199,"M6PR",FALSE,"Up"
1227.47468333308,-2.73435980879068,0.131325621509119,-20.8212211552398,2.7800978760318e-96,2.10624785112075e-94,"KLHL13",TRUE,"Down"
410.919358624977,2.05701650292463,0.11310993990929,18.1859923590647,6.66382570681578e-74,3.30241527366625e-72,"CYP26B1",TRUE,"Up"
1906.29475170934,0.457792130568866,0.0533231305502699,8.5852448242379,9.06431857500028e-18,7.37656272967872e-17,"ICA1",FALSE,"Up"
623.611467190932,1.66372620439962,0.0735187034182367,22.6299720621422,2.19742873892367e-113,2.32817995852323e-111,"DBNDD1",TRUE,"Up"
3427.47922928901,0.847955802727439,0.0385971881826314,21.9693672688057,5.65507944369643e-107,5.19534590885506e-105,"ALS2",TRUE,"Up"
157.201446395553,-0.566719563559789,0.168109191885566,-3.37113965752426,0.000748578984449048,0.00169055467332875,"CASP10",TRUE,"Down"
2772.31830561967,-1.05418618268145,0.0547709734390395,-19.2471690110596,1.49090512497155e-82,8.88534470276685e-81,"CFLAR",TRUE,"Down"
148.991314019915,-0.0597297705507074,0.154348138120614,-0.386980829687963,0.69877040012675,0.760691987823991,"TFPI",FALSE,"Down"
1062.27692218187,0.200041902845427,0.0483360296645992,4.13856711512107,3.49481642384886e-05,9.63819273648076e-05,"NDUFAF7",FALSE,"Up"
