ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
GAO_STOMACH_24W_C5_PUTATIVE_PIT_CELL_PROGENITOR,GAO_STOMACH_24W_C5_PUTATIVE_PIT_CELL_PROGENITOR,10/2407,54/16602,0.18518518518518517,1.2772930803674467,0.8404282214577052,0.25034515438324423,0.34890988244910565,0.16707537300019998,WIF1/GBP2/SLC24A3/LRRFIP2/CORO1C/RASSF3/HACD1/AK4/CAPS/CFAP221,10,1.5006385696040867,0.7632296384172904,2.9505092612142247
DESCARTES_MAIN_FETAL_TROPHOBLAST_GIANT_CELLS,DESCARTES_MAIN_FETAL_TROPHOBLAST_GIANT_CELLS,23/2407,137/16602,0.1678832116788321,1.157954748771072,0.7644508619260868,0.25487372846812434,0.3545660355442173,0.1697838198962258,STK3/SPTLC3/SEMA3B/GRAMD2B/ADM/CRH/ENDOU/STS/KYNU/FBLN1/PSG8/ST3GAL4/BMP1/TINCR/NAV2-AS4/SVEP1/HSD17B1/ZNF117/LINC00601/IGSF5/LEP/PSG9/BPGM,23,1.3604329222250189,0.8729421193490584,2.120160884496907
ZHONG_PFC_MAJOR_TYPES_INTERNEURON,ZHONG_PFC_MAJOR_TYPES_INTERNEURON,4/2407,18/16602,0.2222222222222222,1.532751696440936,0.9312234864465295,0.25859720724241925,0.3590834148449063,0.17194696536619133,MAF/MEF2C/DLX2/CELF4,4,1.800766283524904,0.6089338668400336,5.325306054511112
BUSSLINGER_DUODENAL_EC_CELLS,BUSSLINGER_DUODENAL_EC_CELLS,5/2407,24/16602,0.20833333333333334,1.4369547154133777,0.8820911302540986,0.26219140063994056,0.3633013720651034,0.17396673267950644,SCG2/RGS2/KCTD12/CHGB/RAB3C,5,1.6882183908045978,0.6435314108083385,4.4288146424288515
DESCARTES_FETAL_PANCREAS_DUCTAL_CELLS,DESCARTES_FETAL_PANCREAS_DUCTAL_CELLS,17/2407,99/16602,0.1717171717171717,1.1843990381589053,0.7577610364011167,0.262598471850771,0.3633013720651034,0.17396673267950644,FGFR3/PAQR5/ATP13A4/ANO3/MUC20/KCNJ16/ADORA1/LAMA1/SLC4A4/LEFTY1/FUT3/HKDC1/WNK2/CAPS/CFAP221/LHFPL3-AS2/NCMAP,17,1.391501219087426,0.8303363965384043,2.331917101061627
CUI_DEVELOPING_HEART_TRABECULAR_VENTRICULAR_CARDIOMYOCYTE,CUI_DEVELOPING_HEART_TRABECULAR_VENTRICULAR_CARDIOMYOCYTE,18/2407,106/16602,0.16981132075471697,1.1712536548275079,0.7283513490444044,0.2706231918700086,0.3737177411538214,0.1789546073094524,HAMP/VCAN/ARRDC3/PPP1R15A/LIX1/TNFRSF12A/SPINT2/DHCR7/SQLE/TSPAN13/SLC3A2/MGST1/S1PR1/RXRG/HES1/SLC2A1/RASD1/DNAJB1,18,1.376057254391672,0.8334077721819053,2.2720373274256564
CUI_DEVELOPING_HEART_TRABECULAR_ATRIAL_CARDIOMYOCYTE,CUI_DEVELOPING_HEART_TRABECULAR_ATRIAL_CARDIOMYOCYTE,28/2407,171/16602,0.16374269005847952,1.129395986851216,0.7003648410616861,0.27173782926711293,0.3745709748947041,0.17936317798252618,P4HA1/VEGFA/SLC8A1/TMED10/COL9A1/DMD/SLC11A2/CCNL1/CPE/DKK3/TNFRSF12A/SPINT2/CALU/PLXNB2/XIRP1/COL4A2/HEPH/PRSS35/IGF2BP2/COL18A1/SQLE/FREM2/NDUFB9/SLC3A2/GRN/CD63/SLC2A1/PLOD2,28,1.326880419439403,0.8878181831619968,1.9830768065835322
HAY_BONE_MARROW_CD8_T_CELL,HAY_BONE_MARROW_CD8_T_CELL,12/2407,68/16602,0.17647058823529413,1.2171851707030965,0.7389807572816623,0.2763416035743086,0.38022184141428594,0.18206909340374156,RGS1/KIF19/CHI3L2/ENC1/STK17A/TPRG1/F2R/RASAL3/SLA/PRDM1/UBC/TRG-AS1,12,1.4300202839756593,0.7730046410097378,2.6454666687519466
DESCARTES_FETAL_ADRENAL_STROMAL_CELLS,DESCARTES_FETAL_ADRENAL_STROMAL_CELLS,23/2407,139/16602,0.16546762589928057,1.141293529364294,0.688830955956232,0.27866632174360123,0.3827220520850188,0.18326631839335678,TMEM119/ADAMTS14/CHRDL1/PRICKLE1/PDGFRA/CLDN11/ABCA6/FAP/PAMR1/ZFPM2-AS1/ITGBL1/SRPX2/COL12A1/PLA2G5/GDNF-AS1/OGN/ASPN/IGFBP6/ACTA2/PI16/C1QTNF7/COL3A1/FHL5,23,1.340858347804515,0.8607732821917741,2.088704593965888
DESCARTES_FETAL_KIDNEY_URETERIC_BUD_CELLS,DESCARTES_FETAL_KIDNEY_URETERIC_BUD_CELLS,35/2407,218/16602,0.16055045871559634,1.1073779458231534,0.6571595751179735,0.2824619599380359,0.3859910703057549,0.18483168660459853,MIR31HG/PM20D1/SPTLC3/ALDH1A1/L1CAM/FRK/RDH10-AS1/ITGB4/PDE7B/COLCA1/CNGA1/SLC38A4/GJB6/RDH10/CLDN7/FAM181B/SNTG1/SHROOM1/MUC15/LINC01139/MIR205HG/CCDC9B/RNF43/PRDM16-DT/CDCP1/LINC00645/UPK3A/CCNO/CYP4F3/LEP/KSR2/FAM110C/WNT6/GRHL3/PSCA,35,1.3010123378677634,0.9082219124867026,1.8636778963521488
