baseMean,effect_size,lfcSE,stat,pvalue,padj,gene,significant,direction
12468.9531329148,-8.610198984942393,0.3613135516619378,-23.830268600051028,1.6222023305460745e-125,3.4773529157585655e-121,XIST,True,Down_in_Male
4181.984860187222,7.929569524990663,0.4592088968983729,17.267891755907222,8.208680627058835e-67,8.798063896081659e-63,UTY,True,Up_in_Male
2961.231904667346,8.437014294479729,0.4932960107110427,17.10334993854606,1.4011397367096028e-65,1.0011610465369016e-61,NLGN4Y,True,Up_in_Male
1253.7343774079488,10.034957041631618,0.6001974282239251,16.719426924781356,9.462474786524312e-63,5.070940238098378e-59,AC064829.1,True,Up_in_Male
715.5847368839022,8.817578241319692,0.5647753085935621,15.61254202716079,5.9805864393252486e-55,2.5639970182675204e-51,KDM5D,True,Up_in_Male
1908.798248187148,7.94289038067411,0.5273867318978658,15.060846055210083,2.9301306133285394e-51,1.0468379971218425e-47,TTTY14,True,Up_in_Male
418.59699170936887,8.234115283347661,0.5893204041747742,13.972221604778644,2.303281657826128e-44,7.053306516737268e-41,ZFY,True,Up_in_Male
401.98817735163016,-7.136125561051811,0.5639150108222344,-12.6546118193356,1.054957170827331e-36,2.512673545983852e-33,TSIX,True,Down_in_Male
571.5804741648429,6.324370604421921,0.5058706745513396,12.50195143260884,7.284098468627338e-36,1.5614193477349558e-32,TTTY10,True,Up_in_Male
273.64982779676734,-6.470523661011329,0.5258411588702779,-12.305091664776988,8.503982861257972e-35,1.6571943328538715e-31,IL1B,True,Down_in_Male
266.00528385215637,7.868908461630606,0.6731881266840378,11.689018492335787,1.4505321821831714e-31,2.591133988106539e-28,DDX3Y,True,Up_in_Male
329.32781003402505,5.190751544691043,0.4753619943073697,10.919576253154762,9.292834635078636e-28,1.5323169479811206e-24,RPS4Y1,True,Up_in_Male
283.3132874638544,-5.584566725222186,0.5551640677191912,-10.05930867998274,8.358320187424713e-24,1.2797782252688295e-20,SOCS3,True,Down_in_Male
457.980859628507,8.991229161651331,0.9037117394022888,9.949222489461178,2.541611281293643e-23,3.6321319617207024e-20,LINC00278,True,Up_in_Male
224.93482545065945,2.7694524340875906,0.2936392261144407,9.43147981533041,4.0434352036013916e-21,5.417192314024965e-18,PCDH11Y,True,Up_in_Male
791.8007599195225,3.5670820754323285,0.3838689184187704,9.292448292312445,1.507793849401904e-20,1.9012393503399536e-17,CX3CR1,True,Up_in_Male
305.5437894948834,-5.046559968857925,0.5562771810857331,-9.072024056439144,1.168263008765314e-19,1.391271436438515e-16,HAMP,True,Down_in_Male
152.92467608513772,8.332350951350662,0.9263762143543598,8.994564867101985,2.371698268452853e-19,2.67577495171344e-16,EIF1AY,True,Up_in_Male
93.65384831428484,-4.145068245511952,0.4680628668107369,-8.855793824781294,8.3090338464499075e-19,8.90562247662501e-16,DEPP1,True,Down_in_Male
138.78876813904537,-4.2784702601949505,0.5034571158489394,-8.498182120200068,1.9258279918145388e-17,1.9658118491684027e-14,NPTX2,True,Down_in_Male
191.9639287466871,-3.166081571006696,0.374158940596027,-8.461862667141393,2.631402921925951e-17,2.563943319745667e-14,CDKN1A,True,Down_in_Male
277.28904452173373,5.701942211083748,0.727789624490112,7.834602224617475,4.703292891204317e-15,4.200824433993989e-12,AC009432.2,True,Up_in_Male
168.68332135560496,6.311141918349565,0.8054677384496047,7.835375170329595,4.6744484833844605e-15,4.200824433993989e-12,PRKY,True,Up_in_Male
546.7269498477834,2.1324808868009586,0.288852064178971,7.382605670007211,1.552212468610875e-13,1.2875923896923548e-10,EFNA5,True,Up_in_Male
230.315919678602,2.5206023413451075,0.3414621465407457,7.381791413427816,1.5617373638739145e-13,1.2875923896923548e-10,KIAA0319,True,Up_in_Male
1242.2507977879052,1.777474839636649,0.2432793635042586,7.30631161654422,2.7457499548045974e-13,2.1020677153996902e-10,CARMIL1,True,Up_in_Male
134.78014071033198,-3.1314752600231857,0.4309295379520593,-7.266791863247862,3.681253397124804e-13,2.7210809593368037e-10,PIM1,True,Down_in_Male
677.5155048288815,-3.3613447541060997,0.4724822226707432,-7.114224816980058,1.1254357387466699e-12,8.041613498591207e-10,SLC11A1,True,Down_in_Male
333.52081569311315,-4.085804157787013,0.5803937188135825,-7.039711191463358,1.926386982056776e-12,1.3320655273344854e-09,GADD45B,True,Down_in_Male
46.36525871585309,-3.486984656741121,0.5076497676588766,-6.868878661802632,6.470851436125348e-12,4.334661605774468e-09,SERPINA1,True,Down_in_Male
90.26047914517108,-2.2222943180409027,0.3269810538337207,-6.796400867834389,1.072650532407325e-11,6.967677822025279e-09,MAFF,True,Down_in_Male
96.88245376367772,-8.672452772907782,1.2821753052224036,-6.763858840194613,1.3436400252352974e-11,8.471255170865834e-09,SERPINA3,True,Down_in_Male
355.62135368753434,2.482954950435326,0.3740925067680395,6.637275287566537,3.1953455231217087e-11,1.9570121895324848e-08,LGI1,True,Up_in_Male
1438.1117847091944,-1.754644221168905,0.2668420847810112,-6.575590288199426,4.846052615064177e-11,2.8855551071254363e-08,LINC02821,True,Down_in_Male
247.85720784317732,-5.295426677470776,0.8158637346272097,-6.490577350996488,8.55080498511017e-11,4.9539204232654483e-08,RGS16,True,Down_in_Male
70.00056074220842,-3.659998037558953,0.5679044488353363,-6.444742676457124,1.1579671297738099e-10,6.53215352469247e-08,IFITM2,True,Down_in_Male
175.27940122729842,-4.122687075411096,0.6547261540979183,-6.296811345640123,3.0383068052309967e-10,1.6699780686392735e-07,ADM,True,Down_in_Male
