Intersection_Top_Genes,LEMUR_Specific_Top_Genes,DESeq2_Specific_Top_Genes
GABRB1,GRID2,XIST
BAALC,IL1RAPL1,UTY
ZBTB16,IMMP2L,NLGN4Y
FKBP5,PDE4D,AC064829.1
SLC4A4,PLCL2,KDM5D
AC090403.1,CALD1,TTTY14
AC006059.1,LINC00609,ZFY
AC092924.2,SLC7A14-AS1,TSIX
AC073050.1,ADAMTS18,TTTY10
BCAT1,PPP1R14A,IL1B
NEURL1B,IGF1R,DDX3Y
TLR4,CPQ,RPS4Y1
VAV3,DPYSL5,SOCS3
ADAM12,MTRNR2L12,LINC00278
MAP3K5,PWRN1,PCDH11Y
NFKBIA,MAML2,CX3CR1
CNDP1,KCNIP4,HAMP
LMNA,CTNNA3,EIF1AY
TCF7L2,TRIO,DEPP1
CHRM5,LDLRAD3,NPTX2
