baseMean,effect_size,lfcSE,stat,pvalue,padj,gene,significant,direction
23738.817464652428,-9.126208652913828,0.3619523383769478,-25.21384084390008,2.824345608468764e-140,6.633822965171433e-136,XIST,True,Down_in_Male
4023.284845897372,8.814409526339649,0.3761193068549334,23.43514242872756,1.873868981298351e-121,2.2006717316367835e-117,TTTY14,True,Up_in_Male
6320.835393944669,9.12516582998764,0.4122936558236727,22.13268552909831,1.5317758129795953e-108,8.994587573816184e-105,NLGN4Y,True,Up_in_Male
1376.514161570168,9.247540761069164,0.4442500065892175,20.81607343592015,3.095349500373835e-96,1.211726151079677e-92,KDM5D,True,Up_in_Male
2818.7722082322566,6.726475945058642,0.3523345586546485,19.091161453883387,2.990461585850708e-81,1.003428024692306e-77,USP9Y,True,Up_in_Male
764.4961684594819,8.224387718775063,0.4377626027821078,18.78732369212606,9.589507240093276e-79,2.815479325691386e-75,ZFY,True,Up_in_Male
540.8119682138907,8.575014905402563,0.5278821283229431,16.244184914243988,2.45583772040735e-59,6.409190708547538e-56,DDX3Y,True,Up_in_Male
692.907740694082,8.93957703835167,0.5866686612515144,15.237863599670154,1.9824733432522328e-52,4.6564333886308446e-49,LINC00278,True,Up_in_Male
629.7635538591071,5.747464039503753,0.4284097420490147,13.41581078902305,4.885604697825788e-41,1.043209846750292e-37,RPS4Y1,True,Up_in_Male
413.6246451303029,-6.486889423485781,0.5536191660353897,-11.717241420560052,1.0400370492535987e-31,2.0356991844057103e-28,SOCS3,True,Down_in_Male
435.1484248970344,-4.885825839803479,0.4288512934795264,-11.39282057461424,4.5404966450919695e-30,8.20362963076309e-27,HAMP,True,Down_in_Male
690.3245507876078,2.929107653443618,0.2632474997189872,11.12682041261701,9.289005130205215e-29,1.5584296607018578e-25,RERG,True,Up_in_Male
407.08797396348047,-4.195590054976958,0.38725013956813,-10.834315152619377,2.3673007913422474e-27,3.4751975616904195e-24,CDKN1A,True,Down_in_Male
1279.122700037512,5.498549825092496,0.5138175150292706,10.701367050088315,1.0028760616901024e-26,1.3856207609986544e-23,TTTY10,True,Up_in_Male
236.7242168121098,5.543445421827377,0.5189886042979163,10.681246901994133,1.2458685989161621e-26,1.6257200917412677e-23,PRKY,True,Up_in_Male
272.0781286976665,9.32807264794666,0.8914940906102174,10.463415008799108,1.271872423186414e-25,1.5723020776738153e-22,EIF1AY,True,Up_in_Male
321.19640664010643,5.746043911351469,0.5604284117223572,10.252948978250812,1.1478696437354355e-24,1.3480581096028957e-21,AC009432.2,True,Up_in_Male
1135.7023507591182,3.5311316794906387,0.351134532516872,10.056349781891557,8.613288667494996e-24,9.633758296291543e-21,CX3CR1,True,Up_in_Male
141.19155209144205,-4.416417575096502,0.4572058796905862,-9.659581757971504,4.476879441834937e-22,4.571867144774739e-19,MYO1G,True,Down_in_Male
213.86686956798096,-3.3738964446960504,0.361824211075075,-9.32468403557439,1.1131475791263495e-20,1.0894004307716539e-17,PIM1,True,Down_in_Male
543.8293789678988,-5.191935914674114,0.5799340760095861,-8.952631220429083,3.4710790728093264e-19,3.1357194331594406e-16,IL1B,True,Down_in_Male
162.4020535075166,3.2963296374098103,0.3704722408016067,8.897642722913329,5.704530606152528e-19,4.962519069530022e-16,HCG22,True,Up_in_Male
1222.042801771284,-3.548843568276671,0.417517267389847,-8.499872569253574,1.8979893510158107e-17,1.592141924166406e-14,SLC11A1,True,Down_in_Male
573.1136075532264,2.327398443948676,0.2757553421810769,8.440084698052273,3.1710779606569203e-17,2.5683544531003363e-14,F11-AS1,True,Up_in_Male
1269.4232986937734,2.4181841727247595,0.2911714965037563,8.30501680886049,9.980531728355292e-17,7.814090974520305e-14,CPED1,True,Up_in_Male
62.154545977483885,6.197679832459789,0.7479881204854354,8.285799817833428,1.1731796880778618e-16,8.888917585023489e-14,AC010889.2,True,Up_in_Male
229.0897839910924,2.3968613605397,0.2901084755401861,8.261948762705778,1.4331322304197455e-16,1.0519190571280933e-13,FBLN1,True,Up_in_Male
333.71071423922024,-7.9591616289382925,0.9695605567626328,-8.20904024346243,2.2296349828219704e-16,1.5869595901976496e-13,SERPINA3,True,Down_in_Male
925.7655686645596,3.036045265704238,0.3741768903736961,8.113930453246573,4.900819570096003e-16,3.385601472423969e-13,LGI1,True,Up_in_Male
2071.545106705457,2.4496518559413603,0.3074976560938786,7.9664082226158,1.6335270386229546e-15,1.0657856411993322e-12,MMD2,True,Up_in_Male
636.5561349014903,-3.6227031315577367,0.461663629482001,-7.847062017041513,4.2589667250606686e-15,2.6324897483743418e-12,ZFP36,True,Down_in_Male
77.04429083177875,-4.7755406281148645,0.6175229713142469,-7.733381347662729,1.0472697852928872e-14,6.307249414604958e-12,CCL2,True,Down_in_Male
305.5925122926513,3.1670643168440145,0.4148351301814392,7.634513295580376,2.2667509832041113e-14,1.331036177337454e-11,LINC02642,True,Up_in_Male
727.6194968165028,3.5393850292074545,0.4658459296238546,7.597758838561316,3.013031495459447e-14,1.7260996040329634e-11,RMST,True,Up_in_Male
8727.167155280022,3.131848939801186,0.4146403137970003,7.553170387900289,4.2478867359835495e-14,2.3755800870186087e-11,OBI1-AS1,True,Up_in_Male
