Intersection_Top_Genes,LEMUR_Specific_Top_Genes,DESeq2_Specific_Top_Genes
,KIRREL3,LINC01554
,ESRRG,RHOBTB1
,CNDP1,AL031587.4
,MTRNR2L12,ZDHHC20
,PLXDC2,GRIA4
,AC008771.1,CROCC
,L3MBTL4,AC005753.2
,CNTNAP4,ADAMTS14
,SVEP1,NPIPB2
,SPRED1,AC243960.3
,DPP10,
,PARD3B,
,PTPRJ,
,SH3GL3,
,PCDH9,
,AL139294.1,
,ABTB2,
,AC012494.1,
,DAB1,
,ENOX2,
