ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
GSE22140_GERMFREE_VS_SPF_ARTHRITIC_MOUSE_CD4_TCELL_UP,GSE22140_GERMFREE_VS_SPF_ARTHRITIC_MOUSE_CD4_TCELL_UP,185,-0.40979715413601764,-1.654728900912006,9.222861916563926e-5,3.6178569450482647e-4,1.2850567836961686e-4,3330,"tags=29%, list=18%, signal=24%",CD99/OASL/TRIM27/HNRNPAB/RTCB/CCL8/GABPB1/MAPK13/IRF9/PLIN2/TCF12/PIBF1/DMXL1/SNRNP35/SEC23IP/CLIP2/XPO6/CARM1/PUM3/SAR1A/IFITM2/PHYH/VASP/UBAP2L/SH3GL1/MYO1E/WDR1/BLZF1/HTRA1/TRIP10/CR1/IPO7/EIF2S1/TUBB4A/TMF1/FERMT2/ABCE1/CD59/BEST1/ADCY3/NUP188/IRF1/RGL1/PHLDB1/ADD1/NCK2/HPCAL1/PCSK6/MAT2A/SYNJ2/GADD45B/TACC1/ELL2/RAB40B,-1.654728900912006,NA,NA
GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP,GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP,187,-0.4083320461810995,-1.6481744600602042,9.275563984658578e-5,3.63560319656127e-4,1.2913602227868656e-4,5156,"tags=44%, list=27%, signal=32%",TRIM37/ARPC3/PLCG2/DNTT/VPS8/OSGIN2/CLINT1/RB1CC1/ANXA1/RHOA/RALB/MIA/DAZAP2/TM9SF2/ZNF106/GPR65/PLAA/ACOX1/PELI1/NDUFV2/DRAM1/SF3B1/RNF10/CD300A/CTNNBL1/TLE4/CLK4/GIT2/SQSTM1/OPN3/SEC23B/PPP2R5A/MAP1LC3B/GALC/C1RL/VEZF1/SERPINB1/ABHD5/ZDHHC3/CHD7/GSK3B/IFITM2/SH3GLB1/PPP4R1/DHX15/TXNRD1/HRH4/CACNA1E/WWC3/RUSC2/YWHAZ/GSN/CYB5R4/BACE2/CEP63/MAPK14/WASHC4/PSTPIP2/CHP1/BST1/RIOK3/MGAM/CDK19/LMBRD1/LMO2/RRAGD/SLC44A1/KDM6A/CSF1/MXD1/KBTBD11/NRDC/PTPRE/AATK/BACH1/FRY/ITPRID2/ADGRE2/RHOQ/DPY19L1/ZMIZ1/RNF130,-1.6481744600602042,NA,NA
GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP,GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP,181,-0.4057433928958408,-1.6309646689465116,9.382795938238446e-5,3.6746769944612305e-4,1.305239170964969e-4,3226,"tags=27%, list=17%, signal=22%",TBX19/SREBF2/HNRNPAB/PRCC/GLB1/SPRED2/PSME4/RAB4A/ARL2BP/HIC2/SLC13A3/NFYA/SIAH1/CLASP1/TRAP1/SF3B2/SPECC1L/PPWD1/TBC1D2B/DIDO1/ENOSF1/PCCA/CD83/PCCB/LIPE/PRRG1/KIF13B/NAP1L4/POLDIP3/SEMA7A/NCOR2/CALM2/MRTFA/TEAD3/PLOD3/NUP188/DUSP3/ORC4/SYNM/SLC6A8/KDM4B/BCL2L1/FGR/ADD1/SERPINB6/TACC1/PACS2/ALDH3A2,-1.6309646689465116,NA,NA
GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN,GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN,180,-0.4088599299117389,-1.6406204918243261,9.423649911844709e-5,3.6877126402013995e-4,1.30986941070156e-4,3896,"tags=34%, list=21%, signal=28%",ANGPTL4/MRPS28/CTNNBL1/DGUOK/GNG10/ZNF226/POLG/PLEKHF1/RBM7/GTF2H5/DLST/DACT1/C10orf88/TNKS2/PSMB2/TRAPPC11/CCL8/GTF2B/AFTPH/ACVR1B/ERCC3/SPRED2/S100A11/EMC2/CEP162/PCNX4/DNAJC13/LY96/SAV1/HLX/PUS3/GBP1/CCL2/LAP3/BBIP1/TUBB4A/CDK2/CDON/SHOC2/CISH/SRPK2/SOCS3/PLCH2/HBS1L/APOL6/FBXL5/IRF1/BACH1/PMAIP1/TOP1/CDKN1A/PICALM/CCNL1/FZD5/FEM1C/BCL6/HSPA12A/ZFP36/PTPN13/RGS16/GADD45B/PIM1,-1.6406204918243261,NA,NA
GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_UP,GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_UP,188,-0.4153550694826914,-1.6817481264997531,9.530112073781578e-5,3.726380900759538e-4,1.323604312688765e-4,4953,"tags=42%, list=26%, signal=31%",CLINT1/MYH9/MAST3/NHLRC2/RAB30/STX16/HPSE/IL6R/INTS6L/SH3TC1/RABGEF1/PRKX/DYNLT3/DFFA/TTC19/REST/MAP1LC3A/TUG1/GNAQ/SF3B1/GCOM1/HLA-DOB/TAOK3/LMBR1L/NPC1/ATP1B1/CACUL1/TAB2/ZBTB43/WDR44/WSB1/RNF138/SLC66A2/C15orf39/KDM5A/CCNI/CUX1/FYN/UBL3/IDS/NCF2/SSH2/IKZF5/AVL9/MYO1E/PIKFYVE/UBXN2A/CD1D/SENP6/MYO18A/PCNX1/TUBA1A/HERC4/ZNF395/NCOA6/CRTC3/CPEB4/PHF21A/CYTH1/LCOR/SLK/CAB39/MAP4K3/SBNO2/PWWP2A/CDS2/PPP1CB/VGLL4/STRN3/MYO6/ITPKC/TFEB/ADAM19/FGFR1OP2/CAST/SGMS1/ZMIZ1/TOB2/DICER1,-1.6817481264997531,NA,NA
GSE6259_BCELL_VS_CD8_TCELL_UP,GSE6259_BCELL_VS_CD8_TCELL_UP,180,-0.4078498912864377,-1.6365675388568859,9.587535380460086e-5,3.7458277765518475e-4,1.3305118107015895e-4,3183,"tags=28%, list=17%, signal=24%",SIPA1L2/SECTM1/MAD2L2/CSTF3/NACC2/YPEL4/ANKRD13C/ACBD6/CD9/SMIM3/ADCY9/SOS1/ARL4C/BMPR1A/GALNT2/EPB41L3/CREB5/BAG3/SETDB2/WWC3/IRF2BPL/PPIF/ZZEF1/ZBTB21/ZNF395/CCL2/INTS9/ETS2/EIF3H/EGR1/PLCH2/KIF5C/MAPK6/EEPD1/BTG2/TSC22D3/CUL1/YAE1/OSBPL1A/RHOBTB3/PIEZO2/RGL1/DDIT4/TIPARP/TBC1D14/TBC1D8/KAT2B/ZMIZ1/SYNJ2/CXXC5/TACC1,-1.6365675388568859,NA,NA
GSE17721_LPS_VS_GARDIQUIMOD_4H_BMDC_UP,GSE17721_LPS_VS_GARDIQUIMOD_4H_BMDC_UP,182,-0.409658414679054,-1.6480676624824022,9.653346281632203e-5,3.765500647246765e-4,1.3374995817288222e-4,4160,"tags=35%, list=22%, signal=27%",CRYBA1/RDH11/SEC24B/STK39/NLGN2/PCMT1/IRF7/SMU1/OGFR/PLEKHF1/RBM7/LATS1/AP2B1/AKT2/FGF22/ETHE1/TMCO3/TRIO/ADAR/JDP2/KDR/ITGAV/MTHFS/SERPINC1/ATP11B/FNDC3A/SEH1L/TBL1X/LARP1/RAB12/IRF2/WASHC4/PCNX1/SMAGP/UBE2R2/PHF20L1/CCDC59/RGS1/CLDN15/PSMB9/VAPB/ARHGAP17/UBE2D1/CSF1/TANC1/NAA15/BZW2/ELF1/RHOB/PDPN/ACADSB/NECTIN2/BCL3/SLCO3A1/HELZ2/TRA2B/BCL2L1/MED28/NCK2/PPP2R2A/REEP3/MXI1/GADD45B,-1.6480676624824022,NA,NA
GSE3982_MAC_VS_NEUTROPHIL_UP,GSE3982_MAC_VS_NEUTROPHIL_UP,192,-0.3975289944929247,-1.615718485309899,9.649217784700146e-5,3.765500647246765e-4,1.3374995817288222e-4,3851,"tags=32%, list=21%, signal=26%",G3BP2/MAPK9/GTF2F2/PAPSS1/PCMT1/RAB9A/ZNF184/PSMD1/MAP2K1/NOP16/TOP2A/VWA8/RPL8/POLG/ABRAXAS2/AP2B1/ATP2A2/SDAD1/RNF185/FTO/DIXDC1/AHCYL1/SLC20A1/HSPE1/PHF10/PRPF39/CUL2/PKM/ZC3H14/TBC1D2B/ODR4/STAM/ILRUN/PPP2R3A/MICU2/SPINT2/FBXO21/CRYZ/NEMF/CSRP1/XBP1/CEP170/TRIM44/ZCCHC14/SPSB1/GNA12/ACYP1/CCNA2/MRPS22/CSF1/ZNF207/TPP2/VGLL4/PTK2/MYO6/ARHGEF3/YBX3/HDHD5/ERO1A/P4HA2/CBFB,-1.615718485309899,NA,NA
GSE17721_LPS_VS_PAM3CSK4_4H_BMDC_UP,GSE17721_LPS_VS_PAM3CSK4_4H_BMDC_UP,188,-0.41484440975030334,-1.6796804954261946,9.690278285911636e-5,3.773863773697961e-4,1.3404701503671784e-4,4456,"tags=37%, list=24%, signal=28%",RNF114/TTYH2/PRKX/CAAP1/VOPP1/TMED5/TMC2/LGALS3BP/NLGN2/PAFAH1B3/GNAQ/RAB9A/TBK1/OGFR/RAB8A/TRIOBP/HIPK2/RBM7/TLK2/TMCO3/PLOD2/TAF1B/PSIP1/IMPDH1/TRIO/SIAH1/SEC23IP/KDR/MAFB/CPEB3/CDC27/AOPEP/DBNL/HMGB2/RAB12/CNOT4/APPBP2/PSMF1/UBE2R2/PHF20L1/DNAJA1/HK1/PSMB9/LMO2/FCGR3A/CASP4/UBE2D1/CSF1/RUFY3/WAC/ELF1/PLOD3/MOCOS/ATL3/ATP11C/BTG2/SLCO3A1/GK/HELZ2/MED28/GBP2/PPP1R15A/ATF3/CLIC4/TSPAN15/ELMO1/PTPN2/DOCK1/PHC2,-1.6796804954261946,NA,NA
GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP,GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP,186,-0.4131462692051754,-1.668927396587428,9.690278285911636e-5,3.773863773697961e-4,1.3404701503671784e-4,3135,"tags=31%, list=17%, signal=26%",AK4/N4BP1/PPP1R16B/CCL8/CYB5A/TNIP1/SLC31A2/GREM1/MT1G/AUH/LTBP4/ZBTB17/CASP5/URB2/TYMP/CD83/PARVB/ARL4C/GNAI3/SPINT2/NCKIPSD/KDM6B/ARC/PRRG1/GSTO1/FAM13C/HLX/NFKB1/TRIP10/TRAF1/CCL3/INSIG2/TJP1/ENO2/ADAM8/CDYL/GBE1/RELA/GRB2/ETS2/NECTIN2/SELL/MAP2K3/ADM/FGFR2/RGL1/NDRG1/DDIT4/TFRC/LITAF/INPP5F/ETV6/TBC1D8/GADD45B/NAMPT/P4HA1/SLC2A3/SLC11A1,-1.668927396587428,NA,NA
