ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_DN,GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_DN,183,-0.39180105010268335,-1.7142046016301808,1.8860598007764526e-5,9.933927945278786e-5,3.813972422167575e-5,5108,"tags=37%, list=27%, signal=27%",ZC3H12B/LGMN/GAS2/PDK1/CYP2J2/ZKSCAN7/PUS3/PAFAH2/PBX3/OSBPL5/FNDC3B/ATG10/CLUAP1/ZNF239/SPART/CREB1/HSPD1/ZNF84/CNN3/LTA4H/TOM1L2/PPFIBP2/ATL1/NSL1/APP/GIN1/KCNQ1/NBEA/EEA1/PNRC2/LEF1/ZFYVE16/UCP2/ZP3/JAK3/SUCLG2/N4BP2L1/SSBP2/USP53/PXYLP1/ARHGEF11/KIAA0040/RAPGEF6/HLA-DOA/CAMSAP2/KANSL1L/PRPF38A/MPZL1/UBAC2/CDH23/ANKRD46/ATG4C/PPFIBP1/BCKDHB/C1GALT1/ANAPC16/ARRB1/TMOD2/ARHGAP32/ARHGAP17/PTPRK/SERTAD2/IGF1R/ALDH3A2/LRRN1/TRIM2/AK3/PLCL1,-1.7142046016301808,NA,NA
GSE25677_MPL_VS_R848_STIM_BCELL_UP,GSE25677_MPL_VS_R848_STIM_BCELL_UP,167,-0.39998994659991116,-1.723507202072481,1.8965312148766144e-5,9.978293821683441e-5,3.831005989355171e-5,4596,"tags=39%, list=24%, signal=30%",PRKDC/CCR1/RGS10/RRBP1/UTRN/CARS2/LYNX1/FBXO9/LY6K/NDST1/TUBG2/TRPM2/TMEM131/HCK/AS3MT/CYP39A1/TCF4/TMEM26/TRAF1/EDEM1/DSE/ABR/SLC29A3/SEMA7A/PTK2/ARHGEF12/MS4A14/PIK3R4/KCNK5/NIBAN3/LAIR1/MICAL3/MYL4/RILPL2/IKZF1/BLNK/MYOF/NRP2/CD274/FMNL3/RUFY3/MYCBP2/TBL1XR1/INPP5F/TBC1D9/SLC9A9/CYBB/ZC3H12C/UBE2E2/PDE8A/HERC3/UBE2R2/CDC42BPB/CD180/TMTC4/TSPAN15/SLC38A9/SH3KBP1/DUSP16/PLEKHA1/PIP4K2A/ZDHHC14/PTPRJ/CACNA1E/ATXN1,-1.723507202072481,NA,NA
GSE17721_CTRL_VS_CPG_4H_BMDC_DN,GSE17721_CTRL_VS_CPG_4H_BMDC_DN,181,-0.40606870984846244,-1.775334988853933,1.9148540518381014e-5,1.0063828414838435e-4,3.863845625522405e-5,3658,"tags=34%, list=19%, signal=28%",VCAN/FBXW11/IER5/LIN9/CHM/SFRP1/PRRC1/NUB1/IL18/TXK/KTN1/KEAP1/SAMSN1/MITD1/MTMR14/KDR/CHD1/ETNK1/NFATC2IP/OSTF1/ZNFX1/PRKD1/PIK3AP1/PTGES/GBP4/STXBP3/PI4K2A/APBB2/UPF2/GYPC/IFNAR2/GRB2/PTPN13/MARK4/RUFY3/CPD/RUSC2/KANSL1L/PRPF38A/HDHD2/BFAR/ZNRF1/HNRNPD/CDH13/OAS2/FOXP1/LDLR/BCKDHB/OTUD7B/PTPN11/TAB2/TANC1/USP15/NFKB1/PTPRE/ELL2/WASHC4/AFF1/PHC2/DNER/PDE4B/DSCAML1,-1.775334988853933,NA,NA
GSE26559_TCF1_KO_VS_WT_LIN_NEG_CELL_UP,GSE26559_TCF1_KO_VS_WT_LIN_NEG_CELL_UP,191,-0.3839204092621046,-1.6867679426406699,1.9308444823336177e-5,1.0136933532251492e-4,3.8919131636874305e-5,5723,"tags=47%, list=30%, signal=33%",ST8SIA4/MYRF/STXBP2/MAPK1/HIPK1/SMARCA1/SEC23A/BCL2A1/SEC23IP/PER2/ATP6V0A2/TRIP4/FBXO21/SLC30A1/IL2RB/SLC39A14/FUBP3/SPTBN1/SEC24A/ARHGAP25/MACF1/RRAGD/TRIM38/ZFP36/IL4R/VPS35L/GUCY1A1/EXT1/FEM1B/ACSL3/RWDD3/ORC5/TRAM1/CTSC/MAML1/FEZ2/DCP2/JARID2/GLS/USP24/ABCD3/SAFB2/MSH4/TSPAN3/SNX3/ZFYVE16/PIEZO1/STK39/SMAD5/RBM6/CPN2/BAZ1B/SSBP2/UBE2E1/GTF2H1/CRYBG3/KIF2A/TIAM1/SKAP2/MEGF9/PPP2CB/SF3A1/SLF2/SCAF11/MICU1/GNPAT/AKAP9/UCHL3/MICU2/GNAI1/MARK3/SRPK2/RBM19/MAP3K14/RBM14/MAP4/SUSD6/PDS5A/USP33/PPP2R5A/HECTD4/KAT6A/IL1A/ICAM2/CAST/SRGN/STX6/SERTAD2/BICD2/FDFT1,-1.6867679426406699,NA,NA
GSE2706_UNSTIM_VS_8H_LPS_DC_DN,GSE2706_UNSTIM_VS_8H_LPS_DC_DN,186,-0.3945729961633073,-1.724398720458915,1.938940266326631e-5,1.0168478985514904e-4,3.904024534884622e-5,4887,"tags=39%, list=26%, signal=29%",TRAF3IP3/MFN1/STX17/ARHGAP25/CASP10/NAMPT/OPTN/IQCG/STX11/LGALS9/BATF/RRAGC/EXT1/ZBTB17/VCAN/SPAG9/PCID2/BNIP3/ZBTB43/DTX3L/UBXN2A/ODR4/NUB1/EDEM1/SLC38A5/AK8/BCL2/UBE2Z/PNPT1/ARHGEF2/RAB30/MXD1/OTUD4/FNBP1/UNC5C/GBE1/MECP2/RUBCN/JAK3/PIM3/STIMATE/USP53/ADAM19/PCGF5/TRAFD1/KIAA0040/STK26/PIWIL4/PELI1/LILRB2/ZNRF1/DOT1L/VEZF1/CNKSR3/SIAH2/CEP135/PGAP1/F2R/C1GALT1/CSRNP1/RIPK2/STAT3/MT1H/NCK2/SERPINA1/NFKB1/ITGB8/PTP4A2/ARAP2/MAP4K4/IRAK2/DUSP1,-1.724398720458915,NA,NA
GSE39820_CTRL_VS_TGFBETA3_IL6_CD4_TCELL_UP,GSE39820_CTRL_VS_TGFBETA3_IL6_CD4_TCELL_UP,190,-0.39591764798391993,-1.735386819979119,1.9639793603382563e-5,1.0288717681255897e-4,3.95018825503235e-5,5193,"tags=39%, list=27%, signal=29%",NAF1/TXNL4A/PTER/TSR1/DR1/PPP3CA/HNRNPU/RPA2/SLC23A2/DERA/ADK/GPR34/SKP2/AP1S3/STYX/RPP14/AEN/RCSD1/TTYH3/SWAP70/NUP85/C12orf75/SELENOI/SOWAHC/HSPD1/LRPPRC/SLC4A7/AKAP8/ANKRD49/BUB3/DIDO1/NDC1/SARNP/STARD9/NHLRC2/ATP8B4/SAMSN1/TTC27/NUCKS1/MTDH/ASAP1/ADNP/CD1D/BLZF1/DFFB/KYAT3/PLPP1/RPF2/UBE2E1/GTF2H1/FAR1/DNAJA1/PTGER4/SH3BP5/RFWD3/NRP1/DYNLL2/ERMP1/RPIA/C2CD3/INSIG1/PRMT3/PTPN11/CARNMT1/ERGIC1/MSL2/ACSL1/USP15/DNA2/SHQ1/ELL2/CD83/ATP11C/TBC1D4/SHTN1,-1.735386819979119,NA,NA
GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP,GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP,146,-0.42136247853668135,-1.778049474424475,1.9722313744573248e-5,1.0320849899415775e-4,3.962524905207379e-5,5190,"tags=50%, list=27%, signal=37%",LPAR5/RUNDC1/ARID3B/TEF/SNX8/PAOX/AASDH/BBS1/IRF2BP2/RNF169/FAM78A/LRIG3/LPAR6/SPEG/ARL11/SEC22C/EIF4ENIF1/ARRDC3/TRIM8/RAB31/SFMBT1/SASH3/MED17/KCTD2/ZBTB2/UCK1/PPP1R13B/CLUAP1/GIT1/TBXAS1/LYL1/VHL/MARVELD1/LDLRAP1/ADAMTS10/MAP3K1/RGS2/LHFPL2/USP37/STARD9/TBC1D14/ZNF148/RFXAP/PER1/MNT/ABL1/POLI/HDAC5/C16orf54/GTF2IRD2/FLCN/DCAF5/FOXO1/LMO2/CAMSAP2/SLF2/ZBTB38/KATNAL1/CASP9/FOS/MEF2A/NCOA3/TAF3/AKAP10/GIT2/ASXL2/FAM120B/CPEB2/FOXO3/ELF2/TMCC2/ARRDC2/RHOBTB1,-1.778049474424475,NA,NA
GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP,GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP,192,-0.3948654395810583,-1.7339047135466494,1.9847402415257643e-5,1.0364045505587914e-4,3.979109165895282e-5,3722,"tags=34%, list=20%, signal=27%",ITGAE/LINC01588/PRF1/CLTC/RGS3/CPSF6/CHSY1/AP2B1/ASCC1/NBAS/AGPAT5/RPAP2/PTPN3/HMG20A/PRPF6/DIXDC1/ARHGEF2/IFT74/TRAK1/EFL1/PPA1/GFOD1/ZFYVE1/ETV6/KCNK5/PMS1/COX10/FAM210A/KYAT3/SSBP2/LASP1/RPRD2/ETS2/PXYLP1/NDFIP2/PI4K2A/SQLE/STK26/MOB1B/SOCS6/SELL/YWHAQ/RHOBTB3/MAPRE2/DHTKD1/ARHGEF7/MPZL1/ITCH/STMP1/VPS8/SLC12A6/CASP9/SIAH2/RCL1/PPP2R5A/CPPED1/RUBCNL/TMEM135/OSBP2/UBE2G1/NFATC3/TENT4B/ATP8A1/DHCR24/APOLD1,-1.7339047135466494,NA,NA
GSE17721_PAM3CSK4_VS_GADIQUIMOD_2H_BMDC_DN,GSE17721_PAM3CSK4_VS_GADIQUIMOD_2H_BMDC_DN,192,-0.39486181447602087,-1.733888795246182,1.9847402415257643e-5,1.0364045505587914e-4,3.979109165895282e-5,6207,"tags=49%, list=33%, signal=33%",CCNT2/UQCC1/NRDE2/RAB40C/SLC44A2/LAMP2/TTC7B/CLINT1/CLDND1/POLR1B/VPS39/RREB1/CNOT3/RANBP10/SLC9A1/MFSD14A/MAPK1/CRCP/DNAJC21/MIS18BP1/HLA-DRB1/AKIRIN2/RAP2A/MRPL3/CAPZA2/SELENOP/RAB33B/ACLY/POLR3A/RHBDD1/ATG10/SRCAP/RAD17/NCOA1/ADAM9/RMND5A/DOCK8/IP6K1/B4GALT6/MED23/HSD17B7/ORC5/MSL1/PIBF1/ZNF426/HMGXB4/MEF2D/MERTK/DHRS7B/FNTB/TBC1D14/RELA/APP/CDK2/MIGA2/CEACAM21/EFL1/LRRK1/SLC66A2/ANKRD28/NFATC2IP/ZDHHC7/FBXO32/ANAPC1/NEK9/HNRNPF/CHMP1A/BACH1/SSBP3/IRF2/MEF2C/RAB43/YWHAQ/TBCEL/DCTN5/HNRNPD/CUL4A/ATPAF2/KMT5B/ST3GAL4/GATC/CYTH3/CCND3/LRP2/USP38/POLK/CEP350/KMT2E/FOXO3/TNRC6B/SOS1/PDE6D/P2RY12/ARHGAP21,-1.733888795246182,NA,NA
GSE9037_WT_VS_IRAK4_KO_BMDM_UP,GSE9037_WT_VS_IRAK4_KO_BMDM_UP,190,-0.39563563115577355,-1.7341506834010458,1.9930748226236358e-5,1.0396424556554982e-4,3.991540583570608e-5,4194,"tags=34%, list=22%, signal=27%",ACTL6A/C6orf62/MAT2A/NDST1/SSH1/CSF1/B4GALT6/FGF7/MAP3K1/GID4/UTP11/ZBTB26/LIN9/RALGAPA1/ZFP1/MANBAL/TGFBI/PTK2/ALDH3A1/NBEA/YIPF4/RIF1/IL6ST/PBX1/NEMF/RPRD2/PIAS1/IQGAP1/PNRC1/NFIX/FGFR2/RC3H2/THBD/LSM14A/SH3BP5/SAV1/CD2AP/USP47/USP6NL/PRKCA/TFCP2/ARHGAP23/CDC73/GPCPD1/ATF7/KLF10/ATG4C/USP33/NUBPL/F2R/KLHL20/ATG13/KLF6/NT5DC1/LYST/JMJD1C/NRIP1/FAT4/HMOX1/ELF2/DNAJB6/QKI/FNIP2/TBC1D12/PRUNE2,-1.7341506834010458,NA,NA
