ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_UP,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_UP,51/2013,192/17012,0.265625,2.244814952806756,6.354744182857846,1.555815064929499e-8,6.890846360305927e-6,5.678352782431683e-6,SLC22A23/ARHGAP21/MAP7/A2M/NBL1/SLC18B1/LTC4S/GPR155/IKZF2/CXCL12/WDFY3/TBC1D4/SGMS1/MAP3K5/SELPLG/NCK2/TECR/HECTD2/TBC1D14/DIP2B/PLEKHA1/CSGALNACT1/IGF1/CARD11/WWP1/RHOBTB3/ZDHHC14/SPTLC3/RYR1/ARHGAP5/ABCD4/RUNX1/VSIG4/LRRC4/TBC1D12/UBA7/SCN1B/GAL3ST4/GLCE/NMRK1/ANKS1A/FCGRT/CD14/ADAP2/MAF/LPAR5/GPR82/GPR34/MAL2/SEC14L1/FOLR2,51,2.573778253849975,1.8836708870403456,3.516715444065332
GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_6H_UP,GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_6H_UP,48/2013,178/17012,0.2696629213483146,2.2789397009327015,6.283795832389554,2.4395657744766764e-8,9.278626127265253e-6,7.645985664460649e-6,SAMD4B/SH3PXD2B/NAMPT/ITGB8/PTPRF/MYO1G/IL1B/VEGFA/NFKBIZ/PFKFB3/JAM2/MAP3K5/MBOAT2/CD47/USP32/DDIT4/MIR3142HG/RARA/NOD2/LRRC4/GLCE/LIMK2/PREX1/GK5/TRNAU1AP/GLDC/GSTA4/WDR64/SOCS3/CD14/LILRB3/BEST1/FCGR2A/CISH/MAF/AFDN/CAB39/EDEM2/GRB2/C1orf115/MXD1/LHFPL1/SEPTIN10/PCGF3/INSIG2/BST1/SPACA6/STXBP5-AS1,48,2.612903765970629,1.8934587163190868,3.6057116172544843
GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_DN,GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_DN,50/2013,189/17012,0.26455026455026454,2.235732290377099,6.258341129624727,2.4758238845330105e-8,9.278626127265253e-6,7.645985664460649e-6,PTPN2/P2RY14/PIM1/GADD45B/IL1B/HIVEP2/ZFP36/RRBP1/FEM1C/PNPLA4/GBP2/GUCY1A1/BATF/CD69/LITAF/CD47/CDKN1A/BCL2A1/ARID5A/PMAIP1/GK/CUL1/DENND4A/MEP1B/TSC22D3/EDEM1/MCL1/JUN/IRF1/TAP1/LIMK2/CEBPA/B4GALT5/NECTIN2/ANKS1A/SOCS3/ITGA4/LMNB1/SBNO2/JUNB/CLDN10/CCRL2/SERTAD2/ISG20/IL1RAP/CASP4/PTAFR/PSMB9/STAT5A/FCGR1A,50,2.563364585222509,1.8706013131263242,3.512687578408231
GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN,49/2013,184/17012,0.266304347826087,2.250556167519817,6.24815103982287,2.7095451457574653e-8,9.42921710723598e-6,7.770079087157122e-6,PDK1/P4HA1/PHC2/RLF/PGK1/NARF/KDM3A/MAPK1IP1L/ZNF292/FEM1C/ERO1A/HK2/BNIP3/ZNF654/HILPDA/BNIP3L/TFRC/FAM162A/DDIT4/KDM4B/CTDP1/GYS1/NOD2/ALKBH5/ENO1/HDHD5/EDEM1/ADM/DUSP3/NUP58/FAM210A/LDHA/NFKBIA/FNDC3B/GRAMD1A/GPAT4/TGFBR1/RELA/GBE1/ZBTB25/ADAM8/TMF1/IL1RAP/PIK3IP1/SEC24A/RNF227/ZNF395/PDXK/TPI1,49,2.580360806928875,1.8767119918798,3.5478336168489113
GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN,GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN,51/2013,196/17012,0.2602040816326531,2.1990024027494752,6.185038351720638,3.2470753012510575e-8,1.0546500578463435e-5,8.690768560681778e-6,SAMD4B/PIM1/CX3CR1/ACSL1/RALGDS/GADD45B/FAM177A1/DUSP1/NFKBIZ/GSAP/ZFP36/TLR2/CSRNP1/PTPRO/CD69/NFE2L2/FGR/ARHGAP31/CDKN1A/MAFF/IFRD1/ATF7/GLIPR1/BCL2A1/TIFA/CX3CL1/BCL3/SPATA13/KPNA3/MCL1/BTG2/HVCN1/SLC35D3/IRF1/IGSF6/AEBP2/SLC11A2/SOCS3/CD14/CISH/JUNB/ETS2/GCH1/CCRL2/KIAA0040/RELA/RAB20/IL1A/CASP4/STAT5A/DCUN1D5,51,2.5212521670367103,1.8464371782068767,3.4426909102645324
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,46/2013,170/17012,0.27058823529411763,2.286759592063353,6.177044082657928,4.2355380656917474e-8,1.2800823938760365e-5,1.0548427642907273e-5,ELL2/GLIPR2/PIM1/RIN2/GADD45B/DUSP1/IL1B/NFKBIZ/HIVEP2/ZFP36/PFKFB3/CLIC4/STK40/HK2/STX6/HIF1A/SLC25A37/CD69/OXSR1/RNF149/PICALM/NDRG1/ARID5A/GYS1/BCL3/PPME1/NFKBIA/GAB1/SLC39A14/PDPN/SOCS3/CD14/NRG1/SLC2A1/SBNO2/MXD1/ALAS1/CCRL2/ADAM8/IL1A/CASP4/ITGA2/CCL2/SLC7A11/IKBKE/CCL3,46,2.6218696122264107,1.8868817336576273,3.6431537498595477
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_DN,GSE21670_STAT3_KO_VS_WT_CD4_TCELL_DN,49/2013,187/17012,0.2620320855614973,2.214450988361745,6.117569566188244,4.7293684502809225e-8,1.2800823938760365e-5,1.0548427642907273e-5,SLC11A1/PDK1/NARF/PIM1/ITGB8/IL1B/NFKBIZ/SFMBT2/MAT2A/BCL6/DPP4/PCED1B/RAB27B/BATF/HIF1A/ADAM19/PLCL1/DTNBP1/TMEM65/BCL2L1/RNF157/CAMK2D/ARID5A/SLC37A3/PTPN1/ENO1/JAK3/MCL1/SLC7A1/BAZ1A/LDHA/CNKSR2/IL4R/ZNRF1/SOCS3/CISH/SBNO2/JUNB/CDK2/CSF1/KIAA0040/IL1A/SLC9B2/LINS1/MAL/CCL2/GTPBP4/CCL3/KNOP1,49,2.5389646442508718,1.8475766287862616,3.4890793509283475
GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP,GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP,49/2013,187/17012,0.2620320855614973,2.214450988361745,6.117569566188244,4.7293684502809225e-8,1.2800823938760365e-5,1.0548427642907273e-5,SRGN/SGK1/PIM1/GADD45B/DUSP1/IL1B/NFKBIZ/IL7/PLAUR/PCSK6/STK40/PPP1R15A/MAP2K4/NFE2L2/CDKN1A/IFRD1/TOP1/TRA2B/FOS/GJA1/TMC6/DAZAP1/ACSL4/ANKRD28/CAVIN1/EEA1/BTG2/IRF1/MADCAM1/NFKBIA/PDGFA/UGCG/EGR1/SOCS3/ZNF706/CD14/RHOB/JUNB/ETS2/ANGPTL2/PLXNA3/GRIN2B/CPE/SMAD6/IL1A/FRRS1/PHLDA1/GTPBP4/DNAJA1,49,2.5389646442508718,1.8475766287862616,3.4890793509283475
GSE39916_B_CELL_SPLEEN_VS_PLASMA_CELL_BONE_MARROW_DN,GSE39916_B_CELL_SPLEEN_VS_PLASMA_CELL_BONE_MARROW_DN,49/2013,189/17012,0.25925925925925924,2.191017644569557,6.031884712540614,6.791648773068302e-8,1.672002485984055e-5,1.3778017201502e-5,SORL1/IFNAR2/RALGDS/CTNNA1/PTPN13/NT5E/GPR155/PROS1/NLRP9/CEMIP2/ARHGAP26/GPM6B/CHSY1/CSF2RA/HIF1A/PRKAR2A/TMEM65/CDKN1A/RAB8B/RNF157/BCL2A1/LPXN/ERCC6L2/GRAMD1B/ARHGAP5/YBX3/PLAGL1/ZDHHC2/FLOT1/KIF5C/ADORA2A/MAF/TRPM6/DNAJB2/RAPH1/OSBPL3/BAIAP3/RORA/CASP1/GPR34/PCTP/LAX1/CRMP1/CCDC126/EDA/SPOCK2/S100A6/TPST2/TPI1,49,2.512097293518059,1.8286510626365826,3.450977029484221
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP,47/2013,178/17012,0.2640449438202247,2.231461790496603,6.050523305536768,6.863721206831097e-8,1.672002485984055e-5,1.3778017201502e-5,ELL2/RIN2/ACSL1/GADD45B/FAM177A1/DUSP1/IL1B/NFKBIZ/HIVEP2/PFKFB3/PLAUR/CSRNP1/EFNA1/SGMS1/PPP1R15A/GBP2/MARCKS/TFRC/CDKN1A/MAFF/DDIT4/MIR3142HG/BCL2A1/TIFA/DENND4A/ADM/BTG2/NUP58/NFKBIA/EGR1/SOCS3/ETS2/GCH1/HES1/CCRL2/UBE2D1/PSMD5/ADORA2A-AS1/NAF1/RAB21/IL1A/PIM3/NEMP1/STAT5A/CFLAR-AS1/SYNPO2/RGS1,47,2.558468270846241,1.8491366045110584,3.5399006633464802
