ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
GSE8835_CD4_VS_CD8_TCELL_DN,GSE8835_CD4_VS_CD8_TCELL_DN,176,-0.36274449435973904,-1.4637778115709683,0.0033696705869731744,0.01460590311364173,0.008649809963376541,2507,"tags=24%, list=13%, signal=21%",SGPP2/HMGN5/SLC16A5/ADGRL3/GPR149/HLA-DOA/THSD7B/WDR31/COL24A1/GNGT1/VWA3B/SOX18/PDZRN3/CA4/C1orf53/CALB1/CMKLR1/CHSY3/DACH1/PLPPR5/EDN3/GPX8/BRINP2/KHDRBS2/LYPD1/KIAA0825/USH1C/KIT/PCDH15/AKR1C3/PTPN5/COL10A1/C12orf42/BCL11B/CACNG3/MMP2/SYNPO2/COLCA1/LRMDA/GJA1/FAM135B/MRC2/MED12L,-1.4637778115709683,NA,NA
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_BCELL_UP,GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_BCELL_UP,163,-0.366292406374411,-1.456458429303995,0.0033870055866692308,0.014667992194002215,0.008686579942044784,3168,"tags=28%, list=16%, signal=23%",IL7R/MANBA/METTL21A/ERCC6/LINC00926/GAPDHS/PLEKHA2/TENM4/CIITA/FXYD1/DNASE2/CERS3/TEX26/FARS2/IFT88/GOLPH3L/LINC00205/KCNQ1/GAB3/UNC13C/AKR1C1/FSTL4/FOXG1/CHRM1/PLK2/FZD2/PIK3CD/OLIG1/LINC02731/SERTAD4-AS1/ZFHX3/PDE3B/AKR1C3/THSD7A/CTTNBP2NL/CREBL2/BCL11B/SEL1L3/SYT1/MAML2/TMEM154/GLCCI1/CTDSPL/FOXP1/DEPTOR,-1.456458429303995,NA,NA
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN,GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN,191,0.3363021690486767,1.4329085791486849,0.0033931934435944954,0.014681739304788971,0.008694721163777239,4850,"tags=38%, list=25%, signal=28%",ZFP36/RALGDS/BTG2/FGF11/ADM/UGCG/TIPARP/FLOT1/MPRIP/PTK2/FLOT2/RHBDL3/GYS1/BMP1/TPT1/SELE/GCSH/DES/UBE2D3/TAX1BP3/STAT1/FERMT2/RCAN3/DNAJB1/OTUD7B/RPS8/G0S2/RPL7/ZFAND5/FOSB/TTC3/RPL22/WDR45B/SLC1A5/CPNE3/ZFP90/NME1/RO60/SHC1/NID2/AKR1B15/MRPL14/UNC45A/CFL2/MAFK/UBXN4/ELOC/DDHD2/EIF4E/ADAR/PPP1R14B/DGUOK/RBP1/CAPNS1/WDR83OS/SPEF1/AMPD3/GALNT2/ATXN10/SART3/POLD1/ISL1/TPD52/ERRFI1/MMS19/SLC50A1/CARM1/DDR1/THBS3/CCT6A/ANXA1/HSF1,1.4329085791486849,NA,NA
GSE17721_POLYIC_VS_CPG_2H_BMDC_UP,GSE17721_POLYIC_VS_CPG_2H_BMDC_UP,192,0.3432811172242871,1.4644943151716416,0.003401489760082502,0.014704576851039885,0.008708245862220274,5494,"tags=39%, list=29%, signal=28%",PACS2/KDM3A/XBP1/NFIL3/TIPARP/WIPF1/CORO1C/MAFB/KCNN4/RPS6/HLX/BIN3/TMC6/PAXBP1/TMEM131L/CXCR4/SMC6/ATAD2B/MYC/CDC37L1/KLHL42/FNBP4/IRF7/ZNFX1/SRP19/NSMAF/BRWD1/PCYT1A/NUP133/CYTH1/C15orf40/CAPZA1/RECK/OARD1/UBE2G2/MAPK14/CAPN2/DDHD2/ADCY9/ARRB1/TRIM8/PAPOLG/ADAM23/MED4/RRP36/ETFRF1/DRAM1/NOL7/NDUFAF4/FBXW7/ECPAS/AMACR/USP33/ANKRD13A/DBR1/GDI1/RPP14/MINPP1/TRIM39/CCDC25/ATP5MC2/PJA2/EXOSC1/SUGP1/BFAR/SIRT7/MAU2/BTBD1/SYS1/PIBF1/PRPS1/TOPBP1/MMACHC/VTI1B,1.4644943151716416,NA,NA
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN,GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN,189,0.33903962051166314,1.4414925158148952,0.003409826744788586,0.014727549557278362,0.008721850604204474,5044,"tags=40%, list=26%, signal=30%",FBXO7/ARHGEF3/PARP9/TRPC4AP/ISG20/TIPARP/NCOA7/MLKL/IFI16/BARD1/GCH1/B4GALT5/PLSCR1/SHISA5/HELZ2/KIAA0040/GSTK1/ARL8A/DTX3L/CALCOCO2/LAP3/TRIM56/CLIC1/FBXO6/CNDP2/CFB/IFITM2/IRF9/SMCHD1/CDS2/DUSP5/SAP30BP/SPATS2L/IFITM3/KDM6A/IRF7/ZNFX1/ELMO2/C1GALT1/PHF11/IFI35/SP110/BLZF1/CAPN2/RAB8A/SH3GLB1/IRF2/SAT1/NMI/TRIM26/IL15RA/NABP1/CDKN1C/ELF1/DYNLT1/CNPPD1/PARP12/ZCCHC2/ETV7/PLSCR2/PARP4/SUPT3H/INAFM1/C4orf33/ELF4/BST2/SLC25A28/GNG5/ZBTB43/STAT2/NT5C3A/DRAP1/RBM7/UBE2L6/EPSTI1/NCSTN,1.4414925158148952,NA,NA
GSE25085_FETAL_BM_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP,GSE25085_FETAL_BM_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP,194,0.3454628142912431,1.4715836425492994,0.0034233989267971445,0.014773073136718943,0.008748810273041793,3439,"tags=27%, list=18%, signal=23%",SOCS3/MVP/VEGFA/ELL2/MAT2A/ADAM19/MTHFD2/PPP1R15A/TBC1D8/ATF3/ISG20/ADCY3/EGR1/HPSE/HELZ2/IGF2BP2/BZW2/UBC/TMEM230/CCL4/NFE2L2/OGFR/P3H3/GLRX/CALHM6/FABP5/PCGF5/ZUP1/TRAF1/RAB20/DDIT3/ZFAND5/PDXK/SEMA4D/HAO2/IRF7/CNP/DIO2/RMDN3/JPH2/LMBR1/PARP14/FOXRED1/IFI35/METRNL/PPFIBP2/SP110/SLC31A2/DDX39B/LTO1/TSR1/SERTAD1/TPM3,1.4715836425492994,NA,NA
GSE22886_NAIVE_TCELL_VS_DC_UP,GSE22886_NAIVE_TCELL_VS_DC_UP,187,0.3444248827946227,1.4649743062701683,0.0034411132696285543,0.014823257161476849,0.008778529919541969,3649,"tags=39%, list=19%, signal=32%",NCK2/SLC16A7/HIVEP2/RASA3/RETREG1/ISG20/ZNF292/ENO2/BIN1/CDC7/RPS3/RPL30/RPL21/N4BP2L2/RPL17/ZNF91/STK38/RPL13A/RPL7A/RPL19/ING1/SELL/NACA/STAT5B/TMEM131L/TSC22D3/DOCK9/RPS14/RPS15A/PCSK7/RPS23/RPL14/SMCHD1/RPL5/RPS18/RPL3/RPL11/RPL22/RPL28/SEMA4D/LSM14A/RPL23/FBXO21/RPS7/RPL29/PILRB/UBA52/ZNF44/EEF1B2/ADNP2/PLAAT4/RPL26/BCL2/ALDH18A1/RPS27/RPL35/RNF126/RPS15/FAU/SP110/CDC25B/RPLP2/RPL35A/FOXJ3/EEF1G/RPL6/DGKD/SAFB2/ASXL1/ZHX2/PPP3CC/EIF3F,1.4649743062701683,NA,NA
GSE14386_UNTREATED_VS_IFNA_TREATED_ACT_PBMC_MS_PATIENT_DN,GSE14386_UNTREATED_VS_IFNA_TREATED_ACT_PBMC_MS_PATIENT_DN,151,0.35435927962718156,1.4511205396119384,0.0034381357504142517,0.014823257161476849,0.008778529919541969,2250,"tags=26%, list=12%, signal=24%",NAMPT/STAT3/SHMT1/ARHGAP21/RGS16/BATF/MAFF/NDRG1/ADAM9/NFIL3/HIF1A/CCL2/ISG20/LITAF/IFI16/CCNYL1/FPR1/UBASH3B/TRPC1/ITM2A/SYCE2/EEA1/ETS2/MT1A/NR4A1/AREG/BST1/CXCR4/GSTO1/IER2/BRCA1/CD44/PLIN2/IFI30/MXD1/TRPS1/IRF7/SOCS4/MT2A/SPATS2,1.4511205396119384,NA,NA
GSE40274_CTRL_VS_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN,GSE40274_CTRL_VS_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN,162,0.34809892652322444,1.44970844719965,0.0034962165038661458,0.015047320500738395,0.00891122320726902,4736,"tags=35%, list=25%, signal=27%",PLXND1/PFKL/SYTL3/YBX3/RNF157/PLK3/CSF1/ZBED3/RANBP2/SPATA7/ABHD6/PTPDC1/GCSH/TTBK2/NAF1/NLGN2/IPO7/GPR84/RPS2/TUBB6/RAB10/LSG1/NUS1/MRPL3/NQO1/APIP/MATR3/LRRC8D/ARL8B/F3/RILPL1/SAR1A/SRSF1/CEP41/NCS1/LEO1/TRIM62/RSAD1/UMPS/MED21/ECD/ESD/BTF3L4/PDCD5/GCN1/ATP1A1/BCCIP/CCR7/TMEM41B/TRMT10A/PSMA5/IL1A/P3H1/MNAT1/REL/TBC1D15/SMU1,1.44970844719965,NA,NA
GSE17721_CTRL_VS_LPS_2H_BMDC_DN,GSE17721_CTRL_VS_LPS_2H_BMDC_DN,184,0.34024571385509106,1.4449321952929588,0.003502393122084014,0.015060599550567799,0.008919087237081137,2478,"tags=27%, list=13%, signal=24%",CDKN1A/ELL2/ITGB3/ACSL1/NIBAN1/NFKBIA/HILPDA/MXI1/CASP4/FZD5/ATF3/GNAI1/RGL1/PLSCR1/BTG3/TUBB4A/COL4A2/CSF1/HELZ2/EDEM1/CRYBG3/PPIF/TNFRSF10A/MAP2K4/GSTK1/NEK1/ARG2/MAP3K8/TMEM39A/CHD1/IER2/TSC22D1/FLNB/MYO5B/SPAG4/DSPP/TMCO3/TIMP1/SMC5/MMP17/TYW1/CLCF1/SQSTM1/PTPRE/MT2A/UPP1/DMTF1/NFKB2/SGTB/PCM1,1.4449321952929588,NA,NA
