Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
glutamatergic,2,31,431,0.14341845996390273,3.140852056535709,2.9937878901279844,GRM7;GRIA1
cholinergic,1,23,431,0.39428605400799027,2.066250876365988,2.0175527085645113,BCHE
