gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
ATP1A2,-1.4677694364280194,5.859645750747501,1.1283349845483498e-06,0.0006867297457068934,OUD_vs_Control_Female,True,True,True,True,True,Down
ERBIN,0.8839741196993569,10.633301649990681,1.2101337451498215e-06,0.0007076475396776766,OUD_vs_Control_Female,False,True,True,False,True,Up
CLIC4,0.99624999423003,8.482810531322022,1.2295185699271847e-06,0.0007076475396776766,OUD_vs_Control_Female,False,True,True,False,True,Up
ACSM5,-3.4686870119687097,2.7022280908769445,1.2643246799807339e-06,0.0007076475396776766,OUD_vs_Control_Female,True,True,True,True,True,Down
AC063919.1,3.0459231543769816,2.8795230271361394,1.2660555514899281e-06,0.0007076475396776766,OUD_vs_Control_Female,True,True,True,True,True,Up
SH3PXD2B,1.132598560580463,7.449444902737871,1.3529290908484145e-06,0.0007330172662441521,OUD_vs_Control_Female,True,True,True,True,True,Up
SESN3,-1.5603004974548824,5.423114687043811,1.3649730019881612e-06,0.0007330172662441521,OUD_vs_Control_Female,True,True,True,True,True,Down
AL392172.2,-2.438470596807249,4.342374502443572,1.4907812208063282e-06,0.0007851830014508408,OUD_vs_Control_Female,True,True,True,True,True,Down
AC044781.1,-2.9153876827896155,4.14173522191158,1.6422500957842143e-06,0.0008131526484278822,OUD_vs_Control_Female,True,True,True,True,True,Down
PDK1,1.8958701352912963,5.468667313232793,1.6672384653625278e-06,0.0008131526484278822,OUD_vs_Control_Female,True,True,True,True,True,Up
RYR1,-1.577826033652319,5.138018543920137,1.6849839110576911e-06,0.0008131526484278822,OUD_vs_Control_Female,True,True,True,True,True,Down
LINC00996,-6.236145744822968,3.706108530902551,1.7211789805096245e-06,0.0008131526484278822,OUD_vs_Control_Female,True,True,True,True,True,Down
CARD11,-2.3976181560754,3.866930227024521,1.7255654183436057e-06,0.0008131526484278822,OUD_vs_Control_Female,True,True,True,True,True,Down
SLC2A3,4.0254087261308715,6.1734263644701475,1.757702913854267e-06,0.0008131526484278822,OUD_vs_Control_Female,True,True,True,True,True,Up
LMO3,-1.7649590561566721,4.874248142914128,1.769033734935922e-06,0.0008131526484278822,OUD_vs_Control_Female,True,True,True,True,True,Down
MYO1G,3.6186822669570664,1.7978636656214293,1.781406415425476e-06,0.0008131526484278822,OUD_vs_Control_Female,True,True,True,True,True,Up
ALDH3A2,1.38926212114132,6.525037526942041,1.8972988458616351e-06,0.0008486500787958567,OUD_vs_Control_Female,True,True,True,True,True,Up
AJ009632.2,-3.112395221900912,2.947668378359895,1.9211444751476236e-06,0.0008486500787958567,OUD_vs_Control_Female,True,True,True,True,True,Down
ELOVL5,1.034438891414531,7.360403109504547,2.051736342824812e-06,0.000881399349296493,OUD_vs_Control_Female,True,True,True,True,True,Up
PTPN14,-1.8774512453530336,4.074265667951844,2.059645039980121e-06,0.000881399349296493,OUD_vs_Control_Female,True,True,True,True,True,Down
FOXP2,-1.607347492870266,5.923048637312092,2.1049957131787e-06,0.0008869480398852037,OUD_vs_Control_Female,True,True,True,True,True,Down
KLF9,1.2872107769516214,6.203302434438901,2.3627020794867457e-06,0.0009804497659542878,OUD_vs_Control_Female,True,True,True,True,True,Up
PALD1,-1.2167615509542642,5.908363817701787,2.463170490637477e-06,0.0010068852745907346,OUD_vs_Control_Female,True,True,True,True,True,Down
