gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
SLAIN1,-1.4505103400550547,9.967061306426574,1.3224082874168787e-07,0.001440330709398989,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
STMN4,-2.7634614974257428,6.2464692500901515,2.2906833564193916e-07,0.001440330709398989,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
SESN3,1.7748331028668793,5.692844899780612,2.3734393646780488e-07,0.001440330709398989,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
SAMD4B,-1.5014405968141025,7.541754542426411,2.6869331961380515e-07,0.001440330709398989,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
ALDH3A2,-1.781737173397299,6.2112708061225925,2.739521282332222e-07,0.001440330709398989,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
ERBIN,-1.265834895506091,10.520516915729184,4.225629733392841e-07,0.0014627214939498577,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
CNDP1,-1.557666354772711,9.464695592012179,4.3018607832769977e-07,0.0014627214939498577,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
AC009432.2,5.097991125195009,4.063009309332063,4.4513739925436936e-07,0.0014627214939498577,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
ZNF708,-1.352462611515506,8.21887713797439,5.676855334030217e-07,0.0015795430393715274,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
SLC11A1,-3.699065461729819,4.198736637916798,6.080313478159173e-07,0.0015795430393715274,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
AC131944.1,-2.8335983339988444,5.402873889666313,7.297782762265286e-07,0.0015795430393715274,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
KLF9,-2.3602145583299805,5.77941565477535,7.545740026172875e-07,0.0015795430393715274,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
CARS,-1.4290634628038161,5.997395488731119,7.811191232436799e-07,0.0015795430393715274,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
CALY,4.126029929684369,2.5963884366553187,9.049044982971131e-07,0.001699152103659608,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
TLL2,-1.9329895331797058,4.778684294730273,1.0449112005974792e-06,0.0017909969844783012,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
PIP4K2A,-1.0731610096872,11.137153412939233,1.0900772881791243e-06,0.0017909969844783012,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
SLC2A3,-4.242856187011617,5.27206256145378,1.1644707632745382e-06,0.0017948996081852456,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
SH3PXD2B,-1.4614673725115808,7.175090532296545,1.2290091656776637e-06,0.0017948996081852456,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
SPOCK1,-1.0757666006120754,10.21429842261348,1.3783056180588773e-06,0.0018801492566589268,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
EVA1C,-1.152711670760939,7.7689290834016465,1.4304239627654645e-06,0.0018801492566589268,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
NAV3,1.2790939621992166,8.841096733921813,1.5238228225944974e-06,0.0019075359219221024,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
PLCXD3,2.5101719917119425,4.000190225636024,1.6271861254647482e-06,0.001934401635550365,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
PTPN14,1.7310665718535074,4.205250768229824,1.6924542611708153e-06,0.001934401635550365,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
ETNPPL,2.977863576115288,5.246154076728552,1.8419606036428387e-06,0.001936556789858296,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
STAT3,-1.72218704312388,6.7736255363170965,1.9079412940357927e-06,0.001936556789858296,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
LMO3,2.2335900159832174,5.433663140192147,1.9153407081678218e-06,0.001936556789858296,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
ZDHHC11,-1.6992191120657658,4.891831317091614,2.08221679664529e-06,0.001971636239035603,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
PDK1,-2.088314744320557,4.865439287432509,2.1891512565057858e-06,0.001971636239035603,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
SRGN,-3.2734483385994424,5.027371631852484,2.2057459498177176e-06,0.001971636239035603,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
MALRD1,2.3883945535278235,4.317337748543179,2.3195899388528435e-06,0.001971636239035603,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
SGCZ,2.189638621959449,6.185661455586726,2.325042734711796e-06,0.001971636239035603,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
TMEM165,-0.9532318258552436,9.716546609140794,2.564920418550384e-06,0.00208990030313696,OUD_Effect_Male_vs_Female,False,True,True,False,True,Down
CLMN,-1.0466763847046365,9.681684505921949,2.6235054018380887e-06,0.00208990030313696,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
NEAT1,-1.8198476409458586,10.367427261178651,2.8155245470121665e-06,0.0021768973321134068,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
SLC38A4,4.820757855222592,0.24616267192415484,3.0852570282229233e-06,0.002265737876238189,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
GPM6A,1.9008986189138144,8.772594906647667,3.156614186749397e-06,0.002265737876238189,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
SRPRB,-2.142402968677071,4.959061499761567,3.1889950327454733e-06,0.002265737876238189,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
P4HA1,-2.2775521660312936,6.39449215405139,3.6047024571568937e-06,0.002493695215624748,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
NKAIN3,2.355413224442882,7.791228898915634,4.081926790626921e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
LINC01645,2.903875806862427,1.554265772019885,4.175471146756185e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
RAB40B,-1.058750413554714,7.259383792890278,4.184639383481739e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
AC097537.1,5.066425088203927,2.631654935336268,4.2745968344423366e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
ELOVL5,-1.524031191042378,7.164111501573515,4.365467547913907e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
SGK1,-1.1730854516643694,9.47011237422106,4.425668555799427e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
CPED1,2.28135274541321,5.922594529973452,4.428938949260504e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
GAS7,-0.8889998140198033,8.252796428828434,4.566510657729563e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,False,True,True,False,True,Down
SLC22A23,-1.2482003043187135,8.399282608988877,4.622899405047615e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
AP000787.1,1.9516351171248818,4.533222501909973,4.623772058539839e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
PALM2-AKAP2,-1.0795990261116943,10.474442775531687,4.8250869227688674e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
AC092691.3,3.171265427980585,3.9911828429027274,4.8275620605178295e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
PACS2,-1.0066378933750033,7.639486100539596,4.8555812963416165e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
FGF20,3.8260809444821704,2.0454424581061006,4.9500363823917935e-06,0.002502433777313759,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
ARHGAP21,-0.9490645614638009,9.84705056705221,5.150274077197141e-06,0.002507888234978806,OUD_Effect_Male_vs_Female,False,True,True,False,True,Down
ACP7,-1.7365013551341466,3.831586325946645,5.151626776052021e-06,0.002507888234978806,OUD_Effect_Male_vs_Female,True,True,True,True,True,Down
RBMS3-AS3,3.337185480759992,3.820211543148571,5.260116556041815e-06,0.002514144436822313,OUD_Effect_Male_vs_Female,True,True,True,True,True,Up
