gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
LINC02822,-1.2806014442271954,1.91047786505109,0.003958229700050328,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
FCMR,-2.6415745831896547,-2.620671278656063,0.003975406921530064,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC010983.1,-4.579984548503559,-3.827196959115147,0.004054140596990339,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AL596451.1,2.8065307053745414,-3.3982848605288836,0.004762207526156021,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
ZNF117,-0.8086779638413141,4.26526055200263,0.004918268629225399,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
SLC38A11,-1.6045656702914912,2.3768887327930464,0.00493256319147818,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
CFAP54,-1.0811217916325404,4.340342848721684,0.004933689795672865,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
EMB,-1.1563338867884865,3.4459778873012517,0.004980469292575225,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC105402.3,-0.8448033607243735,7.237693406745941,0.005001899466708378,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
NKX6-1,-3.18329230255239,-4.176391619019431,0.005029629750415722,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
STAT4,-1.2831003950621334,2.0313285131383023,0.0050310342554862175,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AL645608.7,1.8913324553050828,-0.49909580233566564,0.005033370786749426,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
LMO1,-1.4872727827431125,0.8924011422249767,0.005035978936519397,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
CCDC85A,-0.974997734892522,4.275385790107208,0.005112052287243009,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
BNC2,-0.957827551604178,5.71600056348216,0.005261529654135221,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC037433.1,-3.6725552819593026,-3.0901331139385095,0.005291534654417874,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC008060.1,1.3431298212832772,1.1994824156526012,0.005350886522660508,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
CD24,-1.7612395724786323,-1.1331094500005934,0.005482000169080868,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
PHLDB2,-1.3504671499060423,1.8645877713492356,0.005552752348684244,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
FAM183A,-2.913939801103184,-2.856525872864213,0.005578656896815178,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
LINC02021,-1.01512877058548,3.207878420858111,0.0056583929161502095,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AP005264.1,-3.0822174954115553,-4.237056319451053,0.005773310605931637,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
