gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
LINC01250,2.783155386756028,2.8609935656178513,0.01548131207459935,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
SH3RF2,2.6432812513692974,1.1805634063109034,0.015657465844767137,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
SCRT1,2.607862192468717,-1.908301994383811,0.01589412934692034,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AL139379.1,1.5693728814384114,0.9500267218172064,0.016299453803297677,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC004690.2,-0.8278573853898251,5.636896464889365,0.01630121824095821,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
HPYR1,2.7488168337349586,-0.9587463536720209,0.016381249590039164,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
RAMP2,1.477030464993041,-0.4752616602650849,0.016479930960477535,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
FCMR,2.8968303054455062,-2.116367039647758,0.016560530764242985,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
LINC01378,1.661805524400471,1.1850933235508772,0.016666948159263655,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
GPR139,2.327771874189411,-1.1482301544630398,0.01682897094598556,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
SLC35F3,1.3852645896125246,6.071741440721075,0.017203747593360606,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
MECOM,1.4451236852107092,3.159128715626626,0.017261672350015383,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
CCDC169,1.3243167132733162,-0.040561764768959785,0.017298410914395653,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
NHSL2,0.9434079422792311,2.2776866733126386,0.017418191801882484,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
GPR55,-2.0769607280340607,-2.122299037038638,0.01743131852816087,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
AC107208.1,2.2402288073257086,0.8393997943950734,0.018265185150868262,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
JHY,1.6758752498413552,0.7321968970653053,0.01866123696092728,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
EXOSC10-AS1,-1.9985640229606414,-2.4538753269079714,0.018661324112295034,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
LCK,1.7367422092314866,-0.33532450947912595,0.019179243369796456,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
LINC02249,2.2213483278227937,-0.8899809732273376,0.019720767010124374,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
