gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AL033523.1,-1.2206572940557927,7.996364531618577,0.0003329122147525037,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Down
AC008571.2,-1.0895160554703678,9.230167711281055,0.0004954977161597719,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Down
CU634019.2,-4.591618690806255,-2.3127757547580976,0.0006066530307471076,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Down
MIR31HG,-1.7220126476326285,3.7973819671016025,0.001138219485590622,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Down
NGFR,1.9517946317089776,2.5246972092788758,0.0012620284213581763,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Up
AL157769.1,-2.8594721372483063,-0.5216119543436153,0.0014374612811288425,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Down
CYBB,-1.014144467267658,5.020544667377032,0.0014852174988169453,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Down
LINC01146,2.5148930893192465,0.7951324313583399,0.0015600694400407864,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Up
AVEN,-0.903999455861049,5.506716054729799,0.001720211354069863,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Down
CLEC5A,2.1879201171299814,0.9534605061798109,0.0019075122229166809,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Up
MOS,-3.125837387490595,-2.7035920997837515,0.002049651412826524,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Down
RPS12,0.8562833982195949,5.663091531541024,0.002060791548631011,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Up
CD53,-0.9145919234772236,4.809882254505871,0.0020779152463280253,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Down
LINC01410,-1.253951090322526,3.0317871452327703,0.0021732708536621815,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Down
KIF25,2.905710006617112,3.434211818623577,0.0022254639472448325,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Up
CNTNAP3B,0.9556896857529296,4.457247969286299,0.002280497211191855,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Up
GPR139,2.4941362237453624,-1.0443458850954843,0.0022880231588530775,0.9999922478167229,OUD_vs_Control_Putamen,False,False,True,False,False,Up
