Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
gabaergic,1,24,469,0.43438151600103925,1.8121971496181732,1.7768301350390903,GABRB1
glutamatergic,2,31,469,0.16397557524825057,2.87971861428209,2.7512208542540755,GRM7;GRIA1
cholinergic,2,23,469,0.10052023133676061,3.978282525451803,3.7081672383424493,BCHE;CHRM5
