Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
microglia_activation,2,21,469,0.08598964489093264,4.397400099965923,4.061326022946492,PTPRC;TLR4
nf_kappa_b_pathway,1,17,469,0.332063342445207,2.6057997367224397,2.5084660729963626,NFKBIA
