Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
stress_response,2,21,469,0.08598964489093264,4.397400099965923,4.061326022946492,NTRK2;FKBP5
synaptic_plasticity,2,28,469,0.13936003053975007,3.2124338736050477,3.045994517209869,NTRK2;GRIA1
