Pathway,Importance
Classical Pathway,0.20685376078735734
Overall,0.16436181293546057
Anaphylatoxins Receptors,0.159598555892217
Regulators,0.13780001263454092
Alternative Pathway,0.13690610862151698
Terminal Pathway,0.12695994146298561
Lectin Pathway,0.06751980766592164
