Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
stress_response,2,21,558,0.11524404313345597,3.6764074645539324,3.413551800648575,JUN;FOS
synaptic_plasticity,3,28,558,0.042213940662646596,4.197659320988622,3.8402457757296466,JUN;FOS;JUNB
