"","Itgam","C1qa","C1qc","Cd55","Itgb2","C1qb","Cfh","C3ar1","Masp2","C8g","Cd46","C5ar1","C2","C4b","Masp1"
"Itgam",1,0.858343585642784,0.895746037999109,-0.399907327570516,0.70328102816616,0.863028254055429,0.726917503891831,0.828427307251859,0.744329729330446,0.528884139063528,0.11540640059892,0.759495448960607,0.0617108878503912,0.272681356340891,0.537937891123318
"C1qa",0.858343585642784,1,0.993004658317997,-0.629707088047381,0.944275096555897,0.981615636440808,0.899198115192912,0.829959778853855,0.427102937166865,0.840988291930198,-0.104557958337393,0.646813856691532,0.519564038858768,0.615249354269961,0.549608822431349
"C1qc",0.895746037999109,0.993004658317997,1,-0.572582316718433,0.915012733674933,0.985845305117034,0.882587609753015,0.876001348029711,0.503297681451132,0.797086779583478,-0.0362596722592501,0.679321298919228,0.450476835275964,0.550154464576423,0.59569778968566
"Cd55",-0.399907327570516,-0.629707088047381,-0.572582316718433,1,-0.765270555898773,-0.53217058050627,-0.469290427850264,-0.431844019047737,-0.210860999893102,-0.708071842467063,0.791261501511996,-0.009187763060064,-0.64910725151843,-0.250911842155077,0.0922327672886229
"Itgb2",0.70328102816616,0.944275096555897,0.915012733674933,-0.765270555898773,1,0.87419733239552,0.807673442725243,0.70186143662251,0.310501481364127,0.942606832556051,-0.272909836257685,0.390324109846465,0.602021453787907,0.60090418403006,0.304577845764989
"C1qb",0.863028254055429,0.981615636440808,0.985845305117034,-0.53217058050627,0.87419733239552,1,0.914616539267622,0.879311826296201,0.433784524587457,0.75384467742618,-0.0325919581649387,0.741842826389104,0.518434456974513,0.611234078925929,0.687125210034769
"Cfh",0.726917503891831,0.899198115192912,0.882587609753015,-0.469290427850264,0.807673442725243,0.914616539267622,1,0.75083378841024,0.297741753913297,0.684728355033897,-0.105977410694194,0.749627563749569,0.586740875115695,0.74532299655014,0.655009285826468
"C3ar1",0.828427307251859,0.829959778853855,0.876001348029711,-0.431844019047737,0.70186143662251,0.879311826296201,0.75083378841024,1,0.703230217272938,0.499453027084383,-0.0467655385496246,0.689801692963358,0.355493514113751,0.222770846746872,0.691730246862022
"Masp2",0.744329729330446,0.427102937166865,0.503297681451132,-0.210860999893102,0.310501481364127,0.433784524587457,0.297741753913297,0.703230217272938,1,0.0448229836268106,0.0362900406241286,0.485890907824275,-0.306919483024644,-0.35256176901661,0.214880197807435
"C8g",0.528884139063528,0.840988291930198,0.797086779583478,-0.708071842467063,0.942606832556051,0.75384467742618,0.684728355033897,0.499453027084383,0.0448229836268106,1,-0.223750963031272,0.177591390547872,0.633055846010128,0.658425400214825,0.23506007710098
"Cd46",0.11540640059892,-0.104557958337393,-0.0362596722592501,0.791261501511996,-0.272909836257685,-0.0325919581649387,-0.105977410694194,-0.0467655385496246,0.0362900406241286,-0.223750963031272,1,0.300977276699406,-0.588373592918399,0.036129440320067,0.337306106320928
"C5ar1",0.759495448960607,0.646813856691532,0.679321298919228,-0.009187763060064,0.390324109846465,0.741842826389104,0.749627563749569,0.689801692963358,0.485890907824275,0.177591390547872,0.300977276699406,1,0.0941267886625082,0.460223573337099,0.737401458195605
"C2",0.0617108878503912,0.519564038858768,0.450476835275964,-0.64910725151843,0.602021453787907,0.518434456974513,0.586740875115695,0.355493514113751,-0.306919483024644,0.633055846010128,-0.588373592918399,0.0941267886625082,1,0.636494989467095,0.320011760207789
"C4b",0.272681356340891,0.615249354269961,0.550154464576423,-0.250911842155077,0.60090418403006,0.611234078925929,0.74532299655014,0.222770846746872,-0.35256176901661,0.658425400214825,0.036129440320067,0.460223573337099,0.636494989467095,1,0.424275904591632
"Masp1",0.537937891123318,0.549608822431349,0.59569778968566,0.0922327672886229,0.304577845764989,0.687125210034769,0.655009285826468,0.691730246862022,0.214880197807435,0.23506007710098,0.337306106320928,0.737401458195605,0.320011760207789,0.424275904591632,1
