Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
gabaergic,1,24,506,0.4595599859249379,1.676301581988291,1.6469038208168645,GABRB3
glutamatergic,1,31,506,0.5484170004868896,1.2847320484134734,1.2750223128904756,GRIK4
cholinergic,1,23,506,0.44551537357210674,1.7525871830089177,1.7185083347654238,CHRM5
