Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
microglia_activation,1,21,506,0.41632399415770577,1.9280447550241047,1.8821757952192735,P2RY12
astrocyte_reactivity,1,20,506,0.4011581289550666,2.029639902965737,1.976284584980237,OSMR
