gene,mean_group1,mean_group2,log_fold_change,abs_log_fold_change,t_statistic,pvalue,padj,significant
TMTC2,19.956568,16.48294,-3.473627,3.473627,5.957784289290967,3.5407847825167636e-09,4.5984217954763167e-08,True
NCOA7,3.753728,3.1477892,-0.6059387,0.6059387,5.917838532967659,4.47992769017077e-09,5.743497038680475e-08,True
GRIA4,2.8249674,1.9320604,-0.892907,0.892907,5.824162269233986,7.73556703683795e-09,9.319960285346929e-08,True
AL033523.1,3.5248013,2.3695166,-1.1552846,1.1552846,5.757957107877512,1.132741196997303e-08,1.332636702349768e-07,True
KIF6,3.888657,3.1862993,-0.70235777,0.70235777,5.750734961892639,1.180588657175633e-08,1.3727775083437593e-07,True
PHLDB1,3.1733513,3.7830818,0.6097305,0.6097305,-5.737185672651314,1.2757160809718713e-08,1.466340322956174e-07,True
ERBIN,14.831984,12.409588,-2.4223957,2.4223957,5.7065479407518245,1.5191382791541615e-08,1.7262934990388199e-07,True
ASTN2,7.389296,6.2533565,-1.1359396,1.1359396,5.679684417245965,1.7693036703400568e-08,1.944289747626436e-07,True
RNF130,6.392,5.77126,-0.6207404,0.6207404,5.676522907025749,1.8012573256335586e-08,1.957888397427781e-07,True
ERBB4,26.816847,23.03213,-3.7847176,3.7847176,5.629647619499979,2.3462909592468634e-08,2.52289350456652e-07,True
PRUNE2,15.309225,12.293198,-3.0160275,3.0160275,5.606277592957871,2.6748843667359782e-08,2.8456216667404026e-07,True
PCDH9,114.698296,99.87479,-14.823509,14.823509,5.4810264167274605,5.355668293588094e-08,5.302641874839697e-07,True
CNDP1,7.254977,5.4296055,-1.8253717,1.8253717,5.469872174237677,5.693408761781282e-08,5.52758132211775e-07,True
KIF13B,4.652864,3.9290595,-0.7238045,0.7238045,5.4195702648287085,7.491153963866496e-08,7.13443234653952e-07,True
DMD,5.058897,6.15742,1.0985231,1.0985231,-5.410286362917761,7.878397721771207e-08,7.428762864601964e-07,True
NLGN1,28.268753,22.91079,-5.3579636,5.3579636,5.363291247583526,1.0156208565291691e-07,9.403896819714528e-07,True
PTGDS,4.2337203,5.2057424,0.97202206,0.97202206,-5.349768371485751,1.0922222518485026e-07,1.0020387631637639e-06,True
HIP1,6.084973,5.0952973,-0.9896755,0.9896755,5.272155980761924,1.652691384555379e-07,1.4889111572570982e-06,True
PLCG2,10.537605,8.790583,-1.7470226,1.7470226,5.262090418509972,1.7432118882694266e-07,1.5564391859548452e-06,True
GAB2,6.2412877,5.542878,-0.69840956,0.69840956,5.2416807948420985,1.94172454527335e-07,1.718340305551637e-06,True
OTUD7A,4.6543694,5.673124,1.0187545,1.0187545,-5.186882793258091,2.589079289236817e-07,2.2319649045144973e-06,True
FMNL2,18.929186,16.8277,-2.1014862,2.1014862,5.159904318059065,2.9801528410492595e-07,2.525553255126491e-06,True
DIP2B,12.212269,10.6171055,-1.5951633,1.5951633,5.146953128237409,3.1876205652203363e-07,2.6786727438826356e-06,True
DAAM2,6.2321815,5.3108935,-0.921288,0.921288,5.143791576622396,3.2403483952193673e-07,2.700290329349473e-06,True
MBNL1,5.2789536,4.2299013,-1.0490522,1.0490522,5.137023314896635,3.356078467978529e-07,2.7736185685772966e-06,True
SLC44A1,26.392433,22.43964,-3.9527931,3.9527931,5.085133504497355,4.386166199711459e-07,3.5952181964848025e-06,True
MOG,3.7973783,4.56725,0.7698715,0.7698715,-5.079524188840241,4.5142913358517117e-07,3.6701555576030176e-06,True
POLR2F,4.6994095,5.6993732,0.99996376,0.99996376,-5.057983429980342,5.040755801396862e-07,4.0651256462877925e-06,True
QKI,41.151943,37.13291,-4.0190315,4.0190315,4.922640228738921,9.985591765711513e-07,7.74076881062908e-06,True
TCF12,16.9217,15.244987,-1.676713,1.676713,4.870492183891426,1.2937826392843653e-06,9.952174148341271e-06,True
AC008571.2,7.0828905,5.3491106,-1.7337799,1.7337799,4.848160171221049,1.44447349459593e-06,1.102651522592313e-05,True
FAM49B,3.78445,2.982947,-0.80150294,0.80150294,4.816668862422248,1.6859797962175738e-06,1.2581938777743087e-05,True
HSP90AA1,4.2799788,3.6488252,-0.6311536,0.6311536,4.768757865364825,2.129425570876076e-06,1.565754096232409e-05,True
SORT1,6.3001304,5.4754295,-0.82470083,0.82470083,4.7672092711903895,2.1454843166254736e-06,1.5660469464419514e-05,True
GAB1,11.555293,10.112296,-1.442997,1.442997,4.750403585095111,2.3274195879615865e-06,1.686535933305497e-05,True
AUTS2,20.21701,18.189838,-2.027172,2.027172,4.704841794759416,2.898383140806974e-06,2.085167727199262e-05,True
NEAT1,10.721391,9.032866,-1.6885252,1.6885252,4.697015641854972,3.009128341436344e-06,2.1493773867402453e-05,True
LPGAT1,7.0785117,8.32772,1.249208,1.249208,-4.66858963941664,3.446587490714234e-06,2.444388291286691e-05,True
GRID2,11.87619,8.991075,-2.8851156,2.8851156,4.646802957566246,3.822574489731111e-06,2.691953866007825e-05,True
DIP2C,8.612962,7.6618586,-0.9511032,0.9511032,4.614649516176367,4.450207838859393e-06,3.112033453747827e-05,True
PDE4B,42.07957,36.827335,-5.2522354,5.2522354,4.592312057941856,4.94322629118528e-06,3.393561947668479e-05,True
PIK3C2A,1.4367661,2.0667875,0.63002133,0.63002133,-4.571516785101649,5.448977610973905e-06,3.6570319536737616e-05,True
DLEU2,6.528869,5.9257827,-0.6030865,0.6030865,4.503457264077881,7.474601442074132e-06,4.8853604196562954e-05,True
