gene,mean_group1,mean_group2,log_fold_change,abs_log_fold_change,t_statistic,pvalue,padj,significant
SPON1,0.38210356,0.74913186,0.3670283,0.3670283,-4.601146386396527,4.4654089857641935e-06,1.4131041094190485e-05,False
TOX,0.3885334,0.70001036,0.31147695,0.31147695,-4.599399963547865,4.502608155527353e-06,1.4203811216174615e-05,False
SCD,3.774278,3.2537558,-0.5205221,0.5205221,4.598240648863872,4.527465674936685e-06,1.421557093789315e-05,False
CLASP2,12.8884,13.968523,1.080123,1.080123,-4.597901280157186,4.534767129187915e-06,1.421557093789315e-05,True
BIN1,2.90677,2.6332433,-0.27352667,0.27352667,4.553116897966847,5.603997040911478e-06,1.7512490752848367e-05,False
MYO1E,2.4637568,2.735141,0.27138424,0.27138424,-4.542852842558409,5.881064313530771e-06,1.8321072627821715e-05,False
AC079352.1,4.59755,4.055875,-0.5416751,0.5416751,4.536005992571028,6.07313221532022e-06,1.88606590537895e-05,False
LPP,3.5413294,3.091535,-0.4497943,0.4497943,4.518827611774295,6.5818230218865985e-06,2.037716105847244e-05,False
LRRC8D,3.750391,4.0357785,0.28538752,0.28538752,-4.5135578312556754,6.745882385454355e-06,2.0820624646464057e-05,False
CACNA1A,0.7593282,1.2130549,0.4537267,0.4537267,-4.47194355604595,8.18617839885772e-06,2.518824122725452e-05,False
JMJD1C,6.9521074,6.6306624,-0.321445,0.321445,4.457614059697111,8.746985916741958e-06,2.683124514338024e-05,False
CLMN,8.7030525,7.741583,-0.96146965,0.96146965,4.4562747340020925,8.801240483054654e-06,2.69151085108705e-05,True
AOPEP,6.8923655,7.4705744,0.5782089,0.5782089,-4.454060102774958,8.891659400104823e-06,2.710871768324641e-05,False
FRYL,10.103152,11.110217,1.0070648,1.0070648,-4.452062089227561,8.97399590493736e-06,2.7276583297681943e-05,True
GPM6A,3.2254179,5.968372,2.742954,2.742954,-4.439758696876225,9.49730371088468e-06,2.8779708214802063e-05,True
RETREG1,3.7500122,3.3829699,-0.3670423,0.3670423,4.416366435049128,1.0573790063403992e-05,3.194498508581266e-05,False
LINC00609,4.0151396,3.1762002,-0.8389394,0.8389394,4.4052374944497465,1.1125962086676068e-05,3.351193399601225e-05,True
ADD1,3.2031214,3.4780173,0.2748959,0.2748959,-4.4038721774605625,1.1195570744696859e-05,3.362033256665723e-05,False
ARHGAP26,2.6567576,1.3725554,-1.2842022,1.2842022,4.38635169764614,1.2126581325885277e-05,3.630712971821939e-05,True
TRPS1,3.199899,3.6292105,0.4293115,0.4293115,-4.381588762747132,1.2392187609194462e-05,3.699160480356556e-05,False
EFEMP1,0.38862693,0.7720986,0.38347167,0.38347167,-4.380307189727793,1.2464597936572776e-05,3.709701766837135e-05,False
TTLL7,16.133873,18.018785,1.8849125,1.8849125,-4.362842341598836,1.3492552569463737e-05,4.003724798060456e-05,True
SDCCAG8,3.7454836,4.0076776,0.26219392,0.26219392,-4.353767728411239,1.4058134163592111e-05,4.159211291003583e-05,False
KLF12,0.5163069,0.8254164,0.3091095,0.3091095,-4.330654164999495,1.5602725383287674e-05,4.602573859376895e-05,False
PTPRM,2.1055048,1.5907798,-0.51472497,0.51472497,4.317917308502689,1.652174875442437e-05,4.8593378689483445e-05,False
DISC1,3.198388,2.5990233,-0.59936476,0.59936476,4.31065928581389,1.7068308296981263e-05,5.0053690020472906e-05,False
SLCO3A1,8.05217,8.962227,0.91005707,0.91005707,-4.301616593149193,1.7773406529996326e-05,5.1969024941509724e-05,True
AC131944.1,0.9125322,0.100345366,-0.81218684,0.81218684,4.295485849769025,1.826715269117645e-05,5.3257004930543585e-05,True
GABRA2,0.3308117,0.6366925,0.3058808,0.3058808,-4.254008490970521,2.1967581537550193e-05,6.385924865566917e-05,False
BACH1,1.556918,1.0646256,-0.4922924,0.4922924,4.247647279179595,2.2594728288075078e-05,6.53667673810962e-05,False
PLP1,38.662704,33.931873,-4.730831,4.730831,4.247425465115651,2.2616901513859286e-05,6.53667673810962e-05,True
MAPK10,3.005891,3.6941464,0.6882553,0.6882553,-4.241441521324049,2.3222955819976575e-05,6.692494472615729e-05,False
RNF144A,2.8965693,3.1604292,0.26386,0.26386,-4.21324988868943,2.6292281700837226e-05,7.555253362309548e-05,False
RGS7,1.1382098,1.7113701,0.5731603,0.5731603,-4.206896468002475,2.7035448144827875e-05,7.74654674636902e-05,False
PPP2R2A,3.8388305,3.5761654,-0.26266503,0.26266503,4.199641671520531,2.790848988327238e-05,7.973854252363538e-05,False
RGS1,0.2695041,0.022154326,-0.24734977,0.24734977,4.193994299949991,2.860659358747867e-05,8.150026663099337e-05,False
