"","OUD_Effect_Male_vs_Female_results","OUD_Effect_Putamen_vs_Caudate_results","OUD_vs_Control_Caudate_results","OUD_vs_Control_Female_results","OUD_vs_Control_Male_results","OUD_vs_Control_Putamen_results","Pooled_OUD_vs_Control_results"
"AHR",-3.87182824485718,2.1983127893063,-1.58304692243943,1.28125655210987,-4.57198360443702,0.516882015888144,-0.813285280864985
"AR",-5.4531290429994,2.60348092088887,0.237528804576647,3.55589177943955,-3.7270839789778,2.66683676513849,1.68558172300123
"ARID2",-2.82663548767376,0.47987613045211,-0.936321846237274,1.31000161014808,-2.84745502358657,-0.406633215646154,-0.83603247242511
"ARID3A",-3.28190047085311,0.190542440607362,0.920312679187733,2.47477088130599,-2.11066895741786,1.13205287555486,1.33688679361665
"ARNT",-3.92515185935822,2.33787555254507,-0.618132933480228,1.86604584222712,-3.9089506328858,1.61323606346987,0.599369901080439
"ASCL1",-1.25698540560433,0.818090524644385,-1.13847119932575,-0.0167127769469766,-2.00995940208337,-0.293557202090528,-0.94576178372787
"ATF1",-4.92879340019557,1.42135143922984,-0.158784898476986,2.77448406819074,-3.07196083286169,2.32952671831918,1.81012577879385
"ATF2",-2.2776359989694,2.80816513162091,2.27877555854662,2.02667668967289,-2.33768171169913,4.04471145711232,3.94131033403382
"ATF3",-2.37225664675767,0.860044419896705,0.759185073914499,2.11154182465957,-1.10564284110796,1.56321734500211,1.46680237865257
"ATF4",-6.97308651559525,1.51673351207941,3.51417297636368,7.93402571158438,-2.13786145223086,4.21030430789074,4.45165268262251
"ATF6",-1.96407401256403,-0.0736724902566582,1.27089955047386,1.92392087497816,-0.700312060710926,1.20042301864955,1.58923676352806
"ATF7",-1.52050329073573,0.0684708932510361,-1.93238683696166,-0.507406038948499,-3.04292497355153,-1.7629556595561,-2.35104524998079
"BACH1",-2.71451418815232,-0.0792447974397939,-1.18283071486072,1.00146130121848,-3.04343564576614,-1.14100935808806,-1.54018181207858
"BACH2",-2.37301674832278,0.400342904187892,-0.442103656760968,1.09808216484813,-2.37967311218266,0.0091266260327353,-0.258299148371889
"BATF",-2.364185149178,2.27715463921787,-2.02115646188966,0.345380778564293,-3.30995086631001,0.182721594824602,-1.93996905651872
"BCL11A",-2.14042838242695,0.449809527939517,-2.54877461310641,-0.523432708840763,-4.04153303865158,-2.00398517802425,-2.96898083419123
"BCL6",-2.17551240276253,0.431388910100451,0.0688528000971058,1.36494227680592,-1.74450253088999,0.498387661551664,0.34219549437869
"BHLHE22",-2.31270216394331,1.95142941774684,-1.32424674789689,0.815658769843826,-2.66523770218709,0.551784934871558,-0.589678820934259
"BHLHE40",-6.26819779103009,1.25326384159947,1.40934412339015,4.48134325404557,-4.35135341566366,2.60934425488936,2.50795667980875
"BMAL1",-2.27279189668195,0.114118254752378,0.607351265745789,1.7550328921919,-1.41677189270609,0.74443858695655,0.849496173636303
"CDX2",0.53905555135309,1.02758664425245,-1.87983518862602,-1.57568825234526,-0.858678343186433,-0.760096770249296,-1.98466141413434
"CEBPA",-9.9915063809842,4.95756228736276,-2.98147808004041,4.78501781121982,-10.3294638933498,2.59103718114221,-1.24745096112888
"CEBPB",-8.71295004104079,3.09928025659183,3.31221485535855,7.85924139812378,-2.20229394275043,7.28184739209505,5.45490380628006
"CEBPD",-4.98502895167894,2.02615961578702,2.28868362544994,4.34862887505995,-2.46928136546995,4.14237469756778,3.90898272445418
"CEBPE",-2.09060072765533,2.03520542933635,-0.900740539608378,0.239918520242434,-3.05637217909437,1.01176321756198,-0.618466998399397
"CEBPG",-0.893432606468769,0.00370326312959398,0.260487365851424,0.547172104831703,-0.714916459899279,0.320221882363057,0.328571051367984
"CLOCK",-2.67994058464993,0.985466288885353,-0.780011669492853,1.25570521317519,-2.68468273170407,0.208860507645206,-0.401701795676813
"CREB1",-0.785855547786545,1.94525467077648,0.884216181303829,0.604820784078253,-0.56784855534876,2.96054760961557,2.84952774806138
"CREB3",-2.79977285865827,0.831817280298265,0.34332149971001,1.88511642093291,-2.08063472873601,1.15439457790374,0.970775154418457
"CREB3L1",-3.6696350045926,1.32192998946154,0.871636926560653,2.97290845155745,-2.11657086657688,2.0953066915178,1.90703559094279
"CREM",-0.140610718822594,-0.823820517829299,-1.36141147767729,-0.764723976815394,-1.16458935907597,-2.03850369785506,-2.26097561514679
"CTCF",-5.65395197482458,2.0360422703329,-3.73734912537182,0.772691642750255,-7.67568556801523,-1.63461878889961,-2.98511548189303
