"analysis","statistic","source","condition","score","p_value"
"OUD_Effect_Male_vs_Female_results_mlm","mlm","FOSL2","OUD_Effect_Male_vs_Female_results",-2.42071046742489,0.0154970157724635
"OUD_Effect_Male_vs_Female_results_mlm","mlm","TP53","OUD_Effect_Male_vs_Female_results",-2.33572647300547,0.019513066484411
"OUD_Effect_Male_vs_Female_results_mlm","mlm","FOXL2","OUD_Effect_Male_vs_Female_results",-2.33387813427989,0.0196096851779097
"OUD_Effect_Male_vs_Female_results_mlm","mlm","SOX2","OUD_Effect_Male_vs_Female_results",2.30841013272863,0.0209841451242239
"OUD_Effect_Male_vs_Female_results_mlm","mlm","ATF1","OUD_Effect_Male_vs_Female_results",-2.27438515831571,0.0229509519704646
"OUD_Effect_Male_vs_Female_results_mlm","mlm","EGR1","OUD_Effect_Male_vs_Female_results",-2.24932613077233,0.0245000900082419
"OUD_Effect_Male_vs_Female_results_mlm","mlm","STAT2","OUD_Effect_Male_vs_Female_results",-2.21658448860293,0.0266601224308724
"OUD_Effect_Male_vs_Female_results_mlm","mlm","KLF5","OUD_Effect_Male_vs_Female_results",-2.15534870592328,0.0311437097327341
"OUD_Effect_Male_vs_Female_results_mlm","mlm","OTX2","OUD_Effect_Male_vs_Female_results",-2.14034960412727,0.0323358034182365
"OUD_Effect_Male_vs_Female_results_mlm","mlm","CDX2","OUD_Effect_Male_vs_Female_results",2.12630670656348,0.0334871268738306
"OUD_Effect_Male_vs_Female_results_mlm","mlm","ZNF639","OUD_Effect_Male_vs_Female_results",-2.10272922216081,0.0354990373812734
"OUD_Effect_Male_vs_Female_results_mlm","mlm","NR2F2","OUD_Effect_Male_vs_Female_results",2.09009199070302,0.0366192309121643
"OUD_Effect_Male_vs_Female_results_mlm","mlm","HNF1A","OUD_Effect_Male_vs_Female_results",2.08725905479528,0.0368744405809678
"OUD_Effect_Male_vs_Female_results_mlm","mlm","ZBTB33","OUD_Effect_Male_vs_Female_results",-2.08392968302512,0.0371763073764546
"OUD_Effect_Male_vs_Female_results_mlm","mlm","GATA3","OUD_Effect_Male_vs_Female_results",2.0626221214212,0.0391584570826727
"OUD_Effect_Male_vs_Female_results_mlm","mlm","KLF4","OUD_Effect_Male_vs_Female_results",-2.06023958581822,0.0393855737259014
"OUD_Effect_Male_vs_Female_results_mlm","mlm","TEAD2","OUD_Effect_Male_vs_Female_results",-2.05519902803343,0.0398697558330611
"OUD_Effect_Male_vs_Female_results_mlm","mlm","USF1","OUD_Effect_Male_vs_Female_results",2.04995037393502,0.0403792854084892
"OUD_Effect_Male_vs_Female_results_mlm","mlm","TCF3","OUD_Effect_Male_vs_Female_results",-2.02103305948558,0.0432865748681637
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","GATA2","OUD_Effect_Putamen_vs_Caudate_results",6.17315830379774,6.79178210891567e-10
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","FOXA1","OUD_Effect_Putamen_vs_Caudate_results",6.02094269323061,1.75702771917661e-09
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","FOS","OUD_Effect_Putamen_vs_Caudate_results",5.98172854176513,2.23634638884608e-09
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","HIF1A","OUD_Effect_Putamen_vs_Caudate_results",5.76090594829616,8.45966480687672e-09
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","SOX2","OUD_Effect_Putamen_vs_Caudate_results",5.54880056717755,2.90406797435923e-08
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","GATA3","OUD_Effect_Putamen_vs_Caudate_results",5.46885457685793,4.57076557719914e-08
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","ETS1","OUD_Effect_Putamen_vs_Caudate_results",5.26609260942604,1.40453314818145e-07
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","CEBPA","OUD_Effect_Putamen_vs_Caudate_results",4.95756228736276,7.18272213314891e-07
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","EPAS1","OUD_Effect_Putamen_vs_Caudate_results",4.81205167907011,1.50217094639038e-06
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","SP1","OUD_Effect_Putamen_vs_Caudate_results",4.05309818401687,5.06891281198033e-05
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","TEAD1","OUD_Effect_Putamen_vs_Caudate_results",3.8801010142624,0.00010466765188561
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","MYB","OUD_Effect_Putamen_vs_Caudate_results",3.81869089752842,0.00013446972003232
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","RELA","OUD_Effect_Putamen_vs_Caudate_results",3.8145152753785,0.000136762438765507
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","FOXP1","OUD_Effect_Putamen_vs_Caudate_results",3.65857453012094,0.000254117565001487
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","TAL1","OUD_Effect_Putamen_vs_Caudate_results",3.64542627508191,0.000267463560048473
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","TEAD4","OUD_Effect_Putamen_vs_Caudate_results",3.64065933093608,0.000272462437238103
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","TCF7L2","OUD_Effect_Putamen_vs_Caudate_results",3.63216045791341,0.000281592725894377
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","NFKB1","OUD_Effect_Putamen_vs_Caudate_results",3.58025530120629,0.000343877154881227
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","STAT1","OUD_Effect_Putamen_vs_Caudate_results",3.54304972186716,0.000396213488411784
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","EGR1","OUD_Effect_Putamen_vs_Caudate_results",3.46954163735618,0.000522182645337938
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","TCF4","OUD_Effect_Putamen_vs_Caudate_results",3.32664629360118,0.00088018329259247
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","ETS2","OUD_Effect_Putamen_vs_Caudate_results",3.26650878547705,0.00109021905293768
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","NFIC","OUD_Effect_Putamen_vs_Caudate_results",3.2394722715098,0.00119899868619944
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","STAT3","OUD_Effect_Putamen_vs_Caudate_results",3.18799998313397,0.0014342829867315
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","SMAD3","OUD_Effect_Putamen_vs_Caudate_results",3.11027147432939,0.00187115345976478
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","CEBPB","OUD_Effect_Putamen_vs_Caudate_results",3.09928025659183,0.00194196189090451
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","E2F1","OUD_Effect_Putamen_vs_Caudate_results",3.09423640287594,0.00197527229994745
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","RUNX1","OUD_Effect_Putamen_vs_Caudate_results",3.05369289159592,0.00226269339323033
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","E2F4","OUD_Effect_Putamen_vs_Caudate_results",3.05276468287618,0.00226970104088737
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","PAX8","OUD_Effect_Putamen_vs_Caudate_results",3.04341183497255,0.00234142956995562
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","ESR1","OUD_Effect_Putamen_vs_Caudate_results",2.99177041911898,0.0027762205635317
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","NR2F2","OUD_Effect_Putamen_vs_Caudate_results",2.97040829430747,0.00297672950549826
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","ERG","OUD_Effect_Putamen_vs_Caudate_results",2.96468741573827,0.00303262519338881
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","ATF2","OUD_Effect_Putamen_vs_Caudate_results",2.80816513162091,0.00498613967749333
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","JUN","OUD_Effect_Putamen_vs_Caudate_results",2.72881000374007,0.00636055716877148
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","KMT2A","OUD_Effect_Putamen_vs_Caudate_results",2.63678642379477,0.00837447184544501
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","AR","OUD_Effect_Putamen_vs_Caudate_results",2.60348092088887,0.00923342583257297
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","TFAP2C","OUD_Effect_Putamen_vs_Caudate_results",2.59317605954164,0.00951467617332917
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","JUNB","OUD_Effect_Putamen_vs_Caudate_results",2.56952073324089,0.0101893911958337
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","SRF","OUD_Effect_Putamen_vs_Caudate_results",2.56718439019355,0.010258288253154
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","NFYA","OUD_Effect_Putamen_vs_Caudate_results",2.56135869152069,0.0104318933313606
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","MYC","OUD_Effect_Putamen_vs_Caudate_results",2.52940049050401,0.0114315517177576
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","PRDM14","OUD_Effect_Putamen_vs_Caudate_results",2.50610670681374,0.0122128691944099
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","ONECUT1","OUD_Effect_Putamen_vs_Caudate_results",2.46860616096502,0.0135703541949074
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","PBX3","OUD_Effect_Putamen_vs_Caudate_results",2.40860643570366,0.0160203920739192
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","XBP1","OUD_Effect_Putamen_vs_Caudate_results",2.38722573466764,0.0169830882061429
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","JUND","OUD_Effect_Putamen_vs_Caudate_results",2.38526806950524,0.0170737214045543
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","SIX2","OUD_Effect_Putamen_vs_Caudate_results",2.37899872299167,0.0173668327971487
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","FOSL2","OUD_Effect_Putamen_vs_Caudate_results",2.37825135088397,0.0174020674730404
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","STAT6","OUD_Effect_Putamen_vs_Caudate_results",2.35901555455076,0.0183307610200833
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","RXRG","OUD_Effect_Putamen_vs_Caudate_results",2.34127908351554,0.0192252258172153
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","ARNT","OUD_Effect_Putamen_vs_Caudate_results",2.33787555254507,0.0194011652451685
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","MEF2A","OUD_Effect_Putamen_vs_Caudate_results",2.32411444845534,0.0201269431244809
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","TFAP2A","OUD_Effect_Putamen_vs_Caudate_results",2.29762075305736,0.0215912000568781
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","USF2","OUD_Effect_Putamen_vs_Caudate_results",2.27838965666333,0.0227113584309184
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","BATF","OUD_Effect_Putamen_vs_Caudate_results",2.27715463921787,0.0227849900172696
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","NR1I2","OUD_Effect_Putamen_vs_Caudate_results",2.27008751039225,0.0232103333908635
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","PDX1","OUD_Effect_Putamen_vs_Caudate_results",2.26226687522296,0.0236890478589454
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","RUNX2","OUD_Effect_Putamen_vs_Caudate_results",2.236657533924,0.0253170838418958
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","TWIST1","OUD_Effect_Putamen_vs_Caudate_results",2.23050272209015,0.0257224929089704
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","AHR","OUD_Effect_Putamen_vs_Caudate_results",2.1983127893063,0.0279355080787597
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","FOXO3","OUD_Effect_Putamen_vs_Caudate_results",2.17249101078378,0.0298275518749592
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","TBX21","OUD_Effect_Putamen_vs_Caudate_results",2.1571657846327,0.0310017837043536
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","ETV4","OUD_Effect_Putamen_vs_Caudate_results",2.14549539638421,0.0319223911631117
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","SOX11","OUD_Effect_Putamen_vs_Caudate_results",2.10486410889752,0.0353126047271943
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","REL","OUD_Effect_Putamen_vs_Caudate_results",2.07509623745168,0.0379873199841335
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","SREBF1","OUD_Effect_Putamen_vs_Caudate_results",2.06855416665977,0.0385976975818876
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","KLF1","OUD_Effect_Putamen_vs_Caudate_results",2.06535515336265,0.0388991884606587
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","CTCF","OUD_Effect_Putamen_vs_Caudate_results",2.0360422703329,0.0417561154562481
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","CEBPE","OUD_Effect_Putamen_vs_Caudate_results",2.03520542933635,0.0418402178945191
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","CEBPD","OUD_Effect_Putamen_vs_Caudate_results",2.02615961578702,0.0427585091824965
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","MEIS1","OUD_Effect_Putamen_vs_Caudate_results",1.97696454189032,0.0480560712384058
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","HNF4A","OUD_Effect_Putamen_vs_Caudate_results",1.97191656296808,0.0486295999925512
"OUD_Effect_Putamen_vs_Caudate_results_ulm","ulm","NEUROD1","OUD_Effect_Putamen_vs_Caudate_results",1.96629849242318,0.0492746471847296
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","RXRG","OUD_Effect_Putamen_vs_Caudate_results",3.46951623641106,0.000522241521861124
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","MYB","OUD_Effect_Putamen_vs_Caudate_results",2.84086735457071,0.00450259958534314
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","NR1I2","OUD_Effect_Putamen_vs_Caudate_results",2.76499577145916,0.00569636647579095
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","RXRB","OUD_Effect_Putamen_vs_Caudate_results",-2.74012472580839,0.00614577862642959
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","HIF1A","OUD_Effect_Putamen_vs_Caudate_results",2.68788170924755,0.0071952662116139
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","KMT2A","OUD_Effect_Putamen_vs_Caudate_results",2.43297626218824,0.0149819805044437
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","FOXO3","OUD_Effect_Putamen_vs_Caudate_results",2.28114351089851,0.0225480088791995
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","FOS","OUD_Effect_Putamen_vs_Caudate_results",2.28044281975189,0.0225894974415346
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","SOX2","OUD_Effect_Putamen_vs_Caudate_results",2.25183153263302,0.0243412335063476
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","EPAS1","OUD_Effect_Putamen_vs_Caudate_results",2.18942406100662,0.0285748928644004
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","CEBPE","OUD_Effect_Putamen_vs_Caudate_results",2.14116998156375,0.0322696053521287
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","PPARG","OUD_Effect_Putamen_vs_Caudate_results",2.08605834658542,0.0369830645817452
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","ETS1","OUD_Effect_Putamen_vs_Caudate_results",2.07907586204951,0.0376201606797255
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","NEUROD1","OUD_Effect_Putamen_vs_Caudate_results",2.03869981513914,0.0414900944775873
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","FOXA1","OUD_Effect_Putamen_vs_Caudate_results",2.02283714948495,0.0431001585652656
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","E2F4","OUD_Effect_Putamen_vs_Caudate_results",2.02121396206714,0.0432678515541456
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","GATA2","OUD_Effect_Putamen_vs_Caudate_results",2.00401565059034,0.045078741732483
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","TP73","OUD_Effect_Putamen_vs_Caudate_results",-2.00152824731512,0.0453458687410588
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","TCF7L2","OUD_Effect_Putamen_vs_Caudate_results",1.99494472130548,0.0460593328934821
"OUD_Effect_Putamen_vs_Caudate_results_mlm","mlm","NR2F2","OUD_Effect_Putamen_vs_Caudate_results",1.98251012747355,0.047432687630016
"OUD_vs_Control_Caudate_results_ulm","ulm","FOXA1","OUD_vs_Control_Caudate_results",-9.05207025927622,1.49215975453468e-19
"OUD_vs_Control_Caudate_results_ulm","ulm","GATA2","OUD_vs_Control_Caudate_results",-8.15565439620791,3.6179863180052e-16
"OUD_vs_Control_Caudate_results_ulm","ulm","GATA3","OUD_vs_Control_Caudate_results",-7.68789088013426,1.54510427097018e-14
"OUD_vs_Control_Caudate_results_ulm","ulm","SOX2","OUD_vs_Control_Caudate_results",-7.31370283775234,2.66899617310368e-13
"OUD_vs_Control_Caudate_results_ulm","ulm","TAL1","OUD_vs_Control_Caudate_results",-5.9119981255284,3.41925540760043e-09
"OUD_vs_Control_Caudate_results_ulm","ulm","STAT3","OUD_vs_Control_Caudate_results",5.86162619312051,4.63527346918367e-09
"OUD_vs_Control_Caudate_results_ulm","ulm","PRDM14","OUD_vs_Control_Caudate_results",-5.11838653702373,3.10211420931502e-07
"OUD_vs_Control_Caudate_results_ulm","ulm","LYL1","OUD_vs_Control_Caudate_results",-4.94809863884507,7.53795026756359e-07
"OUD_vs_Control_Caudate_results_ulm","ulm","RUNX1","OUD_vs_Control_Caudate_results",-4.82932145658301,1.37727406509168e-06
"OUD_vs_Control_Caudate_results_ulm","ulm","FOXA2","OUD_vs_Control_Caudate_results",-4.82845600597639,1.38326705930812e-06
"OUD_vs_Control_Caudate_results_ulm","ulm","TFAP2C","OUD_vs_Control_Caudate_results",-4.6377386359832,3.53844253056024e-06
"OUD_vs_Control_Caudate_results_ulm","ulm","SPI1","OUD_vs_Control_Caudate_results",-4.47124909355227,7.80715351032763e-06
"OUD_vs_Control_Caudate_results_ulm","ulm","NFKB1","OUD_vs_Control_Caudate_results",4.02254148455107,5.77256437428066e-05
"OUD_vs_Control_Caudate_results_ulm","ulm","ONECUT1","OUD_vs_Control_Caudate_results",-4.00252268732479,6.28331571248659e-05
"OUD_vs_Control_Caudate_results_ulm","ulm","FOS","OUD_vs_Control_Caudate_results",-3.97400177164248,7.08533953940814e-05
"OUD_vs_Control_Caudate_results_ulm","ulm","TEAD1","OUD_vs_Control_Caudate_results",-3.96187295772282,7.45496175473224e-05
"OUD_vs_Control_Caudate_results_ulm","ulm","MITF","OUD_vs_Control_Caudate_results",-3.82405227408303,0.000131562544183013
"OUD_vs_Control_Caudate_results_ulm","ulm","KMT2A","OUD_vs_Control_Caudate_results",-3.81892847816423,0.000134323635166721
"OUD_vs_Control_Caudate_results_ulm","ulm","FOXP1","OUD_vs_Control_Caudate_results",-3.77791356454534,0.000158477436922997
"OUD_vs_Control_Caudate_results_ulm","ulm","CTCF","OUD_vs_Control_Caudate_results",-3.73734912537182,0.000186342874963631
"OUD_vs_Control_Caudate_results_ulm","ulm","MYB","OUD_vs_Control_Caudate_results",-3.73513434982705,0.000187989715311884
"OUD_vs_Control_Caudate_results_ulm","ulm","REL","OUD_vs_Control_Caudate_results",3.69327167128564,0.000221811120189473
"OUD_vs_Control_Caudate_results_ulm","ulm","ATF4","OUD_vs_Control_Caudate_results",3.51417297636368,0.000441826530299151
"OUD_vs_Control_Caudate_results_ulm","ulm","TCF7","OUD_vs_Control_Caudate_results",-3.46884271639821,0.000523496822091397
"OUD_vs_Control_Caudate_results_ulm","ulm","MEIS1","OUD_vs_Control_Caudate_results",-3.38600800140457,0.000710154591357757
"OUD_vs_Control_Caudate_results_ulm","ulm","RELA","OUD_vs_Control_Caudate_results",3.37801348876167,0.000731116573109954
"OUD_vs_Control_Caudate_results_ulm","ulm","POU5F1","OUD_vs_Control_Caudate_results",-3.37251147960791,0.00074587545476871
"OUD_vs_Control_Caudate_results_ulm","ulm","SIX2","OUD_vs_Control_Caudate_results",-3.33132809535621,0.000865452671567688
"OUD_vs_Control_Caudate_results_ulm","ulm","CEBPB","OUD_vs_Control_Caudate_results",3.31221485535855,0.00092678470650198
"OUD_vs_Control_Caudate_results_ulm","ulm","HIF1A","OUD_vs_Control_Caudate_results",3.2986949523806,0.000972574180003071
"OUD_vs_Control_Caudate_results_ulm","ulm","RUNX3","OUD_vs_Control_Caudate_results",-3.26050075635686,0.00111349479596785
"OUD_vs_Control_Caudate_results_ulm","ulm","TWIST1","OUD_vs_Control_Caudate_results",-3.08230644989885,0.00205604201643575
"OUD_vs_Control_Caudate_results_ulm","ulm","TCF4","OUD_vs_Control_Caudate_results",-3.06975880010507,0.00214438177846562
"OUD_vs_Control_Caudate_results_ulm","ulm","HOXB13","OUD_vs_Control_Caudate_results",-3.06410806077982,0.00218529030708138
"OUD_vs_Control_Caudate_results_ulm","ulm","SMAD1","OUD_vs_Control_Caudate_results",3.05705209156973,0.00223737606548361
"OUD_vs_Control_Caudate_results_ulm","ulm","ESR1","OUD_vs_Control_Caudate_results",-2.99027568153256,0.00278969825817917
"OUD_vs_Control_Caudate_results_ulm","ulm","TCF7L2","OUD_vs_Control_Caudate_results",-2.98676835148922,0.00282189092865831
"OUD_vs_Control_Caudate_results_ulm","ulm","CEBPA","OUD_vs_Control_Caudate_results",-2.98147808004041,0.0028710907961798
"OUD_vs_Control_Caudate_results_ulm","ulm","POU4F2","OUD_vs_Control_Caudate_results",-2.95135060055895,0.0031665168106937
"OUD_vs_Control_Caudate_results_ulm","ulm","RARA","OUD_vs_Control_Caudate_results",2.8887195038741,0.00387112642047786
"OUD_vs_Control_Caudate_results_ulm","ulm","KLF4","OUD_vs_Control_Caudate_results",2.78021881081508,0.00543588058264521
"OUD_vs_Control_Caudate_results_ulm","ulm","ZNF263","OUD_vs_Control_Caudate_results",-2.74479813605394,0.00605870024238023
"OUD_vs_Control_Caudate_results_ulm","ulm","TEAD4","OUD_vs_Control_Caudate_results",-2.73215408237342,0.00629614390678564
"OUD_vs_Control_Caudate_results_ulm","ulm","PRDM1","OUD_vs_Control_Caudate_results",-2.6849981551465,0.00725732333901283
"OUD_vs_Control_Caudate_results_ulm","ulm","SPIB","OUD_vs_Control_Caudate_results",-2.64100078912017,0.00827077506527637
"OUD_vs_Control_Caudate_results_ulm","ulm","FOXL2","OUD_vs_Control_Caudate_results",2.59963647273767,0.0093371892531735
"OUD_vs_Control_Caudate_results_ulm","ulm","BCL11A","OUD_vs_Control_Caudate_results",-2.54877461310641,0.0108155408503448
"OUD_vs_Control_Caudate_results_ulm","ulm","HNF4A","OUD_vs_Control_Caudate_results",-2.5340479821965,0.0112807722895064
"OUD_vs_Control_Caudate_results_ulm","ulm","ETS1","OUD_vs_Control_Caudate_results",-2.43963515495364,0.0147083096452676
"OUD_vs_Control_Caudate_results_ulm","ulm","RFX1","OUD_vs_Control_Caudate_results",-2.35956289837287,0.0183033524910587
"OUD_vs_Control_Caudate_results_ulm","ulm","RUNX2","OUD_vs_Control_Caudate_results",-2.35133863868973,0.0187129434077235
"OUD_vs_Control_Caudate_results_ulm","ulm","JUN","OUD_vs_Control_Caudate_results",2.32551468890315,0.0200516140112047
"OUD_vs_Control_Caudate_results_ulm","ulm","PDX1","OUD_vs_Control_Caudate_results",-2.29003068851931,0.022026993073529
"OUD_vs_Control_Caudate_results_ulm","ulm","CEBPD","OUD_vs_Control_Caudate_results",2.28868362544994,0.022105207697658
"OUD_vs_Control_Caudate_results_ulm","ulm","ATF2","OUD_vs_Control_Caudate_results",2.27877555854662,0.0226879597601504
"OUD_vs_Control_Caudate_results_ulm","ulm","TFAP2A","OUD_vs_Control_Caudate_results",2.26444755673096,0.0235542702825796
"OUD_vs_Control_Caudate_results_ulm","ulm","TP73","OUD_vs_Control_Caudate_results",2.24797508910423,0.0245855834968689
"OUD_vs_Control_Caudate_results_ulm","ulm","IKZF1","OUD_vs_Control_Caudate_results",-2.23767159777968,0.0252503689483609
"OUD_vs_Control_Caudate_results_ulm","ulm","FOXO4","OUD_vs_Control_Caudate_results",2.23714062556002,0.0252850450824693
"OUD_vs_Control_Caudate_results_ulm","ulm","SATB1","OUD_vs_Control_Caudate_results",-2.1890488017725,0.0286015809292642
"OUD_vs_Control_Caudate_results_ulm","ulm","PBX3","OUD_vs_Control_Caudate_results",-2.18629942505963,0.0288020161790625
"OUD_vs_Control_Caudate_results_ulm","ulm","E2F1","OUD_vs_Control_Caudate_results",-2.18473945697932,0.0289162779810512
"OUD_vs_Control_Caudate_results_ulm","ulm","ELK1","OUD_vs_Control_Caudate_results",2.16078423528173,0.0307205251388144
"OUD_vs_Control_Caudate_results_ulm","ulm","PGR","OUD_vs_Control_Caudate_results",-2.15958099134,0.030813645585383
"OUD_vs_Control_Caudate_results_ulm","ulm","EOMES","OUD_vs_Control_Caudate_results",-2.12018896022141,0.0339989468597875
"OUD_vs_Control_Caudate_results_ulm","ulm","MEF2C","OUD_vs_Control_Caudate_results",-2.09878537665491,0.0358448226349138
"OUD_vs_Control_Caudate_results_ulm","ulm","FOXJ2","OUD_vs_Control_Caudate_results",-2.07955414829892,0.0375755895112112
"OUD_vs_Control_Caudate_results_ulm","ulm","POU2F2","OUD_vs_Control_Caudate_results",-2.06836145241822,0.0386152735240726
"OUD_vs_Control_Caudate_results_ulm","ulm","MEF2A","OUD_vs_Control_Caudate_results",-2.06128197554872,0.0392854252831295
"OUD_vs_Control_Caudate_results_ulm","ulm","NFIC","OUD_vs_Control_Caudate_results",-2.04684823386433,0.0406823716749237
"OUD_vs_Control_Caudate_results_ulm","ulm","TCF12","OUD_vs_Control_Caudate_results",-2.04433904980764,0.0409294656968133
"OUD_vs_Control_Caudate_results_ulm","ulm","BATF","OUD_vs_Control_Caudate_results",-2.02115646188966,0.0432731372936123
"OUD_vs_Control_Caudate_results_ulm","ulm","NR1I2","OUD_vs_Control_Caudate_results",-2.00652964890738,0.0448094362990843
"OUD_vs_Control_Caudate_results_ulm","ulm","SOX11","OUD_vs_Control_Caudate_results",-2.00328845405078,0.0451560258240704
"OUD_vs_Control_Caudate_results_ulm","ulm","MAFB","OUD_vs_Control_Caudate_results",-1.96193883722564,0.0497795691054505
"OUD_vs_Control_Caudate_results_ulm","ulm","PAX6","OUD_vs_Control_Caudate_results",-1.96096727762797,0.0498928099869408
"OUD_vs_Control_Caudate_results_mlm","mlm","STAT3","OUD_vs_Control_Caudate_results",5.06857040930944,4.0341073709308e-07
"OUD_vs_Control_Caudate_results_mlm","mlm","STAT4","OUD_vs_Control_Caudate_results",-3.97822095370165,6.96106531164293e-05
"OUD_vs_Control_Caudate_results_mlm","mlm","PRDM14","OUD_vs_Control_Caudate_results",-3.2978800432608,0.000975413108540878
"OUD_vs_Control_Caudate_results_mlm","mlm","FOXA2","OUD_vs_Control_Caudate_results",-3.23776647589835,0.00120612134439477
