"analysis","statistic","source","condition","score","p_value"
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NFKB2","OUD_Effect_Male_vs_Female_results",-7.41527159159851,1.25041269884512e-13
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MYC","OUD_Effect_Male_vs_Female_results",-7.29361860040077,3.10269989954489e-13
"OUD_Effect_Male_vs_Female_results_ulm","ulm","SP1","OUD_Effect_Male_vs_Female_results",-7.04569762890785,1.8908188287551e-12
"OUD_Effect_Male_vs_Female_results_ulm","ulm","FOSL2","OUD_Effect_Male_vs_Female_results",-7.04213745683406,1.93968615770721e-12
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ATF4","OUD_Effect_Male_vs_Female_results",-6.97308651559525,3.17394679128774e-12
"OUD_Effect_Male_vs_Female_results_ulm","ulm","JUN","OUD_Effect_Male_vs_Female_results",-6.97184551832326,3.20202584968011e-12
"OUD_Effect_Male_vs_Female_results_ulm","ulm","FOXP1","OUD_Effect_Male_vs_Female_results",-6.58864603348979,4.52242735843527e-11
"OUD_Effect_Male_vs_Female_results_ulm","ulm","HNF4A","OUD_Effect_Male_vs_Female_results",-6.51947589304832,7.18322831564205e-11
"OUD_Effect_Male_vs_Female_results_ulm","ulm","BHLHE40","OUD_Effect_Male_vs_Female_results",-6.26819779103009,3.70921402931021e-10
"OUD_Effect_Male_vs_Female_results_ulm","ulm","VDR","OUD_Effect_Male_vs_Female_results",-5.99686070213604,2.03793565685656e-09
"OUD_Effect_Male_vs_Female_results_ulm","ulm","SRF","OUD_Effect_Male_vs_Female_results",-5.94782338074973,2.75165156899798e-09
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TAL1","OUD_Effect_Male_vs_Female_results",-5.88351122896883,4.06516558915876e-09
"OUD_Effect_Male_vs_Female_results_ulm","ulm","EPAS1","OUD_Effect_Male_vs_Female_results",-5.85641787850281,4.78581924224101e-09
"OUD_Effect_Male_vs_Female_results_ulm","ulm","HSF1","OUD_Effect_Male_vs_Female_results",-5.76458489231468,8.27742192274351e-09
"OUD_Effect_Male_vs_Female_results_ulm","ulm","RUNX1","OUD_Effect_Male_vs_Female_results",-5.74551997831862,9.26502447259169e-09
"OUD_Effect_Male_vs_Female_results_ulm","ulm","CTCF","OUD_Effect_Male_vs_Female_results",-5.65395197482458,1.58425213889904e-08
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZNF263","OUD_Effect_Male_vs_Female_results",-5.53080101312665,3.2180380091819e-08
"OUD_Effect_Male_vs_Female_results_ulm","ulm","AR","OUD_Effect_Male_vs_Female_results",-5.4531290429994,4.9936637832214e-08
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ELK1","OUD_Effect_Male_vs_Female_results",-5.34526332920788,9.10376661047135e-08
"OUD_Effect_Male_vs_Female_results_ulm","ulm","FOXA1","OUD_Effect_Male_vs_Female_results",-5.24612411220027,1.56535274354022e-07
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TCF3","OUD_Effect_Male_vs_Female_results",-5.14020131114022,2.76408083292988e-07
"OUD_Effect_Male_vs_Female_results_ulm","ulm","CEBPD","OUD_Effect_Male_vs_Female_results",-4.98502895167894,6.23462482873388e-07
"OUD_Effect_Male_vs_Female_results_ulm","ulm","STAT2","OUD_Effect_Male_vs_Female_results",-4.96558253342716,6.89239200801914e-07
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TP53","OUD_Effect_Male_vs_Female_results",-4.94601893306683,7.62135748013702e-07
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ESR1","OUD_Effect_Male_vs_Female_results",-4.93227126850055,8.17746588853365e-07
