gene,logFC,PValue,t_stat,contrast,male_logfc,female_logfc,effect_difference,FDR,significant_nominal,significant_strict,significant,direction
IL1RN,-1.1667436230731023,0.005878336254908427,4.820302225925786,OUD_Effect_Male_vs_Female,1.4529862085009486,2.619729831574051,-1.1667436230731023,1.0,True,False,True,Down
AC074099.1,-1.5410032021359032,0.006074759997589414,4.7881440818814065,OUD_Effect_Male_vs_Female,0.8378568445908521,2.3788600467267553,-1.5410032021359032,1.0,True,False,True,Down
LINC02513,-0.7723484231951292,0.003690295573896524,5.291287684499349,OUD_Effect_Male_vs_Female,1.754965589808318,2.5273140130034473,-0.7723484231951292,1.0,True,False,True,Down
AC108515.1,0.5658492344219219,4.5521486675307984e-05,11.765766367041639,OUD_Effect_Male_vs_Female,1.974385695914596,1.408536461492674,0.5658492344219219,1.0,True,False,True,Up
AL365214.4,1.3819666532361692,0.009091245166371149,4.404626707744861,OUD_Effect_Male_vs_Female,2.6430605994004948,1.2610939461643256,1.3819666532361692,1.0,True,False,True,Up
RPS12,0.5053141668520608,0.006252761022298609,4.760002039742845,OUD_Effect_Male_vs_Female,1.3995306347028338,0.894216467850773,0.5053141668520608,1.0,True,False,True,Up
HGC6.3,1.8447382872329516,0.00957851870478509,4.356382337915273,OUD_Effect_Male_vs_Female,3.8970242706732385,2.052285983440287,1.8447382872329516,1.0,True,False,True,Up
KIF25-AS1,1.5112141365319474,0.004951211342725706,4.990523079649425,OUD_Effect_Male_vs_Female,4.004172234127642,2.492958097595695,1.5112141365319474,1.0,True,False,True,Up
STEAP1,1.4620627352533693,0.002514048322144939,5.702790823342991,OUD_Effect_Male_vs_Female,2.259748705707037,0.7976859704536677,1.4620627352533693,1.0,True,False,True,Up
DLX5,0.6428720750464103,0.001260336758218242,6.502037887717528,OUD_Effect_Male_vs_Female,1.9835354386646273,1.340663363618217,0.6428720750464103,1.0,True,False,True,Up
MUC6,0.7062779431295738,0.0009655647739533484,6.832561044024329,OUD_Effect_Male_vs_Female,2.070920665833824,1.3646427227042504,0.7062779431295738,1.0,True,False,True,Up
AC091564.4,0.5154026189188351,0.00274345460273305,5.607219924650651,OUD_Effect_Male_vs_Female,0.986515915831697,0.47111329691286186,0.5154026189188351,1.0,True,False,True,Up
GOLGA8T,0.6989125160363037,0.006628322387562144,4.703488003022436,OUD_Effect_Male_vs_Female,1.3912251915058418,0.6923126754695381,0.6989125160363037,1.0,True,False,True,Up
AC022809.1,1.040548658827483,0.007958402805468475,4.5290411124410594,OUD_Effect_Male_vs_Female,1.843601274778292,0.8030526159508088,1.040548658827483,1.0,True,False,True,Up
AC009831.1,0.9581027399241476,0.008996144492178606,4.414381732261325,OUD_Effect_Male_vs_Female,1.563287742233322,0.6051850023091744,0.9581027399241476,1.0,True,False,True,Up
AC079052.1,1.100168460703575,0.007060885034912933,4.64271798712688,OUD_Effect_Male_vs_Female,1.7704191762996495,0.6702507155960744,1.100168460703575,1.0,True,False,True,Up
AC063977.6,0.541613465324701,0.003242798888308165,5.427438216391374,OUD_Effect_Male_vs_Female,1.258734926170857,0.7171214608461559,0.541613465324701,1.0,True,False,True,Up
CFHR4,0.7440669704205535,0.0010102171843430843,-6.775554910097824,OUD_Effect_Male_vs_Female,-0.8582928465216154,-1.602359816942169,0.7440669704205535,1.0,True,False,True,Up
