gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
RPL19,1.008491701558979,0.00776973503353422,3.923599714217013,Pooled_OUD_vs_Control,5827.3302001953125,2896.565643310547,4,4,0.7426986331355621,True,False,True,Up
RPL27,0.7141383098575805,0.009684141591725964,3.734583606313086,Pooled_OUD_vs_Control,2789.7169799804688,1700.5252838134766,4,4,0.7426986331355621,True,False,True,Up
RPL38,0.5269760864099431,0.00546463623003631,4.235865740097517,Pooled_OUD_vs_Control,4307.309997558594,2989.3070068359375,4,4,0.7426986331355621,True,False,True,Up
AC064805.1,0.9731825299189216,0.009766474333580303,3.727411369664122,Pooled_OUD_vs_Control,4.371912360191345,2.2269697338342667,4,4,0.7426986331355621,True,False,True,Up
AC022809.1,1.2433616061479946,0.003979201402734237,4.5290411124410594,Pooled_OUD_vs_Control,32.903202056884766,13.897894978523254,4,4,0.7426986331355621,True,False,True,Up
DSG4,-1.042723430322703,0.000974765311375085,-5.987944743923989,Pooled_OUD_vs_Control,1.8342360854148865,3.778733491897583,4,4,0.7426986331355621,True,True,True,Down
AC009831.1,1.0096632502064333,0.004498072246089303,4.414381732261325,Pooled_OUD_vs_Control,59.11170673370361,29.358548164367676,4,4,0.7426986331355621,True,False,True,Up
LINC01477,-1.2283586242386733,0.006166673578194204,-4.127146045718085,Pooled_OUD_vs_Control,3.4161434322595596,8.004033327102661,4,4,0.7426986331355621,True,False,True,Down
AC079052.1,1.172891148336672,0.0035304425174564665,4.64271798712688,Pooled_OUD_vs_Control,45.23417949676514,20.062788724899292,4,4,0.7426986331355621,True,False,True,Up
LINC01924,1.8682229968422015,0.007311516244012083,3.976608665620406,Pooled_OUD_vs_Control,565.2382736206055,154.82475471496582,4,4,0.7426986331355621,True,False,True,Up
RPS15,0.7199431153538941,0.004018261079590701,4.519837851501757,Pooled_OUD_vs_Control,5814.9111328125,3530.3568725585938,4,4,0.7426986331355621,True,False,True,Up
AC008752.2,1.1561590718289658,0.008691753088957479,3.8267761600125003,Pooled_OUD_vs_Control,77.66944599151611,34.85071134567261,4,4,0.7426986331355621,True,False,True,Up
RPL18A,1.1327890716187738,0.008717806249320935,3.824208863027972,Pooled_OUD_vs_Control,3462.6130981445312,1579.0667114257812,4,4,0.7426986331355621,True,False,True,Up
UBA52,0.8019410180815073,0.008095483310504017,3.887994172172126,Pooled_OUD_vs_Control,3055.8104858398438,1752.7424926757812,4,4,0.7426986331355621,True,False,True,Up
LINC01533,0.8784576162387725,0.0036137637605926196,4.620420066124431,Pooled_OUD_vs_Control,18.769486904144287,10.20963716506958,4,4,0.7426986331355621,True,False,True,Up
AC002115.1,1.6912682201091063,0.009374719286358081,3.7621571567483127,Pooled_OUD_vs_Control,8.995567202568054,2.7855187579989433,4,4,0.7426986331355621,True,False,True,Up
LYPD3,0.8590917935494761,0.0042388350314870645,4.469690270500761,Pooled_OUD_vs_Control,16.536145448684692,9.116368770599365,4,4,0.7426986331355621,True,False,True,Up
AC138470.2,1.5759665034875738,0.007103858440819501,4.001866715836145,Pooled_OUD_vs_Control,19.272823810577393,6.464458644390106,4,4,0.7426986331355621,True,False,True,Up
AC063977.6,0.9458078456556861,0.0016213994441540826,5.427438216391374,Pooled_OUD_vs_Control,19.38028573989868,10.061057806015015,4,4,0.7426986331355621,True,False,True,Up
RPL28,0.812542349017838,0.0050731549155049235,4.303532528874751,Pooled_OUD_vs_Control,8693.103515625,4949.658447265625,4,4,0.7426986331355621,True,False,True,Up
RPS5,0.8629947022062223,0.005840325218126741,4.175859709240828,Pooled_OUD_vs_Control,2843.3748779296875,1563.3162078857422,4,4,0.7426986331355621,True,False,True,Up
AL109976.1,0.9877391791490306,0.00635651228374191,4.1001195911532955,Pooled_OUD_vs_Control,15.726694583892822,7.930459141731262,4,4,0.7426986331355621,True,False,True,Up
LINC01427,-2.144477747482108,0.005791029315364134,-4.18348273272252,Pooled_OUD_vs_Control,1.6371921449899673,7.2385533452034,4,4,0.7426986331355621,True,False,True,Down
FAM209B,0.8724532198449096,0.0095680190949181,3.7448153380258367,Pooled_OUD_vs_Control,32.92345380783081,17.98335838317871,4,4,0.7426986331355621,True,False,True,Up
AL031587.4,1.5587886684084469,0.009680798628881332,3.734876250636234,Pooled_OUD_vs_Control,272.84027099609375,92.61180019378662,4,4,0.7426986331355621,True,False,True,Up
RPL36A,0.7258828899221231,0.008398768643991746,3.8562511456452286,Pooled_OUD_vs_Control,1557.663330078125,941.80517578125,4,4,0.7426986331355621,True,False,True,Up
RPL10,0.9946537668921823,0.007633773462715328,3.938956474655586,Pooled_OUD_vs_Control,9632.556762695312,4834.1593017578125,4,4,0.7426986331355621,True,False,True,Up
CFHR4,-1.1917687117631979,0.0005051085921715422,-6.775554910097824,Pooled_OUD_vs_Control,1.572708211839199,3.592578649520874,4,4,0.7426986331355621,True,True,True,Down
CD207,0.8125934283504563,0.00235172600468477,5.042195201928744,Pooled_OUD_vs_Control,1.845118671655655,1.0505320522934198,4,4,0.7426986331355621,True,False,True,Up
AL355597.1,-1.1075012541264735,0.008063930407023828,-3.891372532974689,Pooled_OUD_vs_Control,1.2552638165652752,2.7047436386346817,4,4,0.7426986331355621,True,False,True,Down
AC092112.1,0.9592543652468045,0.0009025973754157091,6.076256719381298,Pooled_OUD_vs_Control,2.6454441249370575,1.3606118708848953,4,4,0.7426986331355621,True,False,True,Up
