gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
PLEKHN1,1.4100173891211283,0.0011590714251918357,29.347229692971506,OUD_vs_Control_Male,3.909409761428833,1.4711388498544693,2,2,0.5505494180549791,True,False,True,Up
PRXL2B,0.9447261104286196,0.004055871864818896,15.654300641699331,OUD_vs_Control_Male,127.364013671875,66.16919326782227,2,2,0.5505494180549791,True,False,True,Up
AL139823.1,0.5178509919474307,0.005526662289975803,13.395612021372498,OUD_vs_Control_Male,1.5693583488464355,1.0960577577352524,2,2,0.5505494180549791,True,False,True,Up
SLC30A2,1.5666786513834814,0.0009402595554189788,32.588899273413396,OUD_vs_Control_Male,25.163387298583984,8.494774103164673,2,2,0.5505494180549791,True,True,True,Up
AL354919.2,0.9796304848098524,0.007295942011780444,11.643209331532224,OUD_vs_Control_Male,5.403580188751221,2.7402074337005615,2,2,0.5505494180549791,True,False,True,Up
CLSPN,1.1158882647308215,0.007559889286468579,11.435863175534267,OUD_vs_Control_Male,127.40176010131836,58.784061431884766,2,2,0.5505494180549791,True,False,True,Up
AL031985.3,0.6986070990424506,0.0014666127524260392,26.083397269146197,OUD_vs_Control_Male,62.25850296020508,38.361623764038086,2,2,0.5505494180549791,True,False,True,Up
ARTN,-0.7423516223858394,0.009350173086320385,-10.268994124754249,OUD_vs_Control_Male,5.600837469100952,9.369643688201904,2,2,0.5505494180549791,True,False,True,Down
TMEM61,2.1933467892428262,0.004242733919788755,15.303533704832672,OUD_vs_Control_Male,9.569392681121826,2.0922867357730865,2,2,0.5505494180549791,True,False,True,Up
AC093425.1,0.7928988868026637,0.009593168857063815,10.136234603845702,OUD_vs_Control_Male,153.21046447753906,88.43050003051758,2,2,0.5505494180549791,True,False,True,Up
L1TD1,1.5882011383327772,0.003204782608186647,17.62198762620379,OUD_vs_Control_Male,59.925357818603516,19.930328369140625,2,2,0.5505494180549791,True,False,True,Up
AL355981.1,1.4748558645851622,0.006780445881545163,12.082409823542752,OUD_vs_Control_Male,8.521807432174683,3.065885007381439,2,2,0.5505494180549791,True,False,True,Up
AL121989.1,1.5860601075684555,0.005603079689621354,13.303183185446214,OUD_vs_Control_Male,88.07878875732422,29.337267875671387,2,2,0.5505494180549791,True,False,True,Up
HFM1,2.0413791465433055,0.008211479257545548,10.96735149610966,OUD_vs_Control_Male,4963.05126953125,1205.6809692382812,2,2,0.5505494180549791,True,False,True,Up
LINC01760,2.590342573523126,0.0056929518946382904,13.196864168829402,OUD_vs_Control_Male,10.302634716033936,1.7107143104076385,2,2,0.5505494180549791,True,False,True,Up
SLC6A17,2.310717561931566,0.004779963630346034,14.412071695893939,OUD_vs_Control_Male,151.9146499633789,30.61994171142578,2,2,0.5505494180549791,True,False,True,Up
AL390195.2,0.6749408090489057,0.004663952594136518,14.591490030206945,OUD_vs_Control_Male,189.11365509033203,118.45283508300781,2,2,0.5505494180549791,True,False,True,Up
PTPN22,0.6764395656834828,0.0012243861509105077,28.552339733626155,OUD_vs_Control_Male,360.6254425048828,225.64606475830078,2,2,0.5505494180549791,True,False,True,Up
AL445231.1,1.4679434288799744,0.006715104952973289,12.141650815400332,OUD_vs_Control_Male,81.24479293823242,29.36976909637451,2,2,0.5505494180549791,True,False,True,Up
S100A13,1.0192601980021851,0.0031816665579209426,17.686194853932758,OUD_vs_Control_Male,1083.41796875,534.525146484375,2,2,0.5505494180549791,True,False,True,Up
LINC01133,1.4046516950433627,0.002514829621344736,19.90331333767754,OUD_vs_Control_Male,89.17370986938477,33.68174171447754,2,2,0.5505494180549791,True,False,True,Up
CASQ1,0.803525210836602,0.005580841186666478,13.329885841146357,OUD_vs_Control_Male,21.12443447113037,12.103191375732422,2,2,0.5505494180549791,True,False,True,Up
AL592435.2,2.8350650649657116,0.008081779340770097,11.05609137508041,OUD_vs_Control_Male,15.701653480529785,2.200420916080475,2,2,0.5505494180549791,True,False,True,Up
LINC02816,-0.7520816933534072,0.008987857047446781,-10.476806944463501,OUD_vs_Control_Male,1.079932063817978,1.8188445568084717,2,2,0.5505494180549791,True,False,True,Down
RGS8,1.307809214116553,0.005391066467721885,13.564416936555856,OUD_vs_Control_Male,149.62053680419922,60.43679237365723,2,2,0.5505494180549791,True,False,True,Up
AL136456.1,0.6428017634152351,0.008495590552120616,10.780085986600415,OUD_vs_Control_Male,466.31495666503906,298.65977478027344,2,2,0.5505494180549791,True,False,True,Up
AL365258.1,1.427324679353335,0.00026607713339542376,61.29281154073004,OUD_vs_Control_Male,11.598144054412842,4.312419056892395,2,2,0.4512520361756722,True,True,True,Up
FMOD,-0.5836679699317897,0.004703836494850486,-14.529060609393646,OUD_vs_Control_Male,5.412301301956177,8.111170530319214,2,2,0.5505494180549791,True,False,True,Down
RAB7B,1.5444059016534362,0.007666522178519576,11.355138258569452,OUD_vs_Control_Male,577.9559326171875,198.14459228515625,2,2,0.5505494180549791,True,False,True,Up
CAMK1G,1.8386182170574403,0.0022700655609611538,20.9527201043376,OUD_vs_Control_Male,124.76129531860352,34.881940841674805,2,2,0.5505494180549791,True,False,True,Up
SYT14,0.9023960084722262,0.008764768220489546,10.611095565107826,OUD_vs_Control_Male,13320.78466796875,7126.586181640625,2,2,0.5505494180549791,True,False,True,Up
OR2B11,1.311384902455203,0.001340557018642851,27.284774286728307,OUD_vs_Control_Male,4.51358699798584,1.8186772167682648,2,2,0.5505494180549791,True,False,True,Up
AC099344.3,1.1364830713689207,0.00663599587017199,12.214538344600578,OUD_vs_Control_Male,46.543880462646484,21.171278953552246,2,2,0.5505494180549791,True,False,True,Up
AC010872.2,-0.6692683448960011,0.007889052984494544,-11.191957236389937,OUD_vs_Control_Male,1.753771960735321,2.7889643907546997,2,2,0.5505494180549791,True,False,True,Down
CRIM1-DT,2.018950406527761,0.0021352853703837885,21.60606424377764,OUD_vs_Control_Male,133.44849395751953,32.9267635345459,2,2,0.5505494180549791,True,False,True,Up
AC006369.2,1.3702363542131273,0.00023275136850942735,65.53571713637052,OUD_vs_Control_Male,3.0064765214920044,1.1629889085888863,2,2,0.4461649590477956,True,True,True,Up
AC011247.1,1.3146157554723112,0.001763818995282914,23.779235490264636,OUD_vs_Control_Male,3.0108362436294556,1.2104541957378387,2,2,0.5505494180549791,True,False,True,Up
AC007132.1,2.8538151128992872,0.009391161655551627,10.246241177201732,OUD_vs_Control_Male,38.97301483154297,5.391133069992065,2,2,0.5505494180549791,True,False,True,Up
BCL11A,1.018994490110983,0.004681526924973827,14.563883224594154,OUD_vs_Control_Male,1219.892578125,601.9683837890625,2,2,0.5505494180549791,True,False,True,Up
LINC01293,2.1153160517551926,0.009234470267513135,10.334032818301356,OUD_vs_Control_Male,23.665203094482422,5.461810827255249,2,2,0.5505494180549791,True,False,True,Up
AC068616.2,0.962067330323392,0.008926055256529324,10.513506231374175,OUD_vs_Control_Male,69.32973861694336,35.58839797973633,2,2,0.5505494180549791,True,False,True,Up
REEP1,1.4250885545890535,0.004144907751536984,15.484215550901238,OUD_vs_Control_Male,2436.313720703125,907.2747192382812,2,2,0.5505494180549791,True,False,True,Up
ITPRIPL1,1.23344429480329,0.006027669132890022,12.821977975366947,OUD_vs_Control_Male,76.5229377746582,32.54527187347412,2,2,0.5505494180549791,True,False,True,Up
AC079753.2,1.8196111934640866,0.007475198769524391,11.501199188030002,OUD_vs_Control_Male,46.48054313659668,13.167812824249268,2,2,0.5505494180549791,True,False,True,Up
