gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
LINC02071,1.2568502114819726,1.4309341152851062e-05,264.3537771830642,OUD_vs_Control_Male,36.448490142822266,15.252110004425049,2,2,0.35843271331608106,True,True,True,Up
LINC01857,-1.5130029740841033,3.205457541790501e-05,-176.62189683782105,OUD_vs_Control_Male,2.3674148321151733,6.7566845417022705,2,2,0.35843271331608106,True,True,True,Down
TMEM272,0.42785351007194194,4.1221478242070644e-05,155.7488296874187,OUD_vs_Control_Male,293.36570739746094,218.07837677001953,2,2,0.35843271331608106,False,False,False,Up
GRIN1,1.3688412176186242,4.69659925071027e-05,145.9126515269235,OUD_vs_Control_Male,367.0757598876953,142.13251495361328,2,2,0.35843271331608106,True,True,True,Up
LINC02513,1.754965589808318,7.919938446383254e-05,112.36040573594173,OUD_vs_Control_Male,49.72122573852539,14.731417655944824,2,2,0.3814594702893909,True,True,True,Up
SRRM4,1.8095891365585428,8.760408298216904e-05,106.83395101860143,OUD_vs_Control_Male,571.6742248535156,163.0827407836914,2,2,0.3814594702893909,True,True,True,Up
AC008080.2,2.163129748977446,9.771863236636778e-05,101.1531657194871,OUD_vs_Control_Male,5.47981858253479,1.2234866693615913,2,2,0.3814594702893909,True,True,True,Up
LINC01565,2.009640701635904,9.99664481382097e-05,100.00928125567721,OUD_vs_Control_Male,6.175692081451416,1.5336402654647827,2,2,0.3814594702893909,True,True,True,Up
AL645937.4,-0.025742358123903342,0.00011247031109018902,-94.28539296536712,OUD_vs_Control_Male,1.0338645353913307,1.0524775963276625,2,2,0.3814867985166889,False,False,False,Down
LINC01592,0.5566721859386149,0.0001403431564878213,84.40315161813193,OUD_vs_Control_Male,74.81494140625,50.864328384399414,2,2,0.3942545939043811,True,False,True,Up
LINC02424,2.0313744295994245,0.00014206441946303902,83.89016765590371,OUD_vs_Control_Male,5.880428314208984,1.438481643795967,2,2,0.3942545939043811,True,True,True,Up
