Module,TF_Count,Target_Count,Module_Activity,Activity_SD,TFs
High_Positive,68,498,0.5972835828943885,0.6005120415477653,"ATF1,ATF3,BACH1,BCL6,BHLHE22,BHLHE40,CREB1,E2F4,E2F6,EHF,ELF5,ETV1,FOXA1,FOXJ2,FOXP1,FOXP2,GATA6,GLI2,HMBOX1,HNF1A,HSF1,IRF1,IRF3,IRF9,KLF13,KLF4,LEF1,MBD1,MEF2B,MEF2C,MITF,MNT,MXI1,MYB,MYC,MYCN,NFIC,NFKB2,NFYA,NR2C2,ONECUT1,OTX2,PAX6,PDX1,POU4F2,PRDM1,RFX1,RUNX2,RUNX3,SIX5,SMAD5,SNAI2,SNAPC4,SOX10,SP2,STAT2,TCF7L2,TFAP2C,TFDP1,TGIF2,USF1,YY1,ZBTB11,ZBTB7A,ZEB2,ZNF24,ZNF263,ZNF274"
High_Negative,68,587,-1.1534505419381178,0.39564919747606603,"AHR,AR,ARID3A,ARNT,ASCL1,BATF,BCL11A,CEBPA,CEBPB,CLOCK,CREM,CTCFL,CUX1,EBF1,ELF1,EPAS1,ESR1,ESRRA,ETS2,FOS,FOXK2,FOXO1,FOXO4,GFI1B,HHEX,IKZF1,IRF2,IRF4,JUNB,KLF1,KLF5,KLF6,KLF9,LYL1,MAFB,MAFF,MAFK,MAZ,MEF2A,NEUROD1,NFATC1,NFE2,NR1H2,NR5A2,NRF1,POU2F1,PPARA,PRDM14,RARA,SMAD3,SMAD4,SOX13,STAT1,STAT3,STAT5B,TBX21,TEAD1,TEAD2,TEAD4,TFAP4,THAP1,THAP11,TP63,ZKSCAN1,ZNF143,ZNF384,ZNF592,ZNF740"
Moderate,137,0,-0.28584804423604254,0.23920863896261244,"ARID2,ARNTL,ATF2,ATF4,ATF6,ATF7,BACH2,CDX2,CEBPD,CEBPG,CREB3,CREB3L1,CTCF,DUX4,E2F1,E2F2,E2F3,E2F5,E2F7,EGR1,ELF3,ELK1,ELK4,EOMES,ERG,ESR2,ETS1,ETV4,FLI1,FOSB,FOSL1,FOSL2,FOXA2,FOXL2,FOXM1,FOXO3,GABPA,GATA1,GATA2,GATA3,GATA4,GRHL2,HBP1,HIF1A,HINFP,HNF1B,HNF4A,HNF4G,HOXA9,HOXB13,JUN,JUND,KDM5B,KLF3,KMT2A,LHX2,MAF,MAFG,MAX,MBD2,MEIS1,MEIS2,MYBL2,MYOD1,NANOG,NCOA1,NCOA2,NCOA3,NFATC2,NFE2L1,NFE2L2,NFKB1,NFYB,NPAS4,NR1H3,NR2F1,NR2F2,NR2F6,NR3C1,NR4A1,NR5A1,PAX5,PAX8,PBX2,PBX3,PGR,PKNOX1,POU2F2,POU5F1,PPARG,PROX1,RBPJ,REL,RELA,RELB,REST,RFX2,RFX5,RUNX1,RXRA,SIX2,SMAD1,SOX11,SOX2,SOX6,SOX9,SP1,SP3,SP4,SPI1,SPIB,SREBF1,SREBF2,SRF,STAT4,STAT5A,STAT6,TAL1,TBP,TCF12,TCF3,TCF4,TCF7,TFAP2A,TP53,TP73,TWIST1,USF2,VDR,WT1,XBP1,ZBED1,ZBTB33,ZEB1,ZFX,ZNF217,ZNF639"
