Node,Degree,Betweenness,Closeness,PageRank
ZNF263,317,0,0.0021413276231263384,6.344412324202859e-4
ZBTB7A,92,164,0.011111111111111112,6.519177385911224e-4
NFKB1,8,8.333333333333332,0.14285714285714285,6.382435619298319e-4
PRDM14,196,0,0.0036231884057971015,6.344412324202858e-4
RELA,6,0,0.16666666666666666,6.344412324202858e-4
MAZ,72,0,0.004424778761061947,6.344412324202858e-4
REL,21,25.5,0.05,6.397588138382756e-4
CEBPB,42,0,0.023809523809523808,6.344412324202858e-4
ETS2,31,15.333333333333334,0.021739130434782608,6.382435619298319e-4
NR2F1,68,0,0.014705882352941176,6.344412324202858e-4
SIX5,25,0,0.04,6.344412324202858e-4
IRF3,74,0,0.013513513513513514,6.344412324202858e-4
FOXL2,23,0,0.043478260869565216,6.344412324202858e-4
MBD2,32,0,0.03125,6.344412324202858e-4
CTCFL,54,0,0.0043859649122807015,6.344412324202858e-4
STAT3,9,8.5,0.16666666666666666,6.453308271996036e-4
STAT1,291,308,0.0028735632183908046,6.494210948524315e-4
RARA,38,0,0.0026666666666666666,6.344412324202858e-4
THAP1,55,0,0.01818181818181818,6.344412324202858e-4
FOXO1,43,0,0.023255813953488372,6.344412324202858e-4
JUN,8,87,0.022727272727272728,6.527301945038949e-4
CEBPD,14,0,0.07142857142857142,6.344412324202858e-4
SPI1,103,109,0.006097560975609756,6.381097701587705e-4
CEBPA,147,0,0.002570694087403599,6.344412324202858e-4
ERG,15,42.333333333333336,0.08333333333333333,6.616447109358336e-4
GATA2,41,40,0.025,6.371926357241494e-4
STAT4,10,0,0.1,6.344412324202858e-4
NPAS4,6,0,0.16666666666666666,6.344412324202858e-4
ETS1,146,160,0.00546448087431694,6.486326810402134e-4
JUND,20,86,0.05263157894736842,7.269113433083377e-4
SMAD3,34,54,0.010101010101010102,6.361424155356084e-4
FOXM1,34,0,0.029411764705882353,6.344412324202858e-4
FOXP2,36,0,0.001455604075691412,6.344412324202858e-4
STAT5B,16,0,0.0625,6.344412324202858e-4
AATK,1,0,NA,6.361424155356084e-4
ABCA7,2,0,NA,6.434299161782738e-4
ABR,2,0,NA,6.422994164000801e-4
ACOT7,2,0,NA,6.51122277967754e-4
ACSF3,1,0,NA,6.361424155356084e-4
ACTRT2,1,0,NA,6.361424155356084e-4
ADCY3,1,0,NA,6.361424155356084e-4
ADGRB1,2,0,NA,6.529947607717722e-4
ADGRD1,1,0,NA,6.361424155356084e-4
ADGRG1,2,0,NA,6.44072930940862e-4
AGAP1,2,0,NA,6.388938188394719e-4
AGAP3,3,0,NA,6.557461640756357e-4
AGPAT2,1,0,NA,6.361424155356084e-4
AGPAT3,4,0,NA,6.543142654607982e-4
AGRN,3,0,NA,6.497893476161529e-4
AHDC1,5,0,NA,6.604712663252699e-4
AHRR,2,0,NA,6.422994164000801e-4
AKT2,1,0,NA,6.361424155356084e-4
ANK1,1,0,NA,6.361424155356084e-4
ANKRD11,1,0,NA,6.361424155356084e-4
ANO7,1,0,NA,6.361424155356084e-4
AP2A2,1,0,NA,6.361424155356084e-4
APBA2,1,0,NA,6.361424155356084e-4
ARAP1,2,0,NA,6.436323467516812e-4
ARHGAP22,1,0,NA,6.361424155356084e-4
ARHGAP23,2,0,NA,6.422994164000801e-4
ARHGEF1,2,0,NA,6.44072930940862e-4
