Node,Degree,Betweenness,Closeness,PageRank
ZNF263,317,0,0.0031545741324921135,0.0010268562450120263
PRDM14,196,0,0.002398081534772182,0.0010268562450120263
CEBPA,147,0,0.006802721088435374,0.0010268562450120263
ZBTB7A,91,214,0.0026455026455026454,0.0010498253978609795
KLF9,68,0,0.014705882352941176,0.0010268562450120263
MNT,60,389.5,0.007142857142857143,0.0010935284855129114
BHLHE40,59,95.5,0.017241379310344827,0.0010367712626584912
FOXK2,52,196,0.006896551724137931,0.0010434544452385618
BATF,49,0,0.02040816326530612,0.0010268562450120263
NFE2,48,0,0.020833333333333332,0.0010268562450120263
