Node,Degree,Betweenness,Closeness,PageRank
RBM19,1,0,NA,6.274929631571269e-4
RET,1,0,NA,6.274929631571269e-4
RGS12,3,0,NA,6.474017131330113e-4
RGS3,1,0,NA,6.274929631571269e-4
RNF220,4,0,NA,6.437976415762566e-4
ROR2,3,0,NA,6.451632954769926e-4
RPH3AL,1,0,NA,6.274929631571269e-4
RPS6KA1,1,0,NA,6.274929631571269e-4
RPS6KA2,2,0,NA,6.302064735401373e-4
RPTOR,3,0,NA,6.442024744630336e-4
RTN4R,1,0,NA,6.274929631571269e-4
RUNX1,4,0,NA,6.462747114944348e-4
RXRA,6,0,NA,6.744596186822026e-4
RYR1,1,0,NA,6.274929631571269e-4
SARDH,1,0,NA,6.274929631571269e-4
SBNO2,2,0,NA,6.293269218987477e-4
SCARB1,3,0,NA,6.345411183210032e-4
SDC3,1,0,NA,6.274929631571269e-4
SDK2,3,0,NA,6.380277681735206e-4
SEC14L1,2,0,NA,6.353142577905101e-4
SEPTIN9,4,0,NA,6.477267789511832e-4
SH3TC1,2,0,NA,6.353142577905101e-4
SKI,4,0,NA,6.514256207640528e-4
SLC12A7,1,0,NA,6.274929631571269e-4
SLC22A23,3,0,NA,6.364108633113947e-4
SLC25A10,2,0,NA,6.355512667187943e-4
SLC38A10,1,0,NA,6.274929631571269e-4
SLC66A1,1,0,NA,6.274929631571269e-4
SLC6A18,1,0,NA,6.274929631571269e-4
SLC6A6,1,0,NA,6.274929631571269e-4
SLC9A1,1,0,NA,6.274929631571269e-4
SMAD3,1,0,NA,6.274929631571269e-4
SMAD7,1,0,NA,6.274929631571269e-4
SMARCD3,1,0,NA,6.274929631571269e-4
SMOC2,1,0,NA,6.274929631571269e-4
SND1,1,0,NA,6.274929631571269e-4
SOGA1,1,0,NA,6.274929631571269e-4
SORCS2,1,0,NA,6.274929631571269e-4
SPEG,2,0,NA,6.373420008436094e-4
SPSB1,1,0,NA,6.274929631571269e-4
SRC,2,0,NA,6.336973529283842e-4
SSBP3,1,0,NA,6.274929631571269e-4
SSPOP,1,0,NA,6.274929631571269e-4
STK32C,2,0,NA,6.348797414219888e-4
STX1A,2,0,NA,6.339789148043227e-4
SYNJ2,3,0,NA,6.431355524238933e-4
SYNPO,2,0,NA,6.336973529283842e-4
TACC2,4,0,NA,6.46086071735188e-4
TACC3,2,0,NA,6.348797414219888e-4
TANGO2,2,0,NA,6.426886213019856e-4
TBCD,3,0,NA,6.47934741375806e-4
TBX1,3,0,NA,6.593088723979249e-4
TCERG1L,1,0,NA,6.274929631571269e-4
TCF3,5,0,NA,6.602449801338774e-4
TESC,1,0,NA,6.274929631571269e-4
TFEB,1,0,NA,6.274929631571269e-4
TLE3,2,0,NA,6.391851146127649e-4
TMEM132B,1,0,NA,6.274929631571269e-4
TMEM201,1,0,NA,6.274929631571269e-4
TNS1,3,0,NA,6.380277681735206e-4
