Module,TF_Count,Target_Count,Module_Activity,Activity_SD,TFs
High_Positive,68,0,1.3791378036857793,0.6256144784846644,"AHR,ARNT,ASCL1,ATF4,BACH2,CEBPG,CLOCK,CREM,CTCFL,CUX1,E2F4,EHF,ELF1,FOXA1,FOXK2,GABPA,HHEX,HNF1A,HOXA9,HOXB13,HSF1,IRF3,KLF1,KLF3,KLF5,MAFB,MAFF,MAFG,MAFK,MAX,MAZ,MEF2A,MEF2C,MEIS1,MEIS2,MITF,MYC,MYOD1,NANOG,NCOA1,NCOA2,NFYB,NPAS4,NR2C2,NR2F1,NR4A1,NRF1,ONECUT1,PBX2,PDX1,POU5F1,PRDM14,SIX2,SIX5,SNAPC4,SP2,SP4,SREBF1,SREBF2,TBP,TCF12,THAP1,ZBTB11,ZBTB33,ZNF143,ZNF384,ZNF592,ZNF740"
High_Negative,68,106,-1.0247021812056172,0.6354739806011345,"ATF1,BATF,BHLHE40,CDX2,CEBPA,CTCF,E2F3,E2F7,ELF3,EOMES,ERG,ESR1,ETS2,ETV4,FLI1,FOS,FOSB,FOXA2,FOXJ2,FOXL2,GATA3,GLI2,HNF4A,HNF4G,IKZF1,IRF1,IRF9,JUN,KDM5B,KLF4,LYL1,MBD2,MYB,MYBL2,NFATC1,NFE2,NFKB1,PAX8,POU2F1,PPARG,RARA,RBPJ,REL,RELB,REST,RUNX2,RUNX3,SOX10,SOX11,SOX13,SP3,SPI1,SPIB,STAT1,STAT2,STAT5A,TBX21,TEAD2,TEAD4,TP63,TP73,USF1,USF2,VDR,ZBED1,ZBTB7A,ZEB2,ZNF639"
Moderate,137,317,0.029998420418327756,0.2714285012677506,"AR,ARID2,ARID3A,ARNTL,ATF2,ATF3,ATF6,ATF7,BACH1,BCL11A,BCL6,BHLHE22,CEBPB,CEBPD,CREB1,CREB3,CREB3L1,DUX4,E2F1,E2F2,E2F5,E2F6,EBF1,EGR1,ELF5,ELK1,ELK4,EPAS1,ESR2,ESRRA,ETS1,ETV1,FOSL1,FOSL2,FOXM1,FOXO1,FOXO3,FOXO4,FOXP1,FOXP2,GATA1,GATA2,GATA4,GATA6,GFI1B,GRHL2,HBP1,HIF1A,HINFP,HMBOX1,HNF1B,IRF2,IRF4,JUNB,JUND,KLF13,KLF6,KLF9,KMT2A,LEF1,LHX2,MAF,MBD1,MEF2B,MNT,MXI1,MYCN,NCOA3,NEUROD1,NFATC2,NFE2L1,NFE2L2,NFIC,NFKB2,NFYA,NR1H2,NR1H3,NR2F2,NR2F6,NR3C1,NR5A1,NR5A2,OTX2,PAX5,PAX6,PBX3,PGR,PKNOX1,POU2F2,POU4F2,PPARA,PRDM1,PROX1,RELA,RFX1,RFX2,RFX5,RUNX1,RXRA,SMAD1,SMAD3,SMAD4,SMAD5,SNAI2,SOX2,SOX6,SOX9,SP1,SRF,STAT3,STAT4,STAT5B,STAT6,TAL1,TCF3,TCF4,TCF7,TCF7L2,TEAD1,TFAP2A,TFAP2C,TFAP4,TFDP1,TGIF2,THAP11,TP53,TWIST1,WT1,XBP1,YY1,ZEB1,ZFX,ZKSCAN1,ZNF217,ZNF24,ZNF263,ZNF274"
