TF,Target,Weight,Contrast
ETS1,ASAP1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,ATP2A3,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,ATP5F1B,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,ATXN2,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,B3GAT3,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,BAX,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,BCL2,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,BID,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,BIRC2,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,BMP4,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CASP8,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CCND1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CD3D,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CD4,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CD5,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CD53,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CD6,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CD8A,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CDC37,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CDH13,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CDK11A,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CDK4,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CDKN1A,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CDKN1B,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CDKN2A,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CHUK,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CIP2A,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,COL1A1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,COPS2,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,COX4I1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CSF2,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CSF3R,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CSNK2A1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CSNK2A2,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CSNK2B,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CTSB,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,CXCR4,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,DAD1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,DNTT,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,DUSP6,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,ECE1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,EGR1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,EGR2,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,EMSY,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,ERG,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,ETS2,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,ETV4,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,F13A1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,FAS,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,FASLG,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,FGFBP1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,FLI1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,FLT1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,FOS,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,FOSL1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,FOXD1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,GABPA,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,GP5,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,GP6,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,GP9,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,GRPR,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,GZMB,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,HMOX1,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,HPGD,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,IER5,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,IL10,1.4167558359553685,Male_OUD_vs_Control_full
ETS1,IL12B,1.4167558359553685,Male_OUD_vs_Control_full
