Node,Degree,Betweenness,Closeness,PageRank
FRMD1,1,0,NA,6.285384254167944e-4
FTCD,1,0,NA,6.285384254167944e-4
GABBR2,1,0,NA,6.285384254167944e-4
GAK,1,0,NA,6.285384254167944e-4
GLI2,3,0,NA,6.474465665284156e-4
GNAO1,1,0,NA,6.285384254167944e-4
GNAZ,1,0,NA,6.285384254167944e-4
GRIN1,1,0,NA,6.285384254167944e-4
GRIP2,1,0,NA,6.285384254167944e-4
GRM4,1,0,NA,6.285384254167944e-4
GSE1,3,0,NA,6.386573423701746e-4
GSN,1,0,NA,6.285384254167944e-4
HDAC4,1,0,NA,6.285384254167944e-4
HDAC5,2,0,NA,6.312569404191952e-4
HK1,1,0,NA,6.285384254167944e-4
HPCAL1,1,0,NA,6.285384254167944e-4
HSPG2,1,0,NA,6.285384254167944e-4
IGF1R,2,0,NA,6.312569404191952e-4
IGSF21,1,0,NA,6.285384254167944e-4
IQSEC1,2,0,NA,6.363741451295964e-4
IQSEC2,1,0,NA,6.285384254167944e-4
ITGB2,2,0,NA,6.32163112086662e-4
ITPK1,1,0,NA,6.285384254167944e-4
ITPKB,2,0,NA,6.312569404191952e-4
ITPR1,1,0,NA,6.285384254167944e-4
KCNAB2,3,0,NA,6.39092660131997e-4
KCNH2,1,0,NA,6.285384254167944e-4
KCNN3,1,0,NA,6.285384254167944e-4
KCNQ1,1,0,NA,6.285384254167944e-4
KCNQ2,1,0,NA,6.285384254167944e-4
KCP,1,0,NA,6.285384254167944e-4
KDM2B,3,0,NA,6.499606415906825e-4
KIAA0513,1,0,NA,6.285384254167944e-4
KIAA1522,2,0,NA,6.346610679081094e-4
KIF1A,1,0,NA,6.285384254167944e-4
KLHL29,1,0,NA,6.285384254167944e-4
KSR1,1,0,NA,6.285384254167944e-4
LAMA5,2,0,NA,6.346610679081094e-4
LAMC3,1,0,NA,6.285384254167944e-4
LDLRAP1,1,0,NA,6.285384254167944e-4
LGR6,1,0,NA,6.285384254167944e-4
LHFPL2,1,0,NA,6.285384254167944e-4
LHX3,1,0,NA,6.285384254167944e-4
LINC00322,1,0,NA,6.285384254167944e-4
LINGO1,4,0,NA,6.407371938988813e-4
LMNA,2,0,NA,6.346610679081094e-4
LPCAT1,1,0,NA,6.285384254167944e-4
LTBP3,2,0,NA,6.346610679081094e-4
LTBP4,1,0,NA,6.285384254167944e-4
MACF1,2,0,NA,6.312569404191952e-4
MAD1L1,4,0,NA,6.427173468018645e-4
MAP2K2,1,0,NA,6.285384254167944e-4
MCF2L,2,0,NA,6.312569404191952e-4
MDGA1,1,0,NA,6.285384254167944e-4
MED15,1,0,NA,6.285384254167944e-4
MEGF11,1,0,NA,6.285384254167944e-4
MEGF6,2,0,NA,6.312569404191952e-4
MGAT3,1,0,NA,6.285384254167944e-4
MICAL3,1,0,NA,6.285384254167944e-4
MICALL2,1,0,NA,6.285384254167944e-4
MKNK2,2,0,NA,6.346610679081094e-4
MLXIPL,1,0,NA,6.285384254167944e-4
MSI2,2,0,NA,6.359388273677741e-4
MTCL1,1,0,NA,6.285384254167944e-4
MYO15B,1,0,NA,6.285384254167944e-4
MYO18A,2,0,NA,6.363741451295964e-4
MYO7A,1,0,NA,6.285384254167944e-4
MYOM3,1,0,NA,6.285384254167944e-4
MYT1L,1,0,NA,6.285384254167944e-4
NACC2,2,0,NA,6.346610679081094e-4
NADK,2,0,NA,6.312569404191952e-4
NCOR2,3,0,NA,6.420614698590888e-4
NCS1,1,0,NA,6.285384254167944e-4
NDST1,1,0,NA,6.285384254167944e-4
NEDD4L,1,0,NA,6.285384254167944e-4
NFASC,1,0,NA,6.285384254167944e-4
NFIC,3,0,NA,6.373795829105099e-4
NFIX,1,0,NA,6.285384254167944e-4
NOL4L,3,0,NA,6.452787546421036e-4
NOTCH1,2,0,NA,6.346610679081094e-4
NRXN2,2,0,NA,6.363741451295964e-4
NTNG2,2,0,NA,6.301829591836788e-4
NTRK1,2,0,NA,6.312569404191952e-4
NUP210,1,0,NA,6.285384254167944e-4
OBSCN,1,0,NA,6.285384254167944e-4
OSBPL5,2,0,NA,6.363741451295964e-4
PACSIN1,1,0,NA,6.285384254167944e-4
PCBP3,1,0,NA,6.285384254167944e-4
PCSK6,3,0,NA,6.339398383737478e-4
PDE2A,1,0,NA,6.285384254167944e-4
PDGFRB,2,0,NA,6.312569404191952e-4
PDXK,4,0,NA,6.454190808474602e-4
PFKL,1,0,NA,6.285384254167944e-4
PFKP,2,0,NA,6.346610679081094e-4
PGBD5,1,0,NA,6.285384254167944e-4
PI4KA,1,0,NA,6.285384254167944e-4
PIEZO1,2,0,NA,6.346610679081094e-4
PIP5K1C,1,0,NA,6.285384254167944e-4
PITPNM2,1,0,NA,6.285384254167944e-4
PITPNM3,1,0,NA,6.285384254167944e-4
PLA2G6,1,0,NA,6.285384254167944e-4
PLCG2,1,0,NA,6.285384254167944e-4
PLCH2,1,0,NA,6.285384254167944e-4
PLEC,2,0,NA,6.346610679081094e-4
PLEKHG5,2,0,NA,6.312569404191952e-4
PLXNA2,3,0,NA,6.39092660131997e-4
PLXND1,2,0,NA,6.363741451295964e-4
PNPLA7,1,0,NA,6.285384254167944e-4
POLE,1,0,NA,6.285384254167944e-4
POR,3,0,NA,6.48484930716084e-4
PPARGC1B,1,0,NA,6.285384254167944e-4
PPIL2,1,0,NA,6.285384254167944e-4
PPM1F,1,0,NA,6.285384254167944e-4
PRDM16,1,0,NA,6.285384254167944e-4
PRKAG2,1,0,NA,6.285384254167944e-4
PRKAR1B,2,0,NA,6.363741451295964e-4
PRKCE,2,0,NA,6.304159311440836e-4
PRKCZ,1,0,NA,6.285384254167944e-4
PRR5,1,0,NA,6.285384254167944e-4
PSD4,1,0,NA,6.285384254167944e-4
PTK7,1,0,NA,6.285384254167944e-4
PTPRF,1,0,NA,6.285384254167944e-4
PTPRU,2,0,NA,6.312569404191952e-4
PVT1,1,0,NA,6.285384254167944e-4
PXN,1,0,NA,6.285384254167944e-4
RAB11FIP3,1,0,NA,6.285384254167944e-4
RADIL,1,0,NA,6.285384254167944e-4
RALGDS,2,0,NA,6.301829591836788e-4
RALGPS1,1,0,NA,6.285384254167944e-4
RAP1GAP,1,0,NA,6.285384254167944e-4
RASGEF1A,1,0,NA,6.285384254167944e-4
RBFOX3,1,0,NA,6.285384254167944e-4
RBM19,1,0,NA,6.285384254167944e-4
RET,1,0,NA,6.285384254167944e-4
RGS12,1,0,NA,6.285384254167944e-4
RGS3,1,0,NA,6.285384254167944e-4
RNF220,4,0,NA,6.447799848614893e-4
ROR2,2,0,NA,6.363741451295964e-4
RPH3AL,1,0,NA,6.285384254167944e-4
RPS6KA1,1,0,NA,6.285384254167944e-4
RPS6KA2,2,0,NA,6.312569404191952e-4
RPTOR,3,0,NA,6.452787546421036e-4
RTN4R,1,0,NA,6.285384254167944e-4
RUNX1,3,0,NA,6.350138196092642e-4
RXRA,2,0,NA,6.346610679081094e-4
RYR1,1,0,NA,6.285384254167944e-4
SARDH,1,0,NA,6.285384254167944e-4
SBNO2,2,0,NA,6.304159311440836e-4
SCARB1,2,0,NA,6.304159311440836e-4
SDC3,1,0,NA,6.285384254167944e-4
SDK2,3,0,NA,6.39092660131997e-4
SEC14L1,1,0,NA,6.285384254167944e-4
SEPTIN9,3,0,NA,6.373795829105099e-4
SH3TC1,1,0,NA,6.285384254167944e-4
SKI,2,0,NA,6.346610679081094e-4
SLC12A7,1,0,NA,6.285384254167944e-4
SLC22A23,3,0,NA,6.373795829105099e-4
SLC25A10,1,0,NA,6.285384254167944e-4
SLC38A10,1,0,NA,6.285384254167944e-4
SLC66A1,1,0,NA,6.285384254167944e-4
SLC6A18,1,0,NA,6.285384254167944e-4
SLC6A6,1,0,NA,6.285384254167944e-4
SLC9A1,2,0,NA,6.32163112086662e-4
SMAD7,2,0,NA,6.44728051526015e-4
SMARCD3,1,0,NA,6.285384254167944e-4
SMOC2,1,0,NA,6.285384254167944e-4
SND1,1,0,NA,6.285384254167944e-4
SOGA1,1,0,NA,6.285384254167944e-4
SORCS2,1,0,NA,6.285384254167944e-4
SPEG,1,0,NA,6.285384254167944e-4
SPSB1,1,0,NA,6.285384254167944e-4
SRC,2,0,NA,6.346610679081094e-4
SSBP3,1,0,NA,6.285384254167944e-4
SSPOP,1,0,NA,6.285384254167944e-4
STK32C,2,0,NA,6.359388273677741e-4
STX1A,1,0,NA,6.285384254167944e-4
SYNJ2,2,0,NA,6.363741451295964e-4
SYNPO,2,0,NA,6.346610679081094e-4
TACC2,3,0,NA,6.39092660131997e-4
TACC3,2,0,NA,6.359388273677741e-4
TANGO2,1,0,NA,6.285384254167944e-4
TBCD,2,0,NA,6.312569404191952e-4
TBX1,1,0,NA,6.285384254167944e-4
TCERG1L,1,0,NA,6.285384254167944e-4
TCF3,2,0,NA,6.359388273677741e-4
TESC,1,0,NA,6.285384254167944e-4
TFEB,1,0,NA,6.285384254167944e-4
TLE3,1,0,NA,6.285384254167944e-4
TMEM132B,1,0,NA,6.285384254167944e-4
TMEM201,1,0,NA,6.285384254167944e-4
TNS1,2,0,NA,6.312569404191952e-4
TNS3,2,0,NA,6.312569404191952e-4
TOP3B,1,0,NA,6.285384254167944e-4
TP73,2,0,NA,6.301829591836788e-4
TRAPPC9,1,0,NA,6.285384254167944e-4
TRIO,2,0,NA,6.312569404191952e-4
TSNARE1,2,0,NA,6.301829591836788e-4
TTC7A,2,0,NA,6.312569404191952e-4
TTYH3,2,0,NA,6.322953046068634e-4
TXNRD2,1,0,NA,6.285384254167944e-4
UBAC1,2,0,NA,6.363741451295964e-4
UNC5A,2,0,NA,6.312569404191952e-4
VAV2,1,0,NA,6.285384254167944e-4
WDR86,1,0,NA,6.285384254167944e-4
WNK2,1,0,NA,6.285384254167944e-4
WNT4,2,0,NA,6.312569404191952e-4
WNT7A,1,0,NA,6.285384254167944e-4
XXYLT1,2,0,NA,6.312569404191952e-4
YEATS2,1,0,NA,6.285384254167944e-4
ZBTB16,1,0,NA,6.285384254167944e-4
ZBTB7C,1,0,NA,6.285384254167944e-4
ZC3H18,1,0,NA,6.285384254167944e-4
ZFYVE28,2,0,NA,6.363741451295964e-4
ZMIZ1,2,0,NA,6.312569404191952e-4
ZNF469,2,0,NA,6.363741451295964e-4
ZNF608,1,0,NA,6.285384254167944e-4
IL6,10,0,NA,0.0010481917720573187
TNF,4,0,NA,8.089132711277742e-4
IL1B,7,0,NA,8.477112491640215e-4
PTGS2,7,0,NA,8.375819391975622e-4
NOS2,3,0,NA,7.333533237375461e-4
ICAM1,6,0,NA,7.674650528007673e-4
VCAM1,1,0,NA,7.034321895644402e-4
PNPLA6,1,0,NA,6.329802195154578e-4
ACAP3,2,0,NA,6.403806214664372e-4
ACTB,1,0,NA,6.329802195154578e-4
ADAM8,1,0,NA,6.329802195154578e-4
AKT1,1,0,NA,6.329802195154578e-4
AP3D1,2,0,NA,6.403806214664372e-4
ARHGAP45,1,0,NA,6.329802195154578e-4
ASPSCR1,1,0,NA,6.329802195154578e-4
BAIAP3,1,0,NA,6.329802195154578e-4
BCAR1,2,0,NA,6.403806214664372e-4
BCL9L,1,0,NA,6.329802195154578e-4
BHLHE40,2,0,NA,6.346247532823421e-4
CDC42BPG,2,0,NA,6.356987345178584e-4
CIC,1,0,NA,6.329802195154578e-4
COMT,2,0,NA,6.366049061853253e-4
DAB2IP,2,0,NA,6.356987345178584e-4
DNMT3A,2,0,NA,6.356987345178584e-4
ECE1,3,0,NA,6.394556137079273e-4
EFNA2,1,0,NA,6.329802195154578e-4
EML2,1,0,NA,6.329802195154578e-4
EPS8L2,1,0,NA,6.329802195154578e-4
FBXL16,1,0,NA,6.329802195154578e-4
FMNL1,1,0,NA,6.329802195154578e-4
GATAD2A,2,0,NA,6.356987345178584e-4
HS6ST1,1,0,NA,6.329802195154578e-4
IGF2BP1,1,0,NA,6.329802195154578e-4
KAZN,3,0,NA,6.435344542306602e-4
KHSRP,1,0,NA,6.329802195154578e-4
KRT8,1,0,NA,6.329802195154578e-4
MARK4,1,0,NA,6.329802195154578e-4
METRNL,1,0,NA,6.329802195154578e-4
MGRN1,2,0,NA,6.542933771342787e-4
MNT,3,0,NA,6.430991364688379e-4
MSLN,1,0,NA,6.329802195154578e-4
MXRA8,1,0,NA,6.329802195154578e-4
NDRG2,1,0,NA,6.329802195154578e-4
NIBAN2,1,0,NA,6.329802195154578e-4
NPAS1,1,0,NA,6.329802195154578e-4
NR2F6,1,0,NA,6.329802195154578e-4
OBSL1,1,0,NA,6.329802195154578e-4
PALM,3,0,NA,6.48216341179239e-4
PCBP1,1,0,NA,6.329802195154578e-4
PCDH1,1,0,NA,6.329802195154578e-4
PDGFB,1,0,NA,6.329802195154578e-4
PIAS4,1,0,NA,6.329802195154578e-4
PLXNB2,2,0,NA,6.403806214664372e-4
PPP1R9B,2,0,NA,6.403806214664372e-4
PTBP1,1,0,NA,6.329802195154578e-4
PTCH1,2,0,NA,6.356987345178584e-4
PWWP2B,1,0,NA,6.329802195154578e-4
RAI1,2,0,NA,6.356987345178584e-4
SIGIRR,1,0,NA,6.329802195154578e-4
SLC19A1,3,0,NA,6.49423502050063e-4
SRCIN1,2,0,NA,6.403806214664372e-4
STAT6,2,0,NA,6.403806214664372e-4
THRA,1,0,NA,6.329802195154578e-4
TLE5,1,0,NA,6.329802195154578e-4
TRIM8,1,0,NA,6.329802195154578e-4
ZBTB7B,2,0,NA,6.356987345178584e-4
ZFPM1,1,0,NA,6.329802195154578e-4
ZNF710,1,0,NA,6.329802195154578e-4
BIRC3,1,0,NA,6.534990240476691e-4
CCL2,3,0,NA,7.44414328803687e-4
CCL5,2,0,NA,6.81542652493486e-4
CD40LG,2,0,NA,6.81542652493486e-4
CRP,2,0,NA,6.661854273922053e-4
CSF2,3,0,NA,6.75123312830474e-4
CSRP1,3,0,NA,6.698101140620729e-4
F3,2,0,NA,6.571237107175366e-4
IER3,4,0,NA,6.923318477100932e-4
IFNG,2,0,NA,6.553765297749581e-4
IL12B,6,0,NA,6.933119085721668e-4
IL2,2,0,NA,6.57255903237738e-4
IL2RA,2,0,NA,6.553765297749581e-4
NFKBIA,1,0,NA,6.534990240476691e-4
SELE,1,0,NA,6.534990240476691e-4
TNFAIP3,4,0,NA,7.212770279648236e-4
AHR,1,0,NA,6.430472031333634e-4
ANKRD1,1,0,NA,6.430472031333634e-4
APOC3,3,0,NA,6.545076095160328e-4
BAMBI,1,0,NA,6.430472031333634e-4
BGLAP,1,0,NA,6.430472031333634e-4
CCND2,4,0,NA,6.600345945716699e-4
CDKN1A,8,0,NA,6.930503967635346e-4
COL1A1,4,0,NA,6.560819900017009e-4
COL3A1,1,0,NA,6.430472031333634e-4
