ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
PID_LIS1_PATHWAY,PID_LIS1_PATHWAY,5/376,28/2388,0.17857142857142858,1.1341185410334347,0.30854462018004597,0.45735596029359515,0.8944563731659687,0.8725201325454752,DAB1/IQGAP1/LRPAP1/PAFAH1B1/DCX,5,9.263392857142858,3.5573859264428433,24.121770592253462
PID_HDAC_CLASSIII_PATHWAY,PID_HDAC_CLASSIII_PATHWAY,4/376,22/2388,0.18181818181818182,1.1547388781431336,0.3151443736309503,0.46441671799598794,0.8944563731659687,0.8725201325454752,KAT2B/HDAC4/CDKN1A/TUBB2A,4,9.431818181818182,3.234389662954322,27.50416724174783
PID_HEDGEHOG_2PATHWAY,PID_HEDGEHOG_2PATHWAY,4/376,22/2388,0.18181818181818182,1.1547388781431336,0.3151443736309503,0.46441671799598794,0.8944563731659687,0.8725201325454752,LRPAP1/DHH/CDON/HHAT,4,9.431818181818182,3.234389662954322,27.50416724174783
PID_NFKAPPAB_CANONICAL_PATHWAY,PID_NFKAPPAB_CANONICAL_PATHWAY,4/376,22/2388,0.18181818181818182,1.1547388781431336,0.3151443736309503,0.46441671799598794,0.8944563731659687,0.8725201325454752,NOD2/NFKBIA/RELA/TRAF6,4,9.431818181818182,3.234389662954322,27.50416724174783
PID_ARF6_TRAFFICKING_PATHWAY,PID_ARF6_TRAFFICKING_PATHWAY,8/376,47/2388,0.1702127659574468,1.0810321412403803,0.242499965416922,0.46603159971398056,0.8944563731659687,0.8725201325454752,EDNRB/CTNNA1/ASAP2/BIN1/ITGA4/TSHR/CPE/ITGA2,8,8.829787234042552,4.143714690271045,18.815277697934608
PID_NFKAPPAB_ATYPICAL_PATHWAY,PID_NFKAPPAB_ATYPICAL_PATHWAY,3/376,16/2388,0.1875,1.1908244680851063,0.33101132541519823,0.4727476922897561,0.8944563731659687,0.8725201325454752,BCL3/NFKBIA/RELA,3,9.7265625,2.8221685535510885,33.52245490346956
PID_ECADHERIN_STABILIZATION_PATHWAY,PID_ECADHERIN_STABILIZATION_PATHWAY,7/376,41/2388,0.17073170731707318,1.084327970939284,0.23540364218230878,0.4729847837160358,0.8944563731659687,0.8725201325454752,CTNNA1/EFNA1/ENAH/NECTIN2/AFDN/KIFC3/GIT1,7,8.85670731707317,3.9477494026543343,19.86986925957259
PID_ERBB1_INTERNALIZATION_PATHWAY,PID_ERBB1_INTERNALIZATION_PATHWAY,7/376,41/2388,0.17073170731707318,1.084327970939284,0.23540364218230878,0.4729847837160358,0.8944563731659687,0.8725201325454752,AMPH/ARHGEF7/PTK2/GRB2/UBE2D1/ZFYVE28/DNM1,7,8.85670731707317,3.9477494026543343,19.86986925957259
PID_P73PATHWAY,PID_P73PATHWAY,13/376,79/2388,0.16455696202531644,1.0451117694586587,0.17623720034178444,0.4788597240655721,0.894742368253399,0.8727991136999266,SERPINA1/FLOT2/CDKN1A/UBE4B/IL4R/BIN1/RNF43/CDK2/RELA/CCNA2/CASP2/IL1RAP/NSG1,13,8.536392405063292,4.706280421801473,15.483564250795125
PID_VEGF_VEGFR_PATHWAY,PID_VEGF_VEGFR_PATHWAY,2/376,10/2388,0.2,1.270212765957447,0.3700889188059083,0.4831430561492117,0.894742368253399,0.8727991136999266,VEGFA/VEGFD,2,10.375,2.2654281493955755,47.514473159839085
