"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Rhod",0.941445087827302,2.66346328592668,6.11118528723101,0.0388086969408926,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"A330049N07Rik",1.18560851022952,-0.770217146033599,6.08247056633317,0.0393047931425922,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Plekhd1",1.08698130759694,-0.242664402405309,6.08344664860522,0.0395091898269564,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Nt5dc1",0.665984114998432,3.25113760492412,6.03708822676014,0.0397237166564413,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Areg",-1.49216999764627,-0.654991608098536,5.94121680332868,0.0398410193584586,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Ptprn2",0.803880563710042,2.82907031009191,6.01554569996703,0.0399967174265212,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Aurka",-0.947481649809274,-0.225087754159508,6.01066752410608,0.0401496770180937,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Alg3",-0.41682957193945,3.13328096590497,5.99688879549568,0.0402331833422556,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Dqx1",-0.877096649683283,0.733136281783393,6.0000927789378,0.0403016712700871,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Tmem238",0.37502252161677,4.13007844148515,5.98976904555284,0.0403225065787789,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"S100a3",-0.898469304544561,0.620948728437513,5.99396785804488,0.0403979886360062,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Nos1ap",0.437029369137192,4.11880989588379,5.98300995050679,0.0404091742791944,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Sytl3",1.42939051976266,1.24716512782317,5.98055302910612,0.040478369666061,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Xpa",0.303778636113976,4.74687515349766,5.96664593121245,0.0406193372287654,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Prkar2b",-0.39640374329718,4.10321436646701,5.95550002228923,0.0407644004115054,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Cep162",0.573940634931673,5.03555442681235,5.93767071151098,0.0409958790252973,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Eif2ak2",0.443282640773681,4.17926237687499,5.93612060179292,0.0410169392222536,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"4732414G09Rik",-0.939260873905967,1.30994165931187,5.92077516975356,0.0412642104496858,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Thap11",-0.329856105933988,4.23440393650725,5.91054558972016,0.0413532334600943,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Fam81a",0.611837938283215,6.17033792360659,5.8885337713449,0.0416447472726633,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Thumpd3",0.730806900603455,5.67297074723811,5.87668013892892,0.0418032918270133,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Gm4258",-0.459276127015444,4.61898261642281,5.87377087728222,0.0418428083519553,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Fyco1",0.45254837548434,4.7561398917512,5.8645232046294,0.0419670100056214,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Nat1",-0.821361914128345,1.69230414123474,5.86476843440054,0.0419849460911892,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Vegfd",0.562638390508078,1.51027992585011,5.86181506274125,0.0420204265346992,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Doc2b",0.723719283136688,2.28026342190358,5.85982260196775,0.0420369567113216,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Fam131c",-1.10523392243407,-0.412674120079177,5.84492444779266,0.0421034892130756,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Larp1b",0.635996238752246,4.85381644007875,5.84302101306249,0.0422579849841959,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"P4ha1",-0.311342613036161,6.2197754226201,5.8427363945642,0.042261516896872,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Vamp8",0.681979445253877,7.33254994358512,5.8413033490039,0.042280993095373,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Prcd",1.11771653380453,5.46425020562225,5.84115176704512,0.0422830944178166,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Tstd2",-0.437777609444283,3.42946169004806,5.82158053081399,0.0425522990561576,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Trim30b",1.00933331006346,-0.871347767380331,5.82961077580571,0.0425572958385767,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Slc25a13",0.802732329358917,2.96369636425695,5.81959544096367,0.0425808267873105,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Trpc4",0.947458280028999,2.36084337475226,5.812494275822,0.0426819478407179,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Igsf9",-0.690510576324376,0.822003423902624,5.80734350932835,0.0428323565783464,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Gp1bb",-0.742381207363109,1.69311491671134,5.79442832042701,0.042945152153616,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Hist1h1c",0.521005158893333,6.08366345649629,5.78946293448004,0.0429936939583549,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Cast",0.447627789120204,4.75184598734945,5.78839792507047,0.0430088422509925,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Hdlbp",0.309443989734725,6.57602908795073,5.77505484743903,0.0431944801519336,0.999893119677228,"Not Significant","Small","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Rftn1",0.745765027057356,1.82053876398523,5.77183555292497,0.0432516079838753,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Tspan33",0.74765215788537,4.97383152005992,5.77058992532541,0.0432572816953994,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Tbc1d9",0.788292837480035,5.84854675148173,5.7642390733473,0.0433460107464125,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Gm5",1.07255404341132,-1.01179671525121,5.72586450356896,0.0436371698857143,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Spdl1",1.05744078861581,-0.251935270591251,5.77024098385028,0.0436434022714986,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Cltrn",1.45716319196147,1.72908966601795,5.73131703069588,0.04383040514323,0.999893119677228,"Not Significant","Large","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Impa2",0.802315334827144,3.19490861993499,5.7202241046262,0.0439723129815461,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
"Tpd52l1",0.665690511412634,5.73312726911998,5.71571004214873,0.0440342500875691,0.999893119677228,"Not Significant","Medium","Not Significant","EPIC","With_vs_Dep","Withdrawal","Dependent",6,3,3,17624,2025-05-29
