"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Egr1",0.372418462076922,9.6824109005777,1.4697065614624,0.25802949557967,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Col23a1",-0.451332720018833,0.891934179247148,1.40333409061916,0.258030420055712,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Fam83e",0.265239964809449,3.07074021277947,1.40293131599151,0.258032436675747,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Gm45250",-0.352099651695024,1.70400238178867,1.40164409780782,0.258249923791265,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Rnf149",-0.196467513081723,3.67807944263548,1.40132078138081,0.258291123757335,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Eri3",0.134913434485615,5.50960303649622,1.40049392773107,0.258423777796821,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Hccs",0.147188699105505,5.12309888643218,1.4003651679162,0.258444749928495,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Zpr1",-0.163700045550534,4.79917955120486,1.39946619171221,0.258589969529761,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Rbfox1",0.153792424336399,5.18040248077967,1.39817900745025,0.258797995526174,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Phldb2",0.14596908688589,5.0923333563147,1.39803074314446,0.258821984256014,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Snx5",-0.119496485460417,6.55175962906631,1.39773474407273,0.258869617466379,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Lrrcc1",-0.168973770160757,6.00738932937386,1.39771531351579,0.258872771454143,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Borcs7",-0.171046792582776,5.92053269337633,1.39727036871271,0.258944778291031,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Plpp3",0.122643652675932,9.35074795137891,1.39719971012521,0.258956193856598,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Frmd5",-0.197698732258156,4.18586244696472,1.39698178032368,0.258991961014236,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Tubgcp2",-0.150496157184055,5.02827839876724,1.39660702435714,0.259052420972238,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Pir",0.238298098383282,2.98143565421891,1.3955511726572,0.259225196388587,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Rusc1",-0.131694047451129,5.25098708548604,1.39506688120537,0.259301923864533,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Tmem121b",-0.241020150314715,2.90957947774824,1.39421660994599,0.259441807568098,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Fmod",-0.785424006920595,0.512541557140035,1.39480617191348,0.259496205430085,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Bach2",-0.138591202610854,5.25201328794739,1.39284162085162,0.259663109609637,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Gpr37",-0.341600858603152,2.79796426992345,1.39118029262128,0.259935534291893,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Timp3",0.139812375279116,8.32357749524076,1.39115025585399,0.259937910249629,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Gm4258",0.162449877041423,6.84159646739344,1.39112271904907,0.2599423957149,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Plek",0.390216379784482,3.8563394606112,1.41769733684851,0.260057183983881,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Spns2",0.198960702313196,3.60239608330273,1.39041792967023,0.260058028114427,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Gm12258",-0.202657448916313,3.56432941642978,1.3901680687018,0.260098714908978,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Apoa2",-0.657631226814584,0.446194927069438,1.39104943178674,0.260116948950092,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Clcn5",0.140884324995966,5.32482150392275,1.38930703758951,0.260238175134808,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Gm49519",-0.336055959716719,1.86667041299753,1.3892160690954,0.260261924443394,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Marf1",0.126658523763337,5.77961994900026,1.38884432359977,0.260313469604485,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Uap1l1",-0.208336557688428,3.93763012430424,1.38787381652791,0.260472365479244,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Gm11149",0.455566968808279,1.1359860188627,1.38811118703034,0.260472831028634,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Nars2",0.216356409016915,3.50768923210246,1.38770561401394,0.260500203108491,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Gm15706",0.24138823059598,3.71444494220699,1.38762097529188,0.260513803609774,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Accs",-0.204052233872126,3.55589798087435,1.38718047992628,0.260585812463302,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Naip2",0.533870105220312,0.947719920964493,1.38741766293149,0.260608831108219,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Pou2f2",0.162885408506362,6.00318930401742,1.38663407902208,0.260674101586385,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Tmem198b",0.194236236290963,4.1822644688209,1.38646600074485,0.260702056093562,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Derl2",0.139650531435115,5.52880138304644,1.38616084213751,0.260751456635305,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Cers4",-0.157229510221879,6.9902346672764,1.38611075793468,0.260759574679477,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Timmdc1",0.189527010218749,3.77591721631518,1.38506143354994,0.260931840511282,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Camk1g",0.305812781056184,2.42580394963257,1.38431049808014,0.261058095804047,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"4933400F21Rik",-0.607498901668167,0.424831622150186,1.38433544891675,0.261216235041572,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Gba",0.214702795534018,3.95518354933074,1.38329506895626,0.261220807256571,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Dtna",0.129745033998619,6.59588147495538,1.38324007485076,0.261229196014918,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Nol12",-0.152332350427478,4.81168563178009,1.3829258027009,0.261280961199497,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Rasgrp2",0.153751638421801,5.65335149955292,1.38289785558815,0.261285311801766,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Tmem171",-0.846967858522415,-0.0567537060880694,1.38264768485297,0.261405769557007,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Sdhaf2",0.153349402864386,5.21514682770019,1.38205881821848,0.261422979942657,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Plcb2",-0.615643766323989,0.545833164927396,1.38246364907252,0.261496083337827,0.999475196090607,"Not Significant","Medium","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"2700049A03Rik",0.179413108798699,4.18277929374445,1.38142528237347,0.261527162723567,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
"Ptges3l",0.251428908350702,2.7776443043209,1.3812058819289,0.261565226199316,0.999475196090607,"Not Significant","Small","Not Significant","OPC","Dep_vs_Naive","Dependent","Naive",6,3,3,15713,2025-05-29
