"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Wdr60",0.341634212669105,4.80309162208692,1.19930331940951,0.292908533652002,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Harbi1",-0.552281319947053,3.69335308808908,1.19823766728713,0.293110260760136,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Tor1b",-0.276422930766081,5.30802950535939,1.19776315907113,0.293195163959193,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Pabpn1",-0.197340572611638,7.33800165151111,1.19755412763309,0.293223311680403,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Gpcpd1",0.218889819705602,6.09441959708643,1.19692926421921,0.293346481642741,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Bub3",-0.248490433947948,5.90529505946695,1.19669923806942,0.293392500944271,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Gm26621",0.563352258145075,4.33721986158433,1.19674956047991,0.293435822345335,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Ociad1",-0.216326474720326,6.41387440146752,1.19625196820181,0.293476570476863,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Mrps21",-0.231979816998363,7.03021547105698,1.19604135770025,0.293516073475148,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Mypop",-0.449496949312176,4.02340513193058,1.19587852314025,0.293622286561587,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Peak1",0.184666111288747,7.05564658865893,1.19335694426626,0.294035789375835,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Gm17396",0.657634879458375,3.27395992055112,1.19350709994807,0.294064543591313,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"1110008P14Rik",-0.325296257990532,4.855007634049,1.19305943097657,0.294123641145161,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Tspan5",-0.403658526903923,4.31499875030106,1.19255329198923,0.294259009987659,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Ccdc124",-0.237821783938577,6.376829892105,1.19171776152418,0.294355347115589,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Hivep3",0.479844323446599,3.97725515061362,1.19178831217624,0.294443816460921,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Psma4",-0.193474016327166,6.82325684890016,1.19110269146968,0.294473823266292,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Usp35",0.619269043292092,3.32744135109035,1.19103293205005,0.294576578171191,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Gm15614",0.463708622202108,3.73680267108271,1.19115306294717,0.294596421616458,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Tub",0.602027608630616,3.41767862627787,1.19105246072185,0.294603364238518,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Cfap298",0.327365046670666,4.79351791882293,1.18973900389259,0.29476160826783,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Nmt2",0.309899923581218,5.02236170125928,1.18948905781953,0.294801744241053,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Txndc5",-0.295749136280361,5.63934827061641,1.18878233727164,0.294930945886077,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Inka2",0.325748929750344,5.63624400259554,1.18856940660139,0.294970906431562,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Ralbp1",0.22203818621493,7.27184690614595,1.18820510829794,0.295036763566953,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Lman1",-0.249873360053688,6.04744155086855,1.18649281993454,0.295373784686259,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"5730480H06Rik",0.535708951436686,3.69569780583118,1.18716435122029,0.295378752556049,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Narf",-0.37594181153107,4.6296649009295,1.18536865160988,0.295635658067452,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Fuca2",-0.682189328069381,3.62287718977964,1.18383997316153,0.295853876589099,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Mrpl50",-0.326553348447893,4.97750753116566,1.18410406523464,0.295861292291684,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Cited2",0.180276743036335,7.86345747873306,1.18390953569673,0.295874905367137,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Kcnj10",-0.499769788115986,4.67683463515441,1.18336128085371,0.296027865495239,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Hsd17b10",-0.257695340045155,6.12264084343519,1.18291221954303,0.296073141122369,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Gper1",-0.24608054478949,7.94278758285169,1.18173621434947,0.296300333211189,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Gadd45gip1",0.300630205653167,5.72630229281428,1.18147402322405,0.296356500772088,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Amdhd2",0.484262847744399,3.86848071865205,1.18055409592156,0.296652028611099,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Pyroxd1",0.50555128337821,4.00936329272427,1.18036351001454,0.296669826443092,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Zfp36l1",0.164009959377921,9.85262446099857,1.17935630391242,0.296766766013528,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"A530017D24Rik",0.510652617247152,3.86229956759855,1.17983124969286,0.296795207901179,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Ttc9b",0.503508076356434,4.13638855271537,1.17918833049536,0.296882288431947,0.999822942704652,"Not Significant","Medium","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Dusp8",0.257150405938815,6.20752469997431,1.17842573638762,0.296952439010389,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Fam81a",0.248614699458243,6.0549634282576,1.17835497787833,0.296966920346309,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
"Stard3nl",0.262477813805397,5.83817305125471,1.17798634367215,0.297040478522161,0.999822942704652,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",6,3,3,10023,2025-05-29
