"gene","log2FoldChange","baseMean","stat","pvalue","padj","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_samples","group1_samples","group2_samples","genes_tested","analysis_date"
"Megf10",-0.134141296193201,1.22270179467341,0.0635752483468985,0.806502031711491,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Rmdn2",0.0539646741010147,2.78158349438974,0.063510492886592,0.806588779066286,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"C030014I23Rik",-0.0618602471437748,3.10135803163434,0.0634806070844195,0.806632927934187,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Bcas2",0.0282117988881676,6.62055646109935,0.0634365551262243,0.806697867294249,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"0610030E20Rik",0.0389822530979796,4.51627403681568,0.0634153457137813,0.806729568610402,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Slitrk1",0.0999451622790314,2.80034734542267,0.0633834914231566,0.806777754723422,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Prtg",-0.105692836940016,0.74049375959412,0.0634029789346801,0.806779332604831,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Zyg11b",-0.0339087591001987,5.80145033587294,0.063269035378662,0.806947375549663,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Tmem186",-0.0594305587710193,2.55745834769061,0.0632226340339614,0.807017786728551,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Ap4s1",-0.0341944944340211,5.0424635195733,0.0632145559468647,0.807028678822118,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Npr1",-0.0387054575953502,4.51336657128456,0.0631980677903418,0.807053305897743,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Gm42937",0.0902312086693457,1.17987868434952,0.0631923171410072,0.807072972258505,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"2810021J22Rik",-0.0909484138166062,0.768281256384907,0.0631655167123234,0.807130833773079,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Magel2",0.117828410740723,0.108890395749472,0.0631405984029552,0.80722184497705,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Nars",-0.0219143873404155,6.55007332849322,0.063063865620061,0.807253428644916,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Klf7",-0.0284762968699033,8.1452441699012,0.0628295911127817,0.807603553297273,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Kif16b",0.0414507550957747,4.38190369272758,0.0628252786341195,0.807610154946966,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Sos2",0.0253304527749474,6.44182922535199,0.0627975259552231,0.807651533012543,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Asrgl1",-0.0315659348637211,5.50974160926106,0.0626371179819573,0.807891767264876,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Taco1",0.0594701400356738,2.02015566995224,0.0626220923781741,0.80791682403265,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Neu3",-0.0711625116563107,1.53487090276479,0.062540039656004,0.808042889764973,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Zfp81",-0.0378242781905116,3.63453851985144,0.0624403478182029,0.80818715271248,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Pde4dip",0.0503371869868183,4.27980758546433,0.0624394573532875,0.808188336430043,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
"Fancm",-0.0585856399962605,2.34333444188071,0.0623094802814854,0.808385008385363,0.997758760502912,"Not Significant","Small","Not Significant","EC","Dep_vs_Naive","Dependent","Naive",6,3,3,14828,2025-05-29
