"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","14/1217","94/9577",0.148936170212766,1.17203097956258,0.639487313135475,0.304078061408671,0.53142864815441,0.409160102037681,"11652/14268/218772/16412/16150/18035/107986/19225/11798/22030/18709/12579/12028/13557",14
"Metabolism","Carbohydrate metabolism","mmu00051","Fructose and mannose metabolism","6/1217","36/9577",0.166666666666667,1.31155847712955,0.714542547388996,0.304255229867364,0.53142864815441,0.409160102037681,"18641/15275/11676/21991/18639/56421",6
"Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance","5/1217","29/9577",0.172413793103448,1.35678463151333,0.734147208468608,0.305191880797247,0.53142864815441,0.409160102037681,"76408/26357/11684/16150/14287",5
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","16/1217","109/9577",0.146788990825688,1.15513407160034,0.621477678002885,0.307202258903458,0.532281141664408,0.409816457943123,"193740/21808/21937/11652/15481/14998/15511/14999/26399/16451/16412/14960/16150/18035/11798/239081",16
"Environmental Information Processing","Signal transduction","mmu04370","VEGF signaling pathway","9/1217","58/9577",0.155172413793103,1.221106168362,0.644396853343698,0.31373955917085,0.540930274432501,0.41647563986382,"11652/18019/18752/18783/19303/18750/216148/19225/18709",9
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","16/1217","110/9577",0.145454545454545,1.14463285276761,0.582091591107922,0.320550373940239,0.549963876858254,0.423430834513423,"21808/15901/12159/12160/12162/17965/12667/228839/21813/13732/269275/16323/207596/23893/13179/12579",16
"Cellular Processes","Cellular community - eukaryotes","mmu04550","Signaling pathways regulating pluripotency of stem cells","20/1217","140/9577",0.142857142857143,1.12419298039676,0.564778699277937,0.322138130063135,0.549991929376085,0.423452432842941,"57265/11652/15901/12159/14173/22413/22417/16451/14366/22411/269275/16878/22420/21414/19712/11789/16323/93735/14184/18709",20
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","27/1217","193/9577",0.139896373056995,1.10089364401548,0.540234956104608,0.325591204831248,0.553188940247266,0.425913890836993,"56484/11652/57266/18797/14695/11513/19303/11514/20315/19229/19395/57257/56744/20302/20418/216148/55985/224129/12767/18753/216869/20416/16150/18035/18709/14708/24047",27
"Human Diseases","Cancer: specific types","mmu05216","Thyroid cancer","6/1217","37/9577",0.162162162162162,1.27611095072065,0.642014039273144,0.327787967650982,0.55423086317799,0.42671609315358,"12550/21414/18211/107986/16842/12028",6
"Metabolism","Metabolism of cofactors and vitamins","mmu00780","Biotin metabolism","1/1217","3/9577",0.333333333333333,2.62311695425911,1.07274858184635,0.334863835089381,0.563472799429246,0.433831689184623,"71147",1
"Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction","13/1217","89/9577",0.146067415730337,1.14945574400118,0.540448723305458,0.339548695923911,0.568622218054397,0.437796354351656,"98660/54376/56808/12297/12294/12865/84682/54377/12859/21956/12298/11931/12293",13
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway","12/1217","82/9577",0.146341463414634,1.15161232138205,0.52605137264546,0.346514317443052,0.577523862405086,0.444649951205119,"77125/27041/66824/56045/383619/14082/15951/16150/18035/16173/78929/69833",12
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","9/1217","60/9577",0.15,1.1804026294166,0.534813883546878,0.351088417305322,0.58237415192826,0.44838430945454,"193740/15481/66824/15511/12946/15510/18035/16173/20333",9
"Metabolism","Glycan biosynthesis and metabolism","mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","4/1217","24/9577",0.166666666666667,1.31155847712955,0.583054999265606,0.364347431303837,0.59529223866906,0.458330264960239,"56219/233781/58193/14042",4
"Genetic Information Processing","Information processing in viruses","mmu03260","Virion - Human immunodeficiency virus","2/1217","10/9577",0.2,1.57387017255546,0.692723601538012,0.369143385673518,0.59529223866906,0.458330264960239,"12504/12767",2
"Genetic Information Processing","Information processing in viruses","mmu03266","Virion - Herpesvirus","2/1217","10/9577",0.2,1.57387017255546,0.692723601538012,0.369143385673518,0.59529223866906,0.458330264960239,"231805/58235",2
"Metabolism","Metabolism of other amino acids","mmu00450","Selenocompound metabolism","3/1217","17/9577",0.176470588235294,1.38870897578423,0.612004059386186,0.369272747505645,0.59529223866906,0.458330264960239,"229905/23972/21743",3
"Metabolism","Glycan biosynthesis and metabolism","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series","3/1217","17/9577",0.176470588235294,1.38870897578423,0.612004059386186,0.369272747505645,0.59529223866906,0.458330264960239,"17939/14344/20444",3
"Organismal Systems","Endocrine system","mmu04924","Renin secretion","11/1217","76/9577",0.144736842105263,1.13898499329672,0.4641135699135,0.370782022942443,0.59529223866906,0.458330264960239,"19092/18797/11606/60596/18573/224129/18574/18575/12912/16518/13030",11
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","11/1217","76/9577",0.144736842105263,1.13898499329672,0.4641135699135,0.370782022942443,0.59529223866906,0.458330264960239,"21808/11652/13645/16451/21813/16150/107986/21802/18709/12028/13557",11
"Cellular Processes","Cell growth and death","mmu04215","Apoptosis - multiple species","5/1217","32/9577",0.15625,1.22958607230896,0.496325718798383,0.384729640627653,0.613806111937802,0.472584555356624,"21937/14082/18053/11798/12028",5
"Organismal Systems","Sensory system","mmu04742","Taste transduction","13/1217","92/9577",0.141304347826087,1.1119734914794,0.411741540854887,0.385820984646619,0.613806111937802,0.472584555356624,"18797/14695/11514/15551/12496/18573/268934/14816/18574/18575/15561/110886/54393",13
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","30/1217","223/9577",0.134529147982063,1.05865706674134,0.338149157172021,0.397774207121121,0.626770381451042,0.482566068124712,"14972/14281/21937/11652/16476/18019/14964/14695/14173/11601/19106/14102/100504663/26399/16451/18021/14082/21414/106759/16150/18035/16842/19225/74603/22030/12912/18709/14708/12028/13557",30
"Metabolism","Amino acid metabolism","mmu00270","Cysteine and methionine metabolism","8/1217","55/9577",0.145454545454545,1.14463285276761,0.410410466333992,0.399260765428289,0.626770381451042,0.482566068124712,"107272/66902/229905/22117/67870/257635/12116/12035",8
"Metabolism","Amino acid metabolism","mmu00350","Tyrosine metabolism","6/1217","40/9577",0.15,1.1804026294166,0.436215593807409,0.399342271610235,0.626770381451042,0.482566068124712,"11761/213043/17161/109731/71724/12846",6
"Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance","13/1217","93/9577",0.139784946236559,1.10001678726995,0.369788005991397,0.40140394507611,0.627193664181423,0.482891964001336,"14281/11652/16476/11513/11514/19014/20418/216148/224129/20416/18709/12028/13557",13
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","13/1217","94/9577",0.138297872340426,1.0883144810224,0.328289650640635,0.417024148627675,0.648704231198605,0.4994534832687,"18791/22370/19128/12759/12628/12946/11905/14066/21824/12268/12258/74145/12263",13
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","20/1217","148/9577",0.135135135135135,1.06342579226721,0.296686755825859,0.420203379249028,0.650673846803176,0.500969939192821,"12562/18791/12389/14281/21937/11652/16476/12159/14862/18613/16177/26399/12391/21824/20971/11898/15529/16150/22027/18709",20
"Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection","32/1217","241/9577",0.132780082987552,1.04489306061774,0.269303212196749,0.423177322200524,0.650673846803176,0.500969939192821,"14972/12532/14281/21937/11652/16476/18019/18752/12317/14964/14695/56045/19303/18481/14102/19229/26399/18750/12504/18021/14082/12010/245000/99375/12767/16150/18035/14827/22030/18709/14708/12028",32
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","18/1217","133/9577",0.135338345864662,1.06502492879693,0.288112390385616,0.425463330261729,0.650673846803176,0.500969939192821,"12053/58231/56484/21808/11652/20528/13609/13645/12359/74551/20656/21813/14816/68401/93759/16150/18709/12579",18
"Organismal Systems","Endocrine system","mmu04913","Ovarian steroidogenesis","9/1217","64/9577",0.140625,1.10662746507806,0.326538611925237,0.427078919769884,0.650673846803176,0.500969939192821,"18783/11513/11514/13110/13070/224129/19225/217698/13078",9
"Genetic Information Processing","Translation","mmu03013","Nucleocytoplasmic transport","16/1217","118/9577",0.135593220338983,1.06703062546133,0.279528363421041,0.431100524790599,0.650673846803176,0.500969939192821,"320727/56215/56488/445007/71805/70572/16646/18141/74204/66679/73666/21681/19069/76582/16647/75751",16
"Organismal Systems","Digestive system","mmu04973","Carbohydrate digestion and absorption","7/1217","49/9577",0.142857142857143,1.12419298039676,0.332528163900386,0.432412478368644,0.650673846803176,0.500969939192821,"15275/11652/98660/18797/68401/18709/11931",7
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","36/1217","273/9577",0.131868131868132,1.03771659728932,0.241219935205027,0.432446255277943,0.650673846803176,0.500969939192821,"14828/193740/12389/14814/16593/19122/15481/66413/20867/19185/15511/12915/20192/13653/19181/73677/12865/12391/84682/69077/19182/14812/13058/17968/57296/23996/56436/18753/19172/12859/16574/21762/232943/12912/18709/12028",36
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","24/1217","180/9577",0.133333333333333,1.04924678170364,0.254480033146022,0.433289418567036,0.650673846803176,0.500969939192821,"21808/21937/11652/54411/13033/14998/240354/12946/17534/14999/332579/16451/11972/170767/16803/14082/16149/12796/14960/15510/16173/12912/12028/140494",24
"Organismal Systems","Immune system","mmu04611","Platelet activation","17/1217","126/9577",0.134920634920635,1.06173781481916,0.266153305232181,0.435021943291266,0.650673846803176,0.500969939192821,"19092/11652/18797/18783/11513/12825/11514/60596/19395/21390/12843/224129/16412/14724/19419/18709/12842",17
"Metabolism","Lipid metabolism","mmu00061","Fatty acid biosynthesis","3/1217","19/9577",0.157894736842105,1.24252908359642,0.403730288636304,0.441369913746364,0.657359446005223,0.506117347901766,"71147/94180/100705",3
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","14/1217","104/9577",0.134615384615385,1.05933569306618,0.23212565358246,0.452224873149984,0.670672481366501,0.516367384149847,"14281/11652/16476/26399/16451/20302/16803/14082/106759/13038/16150/18035/18709/225471",14
"Metabolism","Glycan biosynthesis and metabolism","mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series","4/1217","27/9577",0.148148148148148,1.16582975744849,0.329212927644357,0.454803410596343,0.671650606365907,0.517120466856157,"14595/20443/72297/14344",4
"Genetic Information Processing","Replication and repair","mmu03420","Nucleotide excision repair","8/1217","58/9577",0.137931034482759,1.08542770521066,0.24897244990469,0.460037551186078,0.676525810567762,0.520874007534879,"19358/72151/19891/99375/67967/107986/20021/69833",8
"Metabolism","Carbohydrate metabolism","mmu00500","Starch and sucrose metabolism","5/1217","35/9577",0.142857142857143,1.12419298039676,0.280831348011317,0.463778088938656,0.679172933592174,0.52291209323187,"15275/110078/14936/68401/103988",5
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","40/1217","308/9577",0.12987012987013,1.02199361854251,0.149688978477971,0.466958171668315,0.680980667016292,0.524303912048634,"11772/16593/18797/66413/19185/14800/20656/19181/100504663/73677/12865/20511/84682/14799/69590/69077/19182/14812/51897/57296/23996/19712/67665/56436/21817/19172/12859/69654/16574/18181/21762/20021/13385/232943/22030/68118/12912/12028/69833/16513",40
"Organismal Systems","Endocrine system","mmu04912","GnRH signaling pathway","12/1217","90/9577",0.133333333333333,1.04924678170364,0.179088986197188,0.47636944412976,0.69182284417185,0.532651573257124,"16476/18797/18783/11513/11514/13653/19229/26399/18750/224129/18753/26407",12
"Human Diseases","Infectious disease: viral","mmu05162","Measles","19/1217","145/9577",0.131034482758621,1.03115631995013,0.144232283449953,0.480428084506462,0.693953443035488,0.534291974186722,"193740/14281/17698/11652/16476/15481/15511/19106/14102/246727/16451/16185/14082/21929/16150/18035/18709/12028/246730",19
"Organismal Systems","Nervous system","mmu04720","Long-term potentiation","9/1217","67/9577",0.134328358208955,1.0570769815671,0.178871998786789,0.483784686001883,0.693953443035488,0.534291974186722,"14814/18797/18752/11514/14800/18750/14799/14812/14816",9
"Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus","9/1217","67/9577",0.134328358208955,1.0570769815671,0.178871998786789,0.483784686001883,0.693953443035488,0.534291974186722,"14972/15893/14998/14964/14999/14102/14417/14960/15510",9
"Genetic Information Processing","Replication and repair","mmu03030","DNA replication","5/1217","36/9577",0.138888888888889,1.09296539760796,0.213211120550577,0.489507582337252,0.696453877309098,0.536217120574824,"72151/14156/19891/67967/68209",5
"Human Diseases","Immune disease","mmu05340","Primary immunodeficiency","5/1217","36/9577",0.138888888888889,1.09296539760796,0.213211120550577,0.489507582337252,0.696453877309098,0.536217120574824,"11634/12504/170767/57916/12518",5
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450","10/1217","76/9577",0.131578947368421,1.03544090299702,0.118348057734458,0.504634201812668,0.711033628192093,0.54744243253286,"74134/76263/13849/109857/14862/12408/71755/54486/15483/13078",10
"Genetic Information Processing","Information processing in viruses","mmu03264","Virion - Flavivirus and Alphavirus","2/1217","13/9577",0.153846153846154,1.2106693635042,0.289992986543631,0.505849638342375,0.711033628192093,0.54744243253286,"74761/22174",2
"Genetic Information Processing","Replication and repair","mmu03450","Non-homologous end-joining","2/1217","13/9577",0.153846153846154,1.2106693635042,0.289992986543631,0.505849638342375,0.711033628192093,0.54744243253286,"19090/14156",2
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","14/1217","108/9577",0.12962962962963,1.02010103776743,0.0801516594059691,0.511762391443051,0.714967044627752,0.550470867442721,"21808/60595/18797/18752/226421/12825/14268/16177/18750/11846/12843/14676/18709/12842",14
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","15/1217","116/9577",0.129310344827586,1.017588473635,0.0727148051270421,0.513248010580111,0.714967044627752,0.550470867442721,"14281/18797/18752/18227/18577/12915/11513/11514/13653/18750/224129/12374/216869/13081/12912",15
"Metabolism","Metabolism of cofactors and vitamins","mmu00670","One carbon pool by folate","5/1217","37/9577",0.135135135135135,1.06342579226721,0.147477848963572,0.514776272131982,0.714967044627752,0.550470867442721,"68133/192166/107747/12116/218865",5
"Organismal Systems","Excretory system","mmu04961","Endocrine and other factor-regulated calcium reabsorption","8/1217","61/9577",0.131147540983607,1.03204601479047,0.0957956853222596,0.519525744464035,0.718711504199257,0.553353819774466,"11772/98660/18797/18752/381290/12307/18750/11931",8
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","10/1217","77/9577",0.12987012987013,1.02199361854251,0.0739289379786478,0.522074156625746,0.719393522909492,0.553878922901744,"14281/16476/66824/107607/12268/16412/106759/12258/12263/225471",10
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","8/1217","62/9577",0.129032258064516,1.01540011132611,0.0464140566358606,0.538863998068741,0.735474781387107,0.566260282812329,"21808/16476/14998/14999/20849/19883/14960/16173",8
"Organismal Systems","Excretory system","mmu04960","Aldosterone-regulated sodium reabsorption","5/1217","38/9577",0.131578947368421,1.03544090299702,0.0835178626872071,0.539508477832347,0.735474781387107,0.566260282812329,"98660/18752/18750/18709/11931",5
"Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis","12/1217","94/9577",0.127659574468085,1.00459798248221,0.0170919881457955,0.540048625189961,0.735474781387107,0.566260282812329,"14972/12389/14998/14964/244431/14999/12391/24051/24052/14960/16651/18125",12
"Metabolism","Metabolism of other amino acids","mmu00440","Phosphonate and phosphinate metabolism","1/1217","6/9577",0.166666666666667,1.31155847712955,0.291253235473756,0.557654434620326,0.756507953942302,0.582454244238284,"212862",1
"Metabolism","Carbohydrate metabolism","mmu00520","Amino sugar and nucleotide sugar metabolism","5/1217","39/9577",0.128205128205128,1.0088911362535,0.0212273181600411,0.56363825133476,0.761673312614541,0.586431182043075,"15275/19703/56174/227620/103988",5
"Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity","15/1217","120/9577",0.125,0.983668857847165,-0.0686854434808602,0.569040790440913,0.76601644867046,0.58977507025455,"15896/14972/18019/18752/14964/14102/19229/18750/57257/20418/216148/20416/16797/21933/18709",15
"Metabolism","Glycan biosynthesis and metabolism","mmu00515","Mannose type O-glycan biosynthesis","3/1217","23/9577",0.130434782608696,1.02643706905791,0.0484304856541867,0.573976296580561,0.766762228256474,0.590349264462128,"14595/16795/108902",3
"Genetic Information Processing","Replication and repair","mmu03430","Mismatch repair","3/1217","23/9577",0.130434782608696,1.02643706905791,0.0484304856541867,0.573976296580561,0.766762228256474,0.590349264462128,"72151/19891/67967",3
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","34/1217","274/9577",0.124087591240876,0.976488793191346,-0.150651309720295,0.587888891224807,0.782361642314382,0.602359640398442,"14828/22433/13488/16593/20617/66413/19185/72002/11540/20192/227059/19181/73677/12865/84682/69077/13489/19182/17161/57296/23996/224129/13162/13163/56436/17762/109731/19172/12859/16574/21762/232943/277468/12028",34
"Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction","21/1217","170/9577",0.123529411764706,0.972096283048963,-0.140053886709153,0.590848346224176,0.783321671130537,0.603098790404263,"231830/17698/16476/60595/12737/17274/74192/104027/22350/18754/98932/76709/12638/18260/12739/16412/64945/105782/11867/17475/18417",21
"Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","16/1217","130/9577",0.123076923076923,0.968535490803363,-0.137809735542317,0.594828114401299,0.784237920372278,0.603804233429483,"18797/18752/18783/11513/11514/18754/13110/16177/26399/18750/224129/18753/11684/18211/18709/241118",16
"Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","15/1217","122/9577",0.122950819672131,0.967543138866064,-0.137654332630389,0.596020819482931,0.784237920372278,0.603804233429483,"14281/11652/16476/18019/240354/18481/12504/57257/18021/18037/19419/16150/18035/16797/18709",15
"Environmental Information Processing","Signal transduction","mmu04371","Apelin signaling pathway","17/1217","139/9577",0.122302158273381,0.962438594728162,-0.17019369404506,0.606268730389577,0.792292001300735,0.6100052701744,"18791/11652/18797/14695/17259/12550/11513/11514/20192/18754/13653/15184/30878/224129/18181/18125/14708",17
"Human Diseases","Cancer: overview","mmu05207","Chemical carcinogenesis - receptor activation","28/1217","228/9577",0.12280701754386,0.966411509463882,-0.19584367489388,0.608106971181555,0.792292001300735,0.6100052701744,"12053/14281/11652/16476/14165/18752/80903/12915/13849/14174/13645/11513/14173/11514/14862/11835/18750/18667/16646/11438/224129/216869/11798/22027/16647/12912/18709/13078",28
"Organismal Systems","Endocrine system","mmu04917","Prolactin signaling pathway","9/1217","74/9577",0.121621621621622,0.957083213040485,-0.14139918771861,0.608932995285422,0.792292001300735,0.6100052701744,"56484/14281/11652/20418/216148/20416/216233/103988/18709",9
"Human Diseases","Immune disease","mmu05310","Asthma","3/1217","25/9577",0.12,0.944322103533279,-0.106350585605483,0.632441062990223,0.819831007579918,0.631208234407396,"14998/14999/14960",3
"Metabolism","Energy metabolism","mmu00910","Nitrogen metabolism","2/1217","17/9577",0.117647058823529,0.925805983856155,-0.116815000143969,0.655472300344134,0.846550941403863,0.651780574434252,"14661/14645",2
"Metabolism","Metabolism of cofactors and vitamins","mmu00740","Riboflavin metabolism","1/1217","8/9577",0.125,0.983668857847165,-0.017630413342819,0.663000407244809,0.850000522108729,0.654436492210029,"54391",1
"Genetic Information Processing","Folding, sorting and degradation","mmu04122","Sulfur relay system","1/1217","8/9577",0.125,0.983668857847165,-0.017630413342819,0.663000407244809,0.850000522108729,0.654436492210029,"22117",1
"Organismal Systems","Excretory system","mmu04962","Vasopressin-regulated water reabsorption","5/1217","44/9577",0.113636363636364,0.894244416224696,-0.268255767293478,0.673581933437866,0.858240050353422,0.660780309445041,"18195/67665/11857/69654/12912",5
"Organismal Systems","Nervous system","mmu04723","Retrograde endocannabinoid signaling","18/1217","153/9577",0.117647058823529,0.925805983856155,-0.352964620530203,0.674331468134832,0.858240050353422,0.660780309445041,"16524/18797/66082/18752/14403/14695/11513/11514/14800/18750/14799/14816/224129/19225/110886/14402/22348/14708",18
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","13/1217","112/9577",0.116071428571429,0.913406796572368,-0.351695431991019,0.679860017436738,0.861452282113945,0.663253486379458,"11652/16476/18019/66824/240354/332579/18021/18753/13654/16150/18035/19225/18709",13
"Organismal Systems","Sensory system","mmu04744","Phototransduction","3/1217","27/9577",0.111111111111111,0.874372318086369,-0.249401902241862,0.685086009564108,0.861452282113945,0.663253486379458,"19739/14919/18588",3
"Metabolism","Lipid metabolism","mmu00120","Primary bile acid biosynthesis","2/1217","18/9577",0.111111111111111,0.874372318086369,-0.203539914182952,0.686700533456545,0.861452282113945,0.663253486379458,"101502/13116",2
"Metabolism","Glycan biosynthesis and metabolism","mmu00511","Other glycan degradation","2/1217","18/9577",0.111111111111111,0.874372318086369,-0.203539914182952,0.686700533456545,0.861452282113945,0.663253486379458,"11593/23956",2
"Environmental Information Processing","Signal transduction","mmu04022","cGMP-PKG signaling pathway","20/1217","172/9577",0.116279069767442,0.915040797997363,-0.428972515069112,0.700041349039964,0.875051686299955,0.673724005091093,"19092/11652/98660/18019/18797/17259/12915/11513/11514/381290/18754/60596/11552/18021/98932/224129/58802/12912/11931/16533",20
"Genetic Information Processing","Information processing in viruses","mmu03250","Viral life cycle - HIV-1","7/1217","63/9577",0.111111111111111,0.874372318086369,-0.381687789296819,0.704832279693671,0.877904974707419,0.675920822631878,"58202/56045/57314/12455/12504/12767/116733",7
"Organismal Systems","Endocrine system","mmu04614","Renin-angiotensin system","4/1217","37/9577",0.108108108108108,0.850740633813765,-0.347058341345999,0.709290074589921,0.879134506784476,0.676867469885191,"17380/50492/11606/16790",4
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00982","Drug metabolism - cytochrome P450","8/1217","72/9577",0.111111111111111,0.874372318086369,-0.408234545752456,0.710843044057162,0.879134506784476,0.676867469885191,"11761/213043/76263/14862/17161/54486/109731/71724",8
"Human Diseases","Substance dependence","mmu05034","Alcoholism","24/1217","207/9577",0.115942028985507,0.912388505829255,-0.486195218507765,0.717367910303376,0.884080171148526,0.680675259591046,"14814/55984/13488/19049/14695/12915/11540/18610/14282/15184/56233/13489/14812/17161/20418/216148/15270/404634/224129/13162/20416/109731/12912/14708",24
"Metabolism","Global and overview maps","mmu01250","Biosynthesis of nucleotide sugars","4/1217","38/9577",0.105263157894737,0.828352722397613,-0.404493467975015,0.729264380090812,0.895587835199243,0.689535295672199,"15275/56174/227620/103988",4
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer","26/1217","226/9577",0.115044247787611,0.905323550585001,-0.549542610812267,0.737797978295192,0.902899623787823,0.695164823126865,"67603/18124/12053/18791/21912/53618/19208/14009/16009/12455/19401/21417/21813/16909/20471/18109/16185/20732/233908/18211/93735/18053/107986/17355/12028/18647",26
"Organismal Systems","Immune system","mmu04664","Fc epsilon RI signaling pathway","7/1217","66/9577",0.106060606060606,0.834628121809716,-0.514345275392375,0.750336886661477,0.915044983733509,0.704515837100085,"11652/18783/26399/18750/57257/16797/18709",7
"Metabolism","Amino acid metabolism","mmu00360","Phenylalanine metabolism","2/1217","21/9577",0.0952380952380952,0.749461986931173,-0.438509922354284,0.766590045826049,0.925064070555345,0.7122297806381,"17161/109731",2
"Metabolism","Glycan biosynthesis and metabolism","mmu00531","Glycosaminoglycan degradation","2/1217","21/9577",0.0952380952380952,0.749461986931173,-0.438509922354284,0.766590045826049,0.925064070555345,0.7122297806381,"15932/109685",2
"Metabolism","Glycan biosynthesis and metabolism","mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","2/1217","21/9577",0.0952380952380952,0.749461986931173,-0.438509922354284,0.766590045826049,0.925064070555345,0.7122297806381,"58250/233781",2
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","19/1217","171/9577",0.111111111111111,0.874372318086369,-0.632433888623849,0.769124698661729,0.925064070555345,0.7122297806381,"11761/213043/14600/11652/13645/12986/16157/17210/16451/20849/16878/16185/18414/16164/16168/237313/71724/216233/18709",19
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria","8/1217","77/9577",0.103896103896104,0.817594894834007,-0.613133108621557,0.778929295861668,0.928934355998095,0.715209609430112,"21808/71683/21826/12946/18613/15529/16633/16173",8
"Cellular Processes","Cell growth and death","mmu04216","Ferroptosis","4/1217","41/9577",0.0975609756097561,0.767741547588031,-0.568610079764275,0.78297969520913,0.928934355998095,0.715209609430112,"19122/13058/14792/68428",4
"Human Diseases","Cancer: specific types","mmu05219","Bladder cancer","4/1217","41/9577",0.0975609756097561,0.767741547588031,-0.568610079764275,0.78297969520913,0.928934355998095,0.715209609430112,"12550/13645/14184/13557",4
"Human Diseases","Immune disease","mmu05330","Allograft rejection","6/1217","60/9577",0.1,0.786935086277732,-0.631643088151699,0.79131296778635,0.928934355998095,0.715209609430112,"14972/14998/14964/14999/14102/14960",6
"Human Diseases","Immune disease","mmu05332","Graft-versus-host disease","6/1217","60/9577",0.1,0.786935086277732,-0.631643088151699,0.79131296778635,0.928934355998095,0.715209609430112,"14972/14998/14964/14999/14102/14960",6
"Genetic Information Processing","Transcription","mmu03020","RNA polymerase","3/1217","32/9577",0.09375,0.737751643385374,-0.566935976522525,0.791565454920245,0.928934355998095,0.715209609430112,"20021/78929/69833",3
"Cellular Processes","Transport and catabolism","mmu04136","Autophagy - other","3/1217","32/9577",0.09375,0.737751643385374,-0.566935976522525,0.791565454920245,0.928934355998095,0.715209609430112,"51897/213948/68118",3
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy","24/1217","217/9577",0.110599078341014,0.870342952565234,-0.737093004072106,0.797635351045771,0.928934355998095,0.715209609430112,"20525/12896/11545/21808/11652/18797/20528/18752/13033/11596/14381/12825/14936/12865/11606/18750/21813/84682/13058/12843/18753/12859/18709/12842",24
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","20/1217","183/9577",0.109289617486339,0.860038345658724,-0.729362706261818,0.797815158730181,0.928934355998095,0.715209609430112,"14972/56484/54354/21808/11652/18019/14964/16009/75660/19744/26399/21813/18021/245000/93759/18709/12579/13557/231724/233020",20
"Genetic Information Processing","Replication and repair","mmu03440","Homologous recombination","4/1217","42/9577",0.0952380952380952,0.749461986931173,-0.620829213125811,0.798883546158362,0.928934355998095,0.715209609430112,"19891/74335/68251/67967",4
"Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia","7/1217","70/9577",0.1,0.786935086277732,-0.68261123294784,0.802894402390896,0.930506757737794,0.716420240543986,"67603/11652/19401/21414/16150/16842/18709",7
"Genetic Information Processing","Replication and repair","mmu03460","Fanconi anemia pathway","5/1217","52/9577",0.0961538461538462,0.756668352190127,-0.671277353447796,0.807665152754822,0.932079486303273,0.717631123289136,"19891/67030/245000/71718/100040608",5
"Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism","9/1217","89/9577",0.101123595505618,0.79577705353928,-0.738493066439136,0.813736140211521,0.932079486303273,0.717631123289136,"18783/109857/12408/19223/13110/54486/19215/11684/19225",9
"Organismal Systems","Digestive system","mmu04975","Fat digestion and absorption","4/1217","43/9577",0.0930232558139535,0.73203263839789,-0.67191258153888,0.813831921507424,0.932079486303273,0.717631123289136,"67916/69060/110460/26457",4
