"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Folding, sorting and degradation","mmu04130","SNARE interactions in vesicular transport","7/1217","33/9577",0.212121212121212,1.66925624361943,1.46932681742478,0.117020253211766,0.298751507955093,0.230016198606026,"22319/53620/67474/22317/71116/53611/20333",7
"Metabolism","Metabolism of cofactors and vitamins","mmu00770","Pantothenate and CoA biosynthesis","5/1217","21/9577",0.238095238095238,1.87365496732793,1.52913470971833,0.118410922422191,0.298751507955093,0.230016198606026,"11669/71743/99586/67618/12035",5
"Organismal Systems","Endocrine system","mmu04927","Cortisol synthesis and secretion","13/1217","72/9577",0.180555555555556,1.42085501689035,1.36759314532279,0.119500603182037,0.298751507955093,0.230016198606026,"18797/12915/11513/18584/11514/218461/77037/239556/11606/13070/224129/15370/12912",13
"Human Diseases","Cancer: specific types","mmu05218","Melanoma","13/1217","72/9577",0.180555555555556,1.42085501689035,1.36759314532279,0.119500603182037,0.298751507955093,0.230016198606026,"11652/14165/80903/14174/12550/13645/14173/54635/107986/14164/18709/12028/13557",13
NA,NA,"mmu04081","Hormone signaling","34/1217","219/9577",0.155251141552511,1.22172570472342,1.2664288632643,0.123650255509121,0.305139736832707,0.234934654523829,"22095/14600/19092/15203/13488/20502/18797/58807/14695/20606/11513/18430/20608/11514/18619/13490/18610/18162/11606/20607/17201/11552/13489/22226/21833/14676/224129/16002/387285/18125/18709/14708/11450/20605",34
"Metabolism","Biosynthesis of other secondary metabolites","mmu00524","Neomycin, kanamycin and gentamicin biosynthesis","2/1217","5/9577",0.4,3.14774034511093,1.83273490705444,0.124176185078927,0.305139736832707,0.234934654523829,"15275/103988",2
"Organismal Systems","Endocrine system","mmu04911","Insulin secretion","15/1217","86/9577",0.174418604651163,1.37256119699604,1.32411308793614,0.124671378191649,0.305139736832707,0.234934654523829,"20525/98660/18797/18752/12915/11513/11514/18750/224129/16514/103988/58802/12912/11931/16533",15
"Metabolism","Carbohydrate metabolism","mmu00030","Pentose phosphate pathway","7/1217","34/9577",0.205882352941176,1.62016047174827,1.38208672984829,0.132116893842508,0.321117450311652,0.247236292570776,"18641/11676/14381/235582/21351/56421/110639",7
"Organismal Systems","Nervous system","mmu04730","Long-term depression","11/1217","60/9577",0.183333333333333,1.44271432484251,1.31245186467926,0.133211733425537,0.321545563440951,0.247565907491379,"14687/19092/18797/18752/18783/14800/18750/60596/14799/14816/18125",11
"Organismal Systems","Digestive system","mmu04976","Bile secretion","17/1217","101/9577",0.168316831683168,1.32454420462589,1.25099691386535,0.136521279522719,0.327277039951723,0.25197871346659,"76408/20525/28250/98660/54403/13849/19879/11513/11514/18671/15357/26357/12638/224129/20517/11931/64008",17
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer","15/1217","88/9577",0.170454545454545,1.34136662433704,1.22740076440451,0.143609031975843,0.341926266609151,0.263257516547196,"14281/21808/11652/16476/13645/11839/21813/13176/21414/11789/107986/16842/21802/18709/12028",15
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","33/1217","216/9577",0.152777777777778,1.20226193736876,1.14713395463497,0.148528578046964,0.350346850169575,0.269740732762139,"12363/56338/16476/18797/66824/59079/22051/106025/246727/332579/16451/383619/107607/320795/13058/14082/21929/12374/18753/12796/14469/106759/15951/270151/16150/18035/11798/16173/22030/74006/13030/246730/67955",33
"Human Diseases","Cancer: specific types","mmu05214","Glioma","13/1217","75/9577",0.173333333333333,1.36402081621474,1.20749003918764,0.15064831502825,0.350346850169575,0.269740732762139,"11652/18752/13645/18750/52163/20418/216148/20416/107986/21802/18709/12028/13557",13
"Metabolism","Glycan biosynthesis and metabolism","mmu00510","N-Glycan biosynthesis","10/1217","55/9577",0.181818181818182,1.43079106595951,1.22241357264132,0.15353486275519,0.350346850169575,0.269740732762139,"14595/227619/53618/223774/208624/17158/56737/269181/67569/20440",10
"Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway","15/1217","89/9577",0.168539325842697,1.32629508923213,1.17991961817775,0.153639635122746,0.350346850169575,0.269740732762139,"12894/78070/12896/11814/235674/18830/22259/74551/20249/26457/94180/11520/11363/109264/11450",15
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction","15/1217","89/9577",0.168539325842697,1.32629508923213,1.17991961817775,0.153639635122746,0.350346850169575,0.269740732762139,"22370/12505/16419/21826/14268/665033/68553/64176/12843/20971/16412/14724/75209/12839/12842",15
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","17/1217","103/9577",0.16504854368932,1.29882489968169,1.16332998872302,0.154898782243408,0.350346850169575,0.269740732762139,"14281/21808/21937/11652/16476/18797/12317/14102/21813/20302/14676/14082/106759/16150/18035/12633/18709",17
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","19/1217","117/9577",0.162393162393162,1.27792877258777,1.15402466531768,0.15499226202076,0.350346850169575,0.269740732762139,"18641/20525/15275/11652/11676/13819/18752/13645/71745/11601/21857/22346/18750/13058/21687/56421/17000/228026/18709",19
"Metabolism","Energy metabolism","mmu00920","Sulfur metabolism","3/1217","11/9577",0.272727272727273,2.14618659893927,1.45117804686369,0.155153605075097,0.350346850169575,0.269740732762139,"22117/20341/23972",3
