Region,Astrocytes,CCK_Interneurons,Cholinergic_Interneurons,D1_MSN,D2_MSN,Endothelial,Microglia,Mixed_MSN,OPCs,Oligodendrocytes,PTHLH_Interneurons,Pericytes,SST_Interneurons
Caudate,3444,19,47,83,157,280,2957,32,2989,33750,35,78,25
Putamen,1833,1,25,118,135,141,2818,23,1894,24943,19,88,8
