Dx_OUD,Astrocytes,CCK_Interneurons,Cholinergic_Interneurons,D1_MSN,D2_MSN,Endothelial,Microglia,Mixed_MSN,OPCs,Oligodendrocytes,PTHLH_Interneurons,Pericytes,SST_Interneurons
None,2407,5,15,60,147,236,3160,15,2353,25570,10,86,19
OUD,2870,15,57,141,145,185,2615,40,2530,33123,44,80,14
