"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Method"
"SATB1",2.3296625210824,7.14412125020141,90.2701934663967,1.10284866086576e-82,1.93263199330116e-78,178.684566546813,"Mixed_Effects"
"PBX3",-2.9431502645368,4.44186740710482,-79.4729018445971,2.81048956004075e-78,2.4625509525077e-74,168.072111284343,"Mixed_Effects"
"MAPK10",1.35860606117507,9.18128030069848,75.7621354040046,1.2568669916493e-76,7.34177905388746e-73,164.991575161929,"Mixed_Effects"
"NUAK1",2.75897842205844,6.98860116168367,72.908372292794,2.64860067598449e-75,1.16035195614881e-71,161.915881202632,"Mixed_Effects"
"NLK",1.68743224003775,7.14089270006098,69.9916742714352,6.74442714971241e-74,2.36378682743121e-70,158.730566796804,"Mixed_Effects"
"FBXW7",2.36578067980666,8.1309914270954,69.6960397149858,9.43199792086802e-74,2.75477219275485e-70,158.408569275604,"Mixed_Effects"
"NR2F1-AS1",2.42500815934395,6.58679470296151,66.0166865227895,6.90478542799606e-72,1.7285637120029e-68,154.10264472808,"Mixed_Effects"
"RIMS3",2.09932760911818,8.35308911861667,65.5421940726809,1.22143755738553e-71,2.675558969453e-68,153.570758955261,"Mixed_Effects"
"RORB",2.46388211825418,7.07535572760579,65.228239405102,1.78538277043695e-71,3.47633862990413e-68,153.175769595646,"Mixed_Effects"
"ATRNL1",2.47745067469161,9.81335612856649,64.2664922497197,5.77498430807721e-71,1.01200825014745e-67,152.025234431054,"Mixed_Effects"
"MICAL2",2.64628078857528,6.69615854725458,62.5752998702379,4.7436417541014e-70,7.27825995948974e-67,149.897588272699,"Mixed_Effects"
"CABP1",3.23359157009354,5.74340577633978,62.5361277728105,4.98397166821941e-70,7.27825995948974e-67,149.718046685083,"Mixed_Effects"
"GTDC1",1.78613462579634,6.72796352875818,61.709513945079,1.42409746941796e-69,1.91968338877541e-66,148.815859582572,"Mixed_Effects"
"KHDRBS3",2.34272267466461,6.32685617627636,61.3166157307903,2.35679782233405e-69,2.95003750275585e-66,148.295337834549,"Mixed_Effects"
"OLFM1",2.87837473291702,7.73290821895261,59.9455156615214,1.40112380338746e-68,1.63688623537079e-65,146.541394426151,"Mixed_Effects"
"SYTL2",2.67872424338109,6.46725255569815,59.6289432119222,2.12631556652822e-68,2.32884712424003e-65,146.105582467038,"Mixed_Effects"
"SATB2",3.35981499019292,5.69974532660836,58.7436548897495,6.90457689279193e-68,7.11740032172269e-65,144.833707208607,"Mixed_Effects"
"TCF4",1.28112968314843,8.43456232829469,58.6612742621417,7.71097945104401e-68,7.50706688333862e-65,144.840265019361,"Mixed_Effects"
"OXR1",2.56039962976899,7.92185547554883,58.4910712420235,9.69231353742317e-68,8.93937381209493e-65,144.611334198179,"Mixed_Effects"
"HECW1",1.96312535552002,6.76296467817364,57.5651744029074,3.40087608208855e-67,2.97984762312599e-64,143.354677946021,"Mixed_Effects"
"COL5A2",3.03275941001602,5.34836217719252,57.217427811943,5.47651573192894e-67,4.57002198506299e-64,142.763382580038,"Mixed_Effects"
"PREP",1.47668085460054,5.19874103619682,55.9550157134982,3.16121267344627e-66,2.51804958588511e-63,141.090868195492,"Mixed_Effects"
"NRN1",4.79693122956706,5.09390599579764,55.6701561417394,4.71962540738665e-66,3.59594415821929e-63,140.267208599865,"Mixed_Effects"
"SPATA13",-2.07805746613749,5.84199769794463,-55.5532846122853,5.56625168630586e-66,4.06429143961766e-63,140.559815904999,"Mixed_Effects"
"PARD3",-1.68008444643342,5.731797427286,-55.4705159399163,6.2574291809161e-66,4.38620755865495e-63,140.443472191842,"Mixed_Effects"
"PIK3R1",1.58836043760302,8.76306647107049,55.2863907818942,8.1233811918456e-66,5.47515892330394e-63,140.182580898154,"Mixed_Effects"
"ATXN7L3",1.15914703623039,6.83971170360338,54.8907871986897,1.42716152749849e-65,9.26280689180874e-63,139.622148242277,"Mixed_Effects"
"PRKCE",1.5977130609251,7.37142906677842,54.7928784022316,1.64173010629652e-65,1.0274885136693e-62,139.481104854606,"Mixed_Effects"
"STX1A",3.09334133067711,5.68429844707331,54.4410332758052,2.7211318719815e-65,1.64431430774496e-62,138.934227374348,"Mixed_Effects"
"DRD1",-2.64086174042802,6.05701228901129,-54.0528175593452,4.76921797383475e-65,2.78585919244934e-62,138.41656944695,"Mixed_Effects"
"SV2B",3.07079741939807,8.66318512595545,53.7500228558096,7.40757715311142e-65,4.18743167842337e-62,137.971481677288,"Mixed_Effects"
"ARHGEF25",1.71578907668002,4.4586885158271,53.5188436293466,1.03839913491755e-64,5.68653326259222e-62,137.514345657199,"Mixed_Effects"
"NUDT4",1.87062234456106,6.31603692294783,53.3480549410815,1.33388650949002e-64,7.08334157342516e-62,137.389160056572,"Mixed_Effects"
"STRIP2",-3.02075148997289,6.67923475746128,-53.2678191823084,1.50080757126001e-64,7.73533878787073e-62,137.2704338421,"Mixed_Effects"
"MEIS2",-2.20768758186202,6.58206743055068,-52.71404784373,3.4020483645465e-64,1.70335701543751e-61,136.450700277339,"Mixed_Effects"
"MFSD4A",2.33800032387009,6.18960557817521,52.1891600263354,7.44540566332596e-64,3.62425802344789e-61,135.670613016939,"Mixed_Effects"
"GPR88",-4.50674233878345,4.81311255605184,-51.7390002703785,1.4661894647238e-63,6.94419031887024e-61,134.85589325142,"Mixed_Effects"
