"resolution","silhouette_score","n_clusters"
0.1,0.30549321857176,17
0.2,0.27922468217895,22
0.3,0.23169192606328,27
0.4,0.222498628028821,32
0.5,0.217765491499961,35
0.6,0.228354177768423,37
0.7,0.222335036796406,38
0.8,0.209458300884716,39
0.9,0.218881778256425,38
1,0.178721083051582,40
1.1,0.18247794991473,45
1.2,0.192067184553966,47
